  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:32:44  03/20/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -2.7171476E-04   4.8687463E+00   7.0430839E-01
   8.7868259E-04   1.4659758E-02  -4.3918704E+02   1.6372970E+00
   3.2598025E-03   1.6124403E-03   4.8573804E+00   9.1070759E-01
   6.5820231E-03   6.3250083E-03   4.5898638E+00   8.0342132E-01
   1.0331525E-02   8.1148604E-03   4.5893230E+00   8.5937679E-01
   1.3664990E-02   8.5200956E-03   4.6484447E+00   8.4451056E-01
   1.6174348E-02   6.3895020E-03   4.6989193E+00   8.3525068E-01
   2.0428788E-02   5.6647127E-03   4.7918811E+00   8.2408696E-01
   2.3112908E-02   1.4264879E-02   4.7768312E+00   8.1950706E-01
   2.6443979E-02   5.4140105E-03   4.8643293E+00   8.0604631E-01
   2.9760158E-02   7.1468074E-03   4.9068003E+00   8.0532628E-01
   3.3790994E-02  -4.9656961E-04   4.9625263E+00   8.0139500E-01
   3.7374582E-02   7.9474691E-03   5.0121298E+00   8.0089766E-01
   4.0072225E-02   8.4766392E-03   5.0509658E+00   8.0292898E-01
   4.3046374E-02   8.9770826E-03   5.0832729E+00   7.9904670E-01
   4.6325374E-02   4.9539306E-03   5.1414552E+00   7.9582155E-01
   4.9723376E-02   9.1461809E-03   5.1993179E+00   7.9509598E-01
   5.3040851E-02   1.1470063E-02   5.2517271E+00   7.9199976E-01
   5.6698363E-02   1.2039647E-02   5.3040414E+00   7.8932959E-01
   6.0687259E-02   7.8687090E-03   5.4028306E+00   7.8562564E-01
   6.2677376E-02   7.5738323E-03   5.4146552E+00   7.8477377E-01
   6.7560993E-02   4.1839816E-03   5.4572144E+00   7.8699946E-01
   7.0178218E-02   1.2979159E-03   5.5118942E+00   7.7934557E-01
   7.3025651E-02   5.1036794E-03   5.5743752E+00   7.7547354E-01
   7.6124966E-02   8.0390749E-03   5.6196380E+00   7.7177346E-01
   7.9427846E-02   5.3660218E-03   5.6759963E+00   7.7151692E-01
   8.2949966E-02   8.4446007E-03   5.7300196E+00   7.6668078E-01
   8.6414166E-02   8.9208353E-03   5.7995620E+00   7.6515716E-01
   8.9699395E-02   1.1129919E-02   5.9232893E+00   7.6561999E-01
   9.3749903E-02   1.2113472E-02   5.9393444E+00   7.6678640E-01
   9.6469276E-02   5.8019245E-03   5.9540434E+00   7.6440281E-01
   9.9467382E-02   7.5932597E-03   6.0032568E+00   7.6310289E-01
   1.0399711E-01   1.0595508E-02   6.1731100E+00   7.5024265E-01
   1.0703353E-01   7.4460800E-03   6.1563325E+00   7.5174582E-01
   1.0984152E-01   7.4840696E-03   6.1860800E+00   7.5147486E-01
   1.1414866E-01   6.1837053E-03   6.3091292E+00   7.4832350E-01
   1.1701036E-01   8.9364620E-03   6.3824410E+00   7.4775344E-01
   1.2011659E-01   1.4005722E-02   6.4279275E+00   7.4759769E-01
