  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:28:01  03/14/2024 upci     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -3.2821074E-04   4.8426781E+00   7.0427525E-01
   8.8255556E-04   1.7406140E-02  -4.3502295E+02   1.6228886E+00
   3.2741707E-03   2.6292407E-03   4.7696204E+00   9.1889083E-01
   6.4481595E-03   4.7415146E-03   4.6259470E+00   8.3406514E-01
   1.0214187E-02   5.8443840E-03   4.5836287E+00   8.2184112E-01
   1.3562345E-02   9.5759360E-03   4.6262207E+00   8.2094640E-01
   1.6082764E-02   7.9924986E-03   4.6781902E+00   8.2097960E-01
   2.0213630E-02   5.8852020E-03   4.7770758E+00   8.4393477E-01
   2.3590878E-02   7.6814727E-03   4.7862954E+00   8.2193762E-01
   2.6953030E-02   1.0102243E-02   4.9003868E+00   7.8649992E-01
   2.9942125E-02   9.4753383E-03   4.8739576E+00   7.9084498E-01
   3.3402380E-02   1.4748704E-03   4.9061503E+00   7.9453653E-01
   3.7274636E-02   6.4896028E-03   5.0705199E+00   8.5199469E-01
   3.9869756E-02   4.5483154E-03   4.9778643E+00   8.0736428E-01
   4.4054709E-02   7.3695648E-03   5.2097363E+00   7.7729499E-01
   4.7205050E-02   1.4846975E-02   5.1498036E+00   7.7872711E-01
   5.0678298E-02   1.1549863E-02   5.1451979E+00   7.7914172E-01
   5.2546229E-02   9.3657747E-03   5.2073588E+00   8.0498719E-01
   5.6184024E-02   1.0491529E-02   5.2938547E+00   7.9433924E-01
   6.0106944E-02   6.2916065E-03   5.3275905E+00   7.9177082E-01
   6.3631788E-02   7.0357001E-03   5.3853779E+00   7.8464526E-01
   6.7046672E-02   4.7603417E-03   5.4879432E+00   7.7300596E-01
   6.9635212E-02   1.1701484E-02   5.4913802E+00   7.7432197E-01
   7.3985249E-02   7.9972977E-03   5.5227981E+00   7.6537645E-01
   7.7081151E-02   8.0461064E-03   5.6244397E+00   7.7107233E-01
   7.9928935E-02   5.5844388E-03   5.6933036E+00   7.6419657E-01
   8.3068609E-02   7.5264545E-03   5.7205920E+00   7.7021945E-01
   8.6466335E-02   7.3520658E-03   5.7656384E+00   7.7008963E-01
   8.9829504E-02   1.0375124E-02   5.8942375E+00   7.7999246E-01
   9.2917666E-02   6.8810256E-03   5.9142275E+00   7.7756470E-01
   9.7566314E-02   6.0434784E-03   5.9285364E+00   7.3795402E-01
   1.0076396E-01   1.2438367E-02   6.0511103E+00   7.4505508E-01
   1.0397122E-01   8.9111067E-03   6.0617967E+00   7.6020420E-01
   1.0703895E-01   2.2442497E-03   6.1746697E+00   7.6248783E-01
   1.0985690E-01   7.3594125E-03   6.1912470E+00   7.6069564E-01
   1.1418380E-01   7.6954067E-03   6.2587471E+00   7.5407350E-01
   1.1705262E-01   1.0483176E-02   6.3366904E+00   7.4958497E-01
   1.2015042E-01   1.6186761E-02   6.4330096E+00   7.3260128E-01
