  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:04:42  03/14/2024 ttgt     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       4     1001      1.033E-02      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0329518E-02  -6.5694777E-03   6.3876438E+00   1.8597479E+00
   1.4232848E-02   9.1725291E-04   6.4857430E+00   1.8167758E+00
   1.6132152E-02   1.1483959E-03   6.4579229E+00   1.8162735E+00
   2.0220403E-02  -2.5088645E-03   6.4674535E+00   1.8209070E+00
   2.2419084E-02   1.8589937E-03   6.4806414E+00   1.8413416E+00
   2.6701016E-02   2.6677857E-04   6.4800200E+00   1.8426027E+00
   2.9003860E-02  -2.3175390E-04   6.4841080E+00   1.8432736E+00
   3.3960734E-02  -4.1239290E-04   6.5612388E+00   1.8450143E+00
   3.6626562E-02   6.0901180E-04   6.5929637E+00   1.8439848E+00
   3.9425682E-02  -1.7904121E-03   6.6183929E+00   1.8422128E+00
   4.2364761E-02   1.3524771E-03   6.6505013E+00   1.8412273E+00
   4.5450792E-02   6.2126276E-04   6.6917458E+00   1.8407387E+00
   4.8691124E-02  -9.3298528E-04   6.7269416E+00   1.8410045E+00
   5.2093472E-02   9.2412630E-04   6.7694063E+00   1.8418833E+00
   5.5665940E-02  -2.2704382E-03   6.8272133E+00   1.8434290E+00
   5.9138644E-02   1.8218717E-03   6.8826084E+00   1.8454136E+00
   6.2539451E-02  -4.6060559E-05   6.9444652E+00   1.8475463E+00
   6.6110298E-02  -3.0946691E-04   7.0033698E+00   1.8498379E+00
   6.9705114E-02  -1.2753841E-03   7.0631895E+00   1.8515576E+00
   7.3171459E-02   1.0590622E-03   7.1308894E+00   1.8535271E+00
   7.6620519E-02  -2.1668589E-04   7.1929789E+00   1.8548945E+00
   7.9864606E-02  -1.8600703E-03   7.2675281E+00   1.8561629E+00
   8.3153605E-02  -7.4630993E-04   7.3342552E+00   1.8572317E+00
   8.6388312E-02  -5.8928027E-04   7.4165378E+00   1.8581996E+00
   8.9655071E-02  -5.5522448E-04   7.4924793E+00   1.8591448E+00
   9.2907414E-02  -2.4031540E-03   7.5757685E+00   1.8601991E+00
   9.6170023E-02  -8.3645107E-04   7.6603155E+00   1.8613645E+00
   9.9427737E-02   6.0051732E-04   7.7364483E+00   1.8626307E+00
   1.0261169E-01  -5.4949342E-04   7.8193178E+00   1.8639852E+00
   1.0574137E-01  -5.3043722E-04   7.8955960E+00   1.8653824E+00
   1.0879298E-01   5.3098408E-04   7.9722657E+00   1.8668214E+00
   1.1449143E-01   1.5675364E-03   8.1226482E+00   1.8696480E+00
   1.1737839E-01  -2.3298864E-03   8.1906900E+00   1.8708721E+00
   1.2023316E-01  -1.4466316E-03   8.2734146E+00   1.8720549E+00
   1.2301800E-01   7.1326317E-04   8.3447618E+00   1.8732066E+00
   1.2594207E-01  -1.4188694E-03   8.4206667E+00   1.8742423E+00
   1.3164032E-01  -1.2564320E-03   8.5825911E+00   1.8762970E+00
