  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:38:25  03/07/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   7.9874875E-04   7.1220970E+00   1.8197242E+00
   2.9011727E-03   1.8837722E-02  -1.7559659E+02  -3.8521504E-01
   6.0757077E-03  -1.6406582E-03   7.5013070E+00   1.8769602E+00
   1.0707486E-02  -1.0176185E-03   7.3258433E+00   1.8188090E+00
   1.3862119E-02   5.5579387E-04   7.3298655E+00   1.8187912E+00
   1.7340101E-02  -2.0834607E-04   7.3857203E+00   1.8248318E+00
   1.9210577E-02  -9.6866814E-04   7.3780055E+00   1.8270394E+00
   2.3040377E-02  -2.6792058E-04   7.3840594E+00   1.8632411E+00
   2.6860602E-02   3.8497511E-04   7.4107099E+00   1.8525982E+00
   3.0866696E-02   2.1862597E-03   7.5588574E+00   1.8318009E+00
   3.2816004E-02   2.9730410E-03   7.5494466E+00   1.8311229E+00
   3.7011884E-02   5.8960676E-04   7.5417027E+00   1.8302057E+00
   3.9268449E-02  -1.8471674E-03   7.6300988E+00   1.8383796E+00
   4.3663114E-02   1.5752695E-03   7.6694694E+00   1.8544725E+00
   4.5801491E-02   6.4080802E-04   7.6717486E+00   1.8544806E+00
   5.0404351E-02  -1.4469172E-03   7.7585621E+00   1.8544576E+00
   5.2879792E-02  -2.3369929E-03   7.8325086E+00   1.8543397E+00
   5.7948254E-02  -5.8479613E-04   7.9179187E+00   1.8477682E+00
   6.0540970E-02   4.1040215E-03   7.9770451E+00   1.8482592E+00
   6.3263319E-02   1.1727728E-04   8.0325642E+00   1.8494416E+00
   6.6121787E-02   8.6229102E-04   8.0779858E+00   1.8511468E+00
   6.9123179E-02   5.8585504E-04   8.1376238E+00   1.8532112E+00
   7.2082214E-02   5.7650096E-04   8.2035952E+00   1.8555610E+00
   7.7772506E-02  -2.4267253E-03   8.3387432E+00   1.8601445E+00
   8.0594681E-02   7.4615993E-04   8.4119358E+00   1.8619080E+00
   8.3485246E-02   6.9255452E-04   8.4849367E+00   1.8633586E+00
   8.6340524E-02  -1.1566441E-03   8.5639086E+00   1.8645706E+00
   8.9132778E-02  -2.2848041E-03   8.6484299E+00   1.8656032E+00
   9.4814889E-02  -9.3427993E-04   8.8130016E+00   1.8673643E+00
   9.7535774E-02   1.3982578E-03   8.8953590E+00   1.8683051E+00
   1.0037280E-01  -3.6666321E-03   8.9720402E+00   1.8693382E+00
   1.0300800E-01   2.3240356E-03   9.0627613E+00   1.8705810E+00
   1.0570595E-01   2.1651713E-04   9.1277428E+00   1.8719196E+00
   1.1090767E-01  -1.0661841E-03   9.2907953E+00   1.8748033E+00
   1.1351153E-01  -1.7078478E-03   9.3666573E+00   1.8762230E+00
   1.1623271E-01   2.6320852E-03   9.4570885E+00   1.8775979E+00
   1.2140469E-01  -3.7041549E-03   9.6113300E+00   1.8802186E+00
