  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   00:10:43  08/26/2023 sogp     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, pfxob, pfyob, pfzob, pfob, vmax and others       
       1     1002      0.000E+00      2.280E+01
   time              p_1             pfxob_1         pfyob_1         pfzob_1         pfob_1          vmax_0          vmaxsrf_0
   0.0000000E+00   1.9772023E+03  -1.4192342E-04  -1.6700641E+00   5.6100379E-16   1.6700641E+00   1.2224989E-01   1.3924211E-01
   6.7793941E-03   2.4570093E+03  -1.1497993E-02   1.1025798E+02   7.0709839E-16   1.1025798E+02   3.0682975E-01   3.4068242E-01
   2.5150705E-02   1.9775077E+03  -3.4972087E-03  -1.2691748E+00   5.5797872E-16   1.2691796E+00   2.2029997E-01   2.9414350E-01
   4.4390749E-02   1.9660740E+03  -3.5224676E-03  -1.2212871E+00   5.3693180E-16   1.2212923E+00   1.7223486E-01   2.1206537E-01
   6.6663511E-02   1.9580308E+03  -2.1593117E-03  -1.1917092E+00   5.3664969E-16   1.1917111E+00   1.4673002E-01   1.6474970E-01
   9.0770364E-02   1.9457701E+03  -3.2085036E-03  -1.2459441E+00   5.4042110E-16   1.2459482E+00   1.5132505E-01   1.8089719E-01
   1.1502608E-01   1.9316062E+03  -3.3622966E-03  -1.4242659E+00   5.4075351E-16   1.4242698E+00   1.8105465E-01   2.5048038E-01
   1.3752812E-01   1.9252682E+03  -2.4086772E-03  -1.6314783E+00   5.4800702E-16   1.6314801E+00   1.7528632E-01   2.2423553E-01
   1.6273537E-01   1.9035624E+03  -1.4304669E-03  -2.0097897E+00   5.6370678E-16   2.0097902E+00   1.6729353E-01   1.9475886E-01
   1.7923173E-01   1.9000823E+03  -1.7470192E-03  -2.2315295E+00   5.6744553E-16   2.2315302E+00   1.5974729E-01   2.1000198E-01
   2.0521985E-01   1.8860291E+03  -8.9124846E-04  -2.6106277E+00   5.6691121E-16   2.6106277E+00   1.4241585E-01   1.8432280E-01
   2.3154600E-01   1.8706202E+03  -3.1785306E-04  -2.9186566E+00   5.6446943E-16   2.9186566E+00   1.3004182E-01   2.2081670E-01
   2.4860719E-01   1.8619489E+03  -7.6058717E-04  -3.0727262E+00   5.6182012E-16   3.0727265E+00   1.2272704E-01   1.2627217E-01
