  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   15:38:58  08/23/2023 xhtx     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob, vmax, vmaxsrf       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1          vmax_0          vmaxsrf_0
   0.0000000E+00  -1.5936405E-03  -2.9408290E+00   5.8535159E-16   2.9408295E+00   1.2069846E-01   1.3953592E-01
   6.7338296E-03   4.0310537E-03   1.1217525E+02   7.1751160E-16   1.1217525E+02   3.1062537E-01   3.4482387E-01
   2.4981666E-02  -6.3156150E-03  -1.1454364E+00   5.6486298E-16   1.1454538E+00   2.2216155E-01   3.0421284E-01
   4.4092398E-02   1.4277662E-03  -1.1168046E+00   5.5328864E-16   1.1168056E+00   1.7212732E-01   2.2628263E-01
   6.5478608E-02  -2.3291481E-03  -1.1294221E+00   5.4951109E-16   1.1294245E+00   1.4487097E-01   1.6186409E-01
   9.2713162E-02  -2.9035795E-03  -1.1950227E+00   5.4945540E-16   1.1950263E+00   1.4945239E-01   1.8581125E-01
   1.1203293E-01  -2.1445197E-03  -1.3503448E+00   5.5169125E-16   1.3503464E+00   1.7335688E-01   2.4567102E-01
   1.3343099E-01  -2.6181333E-03  -1.5783792E+00   5.5864809E-16   1.5783814E+00   1.6147333E-01   2.1147497E-01
   1.5666869E-01  -2.5665809E-03  -1.8598267E+00   5.6877553E-16   1.8598285E+00   1.7043278E-01   2.6340851E-01
   1.8154618E-01  -1.4769986E-03  -2.2600074E+00   5.7760198E-16   2.2600079E+00   1.6657551E-01   2.2523247E-01
   2.0570470E-01  -1.4774682E-03  -2.6188121E+00   5.7975159E-16   2.6188126E+00   1.7464499E-01   2.5708005E-01
   2.2982945E-01  -2.2301290E-03  -2.9257171E+00   5.7171574E-16   2.9257178E+00   1.3803327E-01   2.1792984E-01
   2.5119984E-01  -2.5262332E-03  -3.1284499E+00   5.6905367E-16   3.1284509E+00   1.7368080E-01   2.6254189E-01
   2.7064830E-01  -1.9872484E-03  -3.2404985E+00   5.6785152E-16   3.2404990E+00   1.2744918E-01   2.2991151E-01
   2.9316232E-01  -1.2524028E-03  -3.3010478E+00   5.6913737E-16   3.3010480E+00   1.2088009E-01   1.5006581E-01
   3.1882802E-01  -1.7237511E-03  -3.2668288E+00   5.7397922E-16   3.2668293E+00   1.3305978E-01   1.8396342E-01
   3.4624073E-01   2.6232385E-04  -3.0891869E+00   5.7596266E-16   3.0891869E+00   1.5918811E-01   2.0627037E-01
   3.6421871E-01  -6.9028401E-04  -2.9326599E+00   5.7251989E-16   2.9326601E+00   1.7217411E-01   2.4416830E-01
   3.9020109E-01  -1.7078803E-03  -2.6918933E+00   5.5760306E-16   2.6918938E+00   1.6488782E-01   2.5270057E-01
   4.0814784E-01  -2.0796759E-03  -2.5589426E+00   5.5109186E-16   2.5589435E+00   1.2060397E-01   1.6071443E-01
   4.3308818E-01   9.6842000E-04  -2.4194248E+00   5.4606843E-16   2.4194250E+00   1.2059882E-01   1.6248034E-01
   4.5542410E-01   2.6390844E-03  -2.3400483E+00   5.4921071E-16   2.3400497E+00   1.2055170E-01   1.6439077E-01
   4.8049712E-01   2.6999947E-03  -2.2832494E+00   5.5697498E-16   2.2832510E+00   1.5023139E-01   1.6666614E-01
   5.0348717E-01   2.5389069E-03  -2.2943239E+00   5.6744352E-16   2.2943254E+00   1.7586669E-01   2.8593859E-01
   5.2832121E-01   4.0370682E-03  -2.3505330E+00   5.7502759E-16   2.3505363E+00   1.5409632E-01   2.2677669E-01
