  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   14:54:30  08/23/2023 upci     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob, vmax, vmaxsrf       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1          vmax_0          vmaxsrf_0
   0.0000000E+00  -3.1105572E-02  -2.3412283E-01   5.4756937E-16   2.3618013E-01   1.1719051E-01   1.3989948E-01
   6.6755139E-03   5.6824279E+00   6.4132637E+01  -8.5937905E-17   6.4383888E+01   2.8067312E-01   3.3499527E-01
   2.6064413E-02  -8.4773958E-01   7.0039868E+00   5.8709685E-16   7.0551043E+00   1.8123646E-01   2.1633755E-01
   4.8286699E-02  -4.3786633E-01   1.8012164E+00   5.3585655E-16   1.8536741E+00   1.5970671E-01   2.4539591E-01
   7.0213675E-02  -2.5925028E-01   1.8494700E-01   5.1067611E-16   3.1845894E-01   1.7647766E-01   2.8448734E-01
   9.3554251E-02  -1.3846008E-01  -7.0520490E-01   4.9236845E-16   7.1866900E-01   1.4526697E-01   1.6880216E-01
   1.1667276E-01  -8.5519359E-02  -1.1785975E+00   4.8240040E-16   1.1816961E+00   1.5693881E-01   1.8639056E-01
   1.3271156E-01  -6.0351886E-02  -1.4124101E+00   4.7628615E-16   1.4136989E+00   1.9240263E-01   3.0122638E-01
   1.5725538E-01  -4.7585249E-02  -1.7761948E+00   4.7020361E-16   1.7768321E+00   1.7292559E-01   2.1997723E-01
   1.8432656E-01  -5.0614953E-02  -2.1432316E+00   4.6317069E-16   2.1438293E+00   1.8501551E-01   1.9815692E-01
   2.0242384E-01  -4.5666207E-02  -2.4235432E+00   4.5718852E-16   2.4239736E+00   1.6839792E-01   2.3859473E-01
   2.2618525E-01  -2.7240928E-02  -2.8372283E+00   4.4675419E-16   2.8373590E+00   1.3165142E-01   1.6195396E-01
   2.5010294E-01  -2.8315708E-02  -2.9550653E+00   4.3512321E-16   2.9552009E+00   1.1760007E-01   1.7299511E-01
   2.7573359E-01  -2.2056112E-02  -3.0444493E+00   4.2299716E-16   3.0445292E+00   1.1753491E-01   1.6190290E-01
   2.9525000E-01   1.1403202E-01  -3.5900025E+00   4.1484053E-16   3.5918131E+00   1.3441445E-01   2.1879132E-01
   3.1949055E-01   4.7568604E-02  -3.2029903E+00   4.0506537E-16   3.2033434E+00   1.6049154E-01   2.1637025E-01
   3.4008795E-01  -3.8824305E-02  -3.0618317E+00   3.9445160E-16   3.0620778E+00   1.6035162E-01   2.3108172E-01
   3.6393198E-01  -4.5900118E-02  -2.8568611E+00   3.8179515E-16   2.8572297E+00   1.8183681E-01   2.0164500E-01
   3.8838208E-01  -5.5833189E-03  -2.9150736E+00   3.6695183E-16   2.9150789E+00   1.6553278E-01   2.0280914E-01
   4.1236973E-01   4.2216200E-04  -2.7734077E+00   3.5126287E-16   2.7734077E+00   1.2679851E-01   2.1952792E-01
   4.3687865E-01   3.7964699E-03  -2.7499495E+00   3.3495788E-16   2.7499521E+00   1.5943843E-01   2.5733134E-01
   4.5377269E-01  -1.6321825E-02  -2.6771524E+00   3.2703529E-16   2.6772020E+00   1.6731922E-01   1.8189324E-01
   4.7975549E-01  -1.1778502E-02  -2.6567256E+00   3.1639121E-16   2.6567516E+00   1.7759657E-01   2.0969437E-01
   4.9752849E-01  -1.0618469E-02  -2.6666379E+00   3.0920617E-16   2.6666589E+00   1.9215347E-01   2.4978369E-01
   5.2413434E-01  -5.7388246E-03  -2.7011683E+00   3.0518391E-16   2.7011745E+00   1.9789326E-01   2.8453690E-01
   5.4961157E-01   1.2658836E-01  -3.1397414E+00   2.9495498E-16   3.1422923E+00   2.2130090E-01   1.8055440E-01
   5.6835049E-01   1.1857593E-02  -2.5317128E+00   2.8911995E-16   2.5317407E+00   2.1680573E-01   1.9432113E-01
   5.9282869E-01   3.6499772E-02  -2.4700348E+00   2.8126624E-16   2.4703045E+00   2.0175424E-01   2.2481202E-01
   6.1430293E-01   3.0254433E-02  -2.3166237E+00   2.7458389E-16   2.3168213E+00   2.0049235E-01   2.0158148E-01
   6.3644916E-01   5.7474378E-02  -2.2768672E+00   2.6611697E-16   2.2775924E+00   1.8995434E-01   2.0588316E-01
   6.6211897E-01   9.2710823E-02  -2.1336069E+00   2.5594784E-16   2.1356204E+00   2.0573094E-01   2.2350863E-01
   6.8579543E-01   8.0792286E-02  -1.8857355E+00   2.4452568E-16   1.8874654E+00   1.9971973E-01   2.6948261E-01
   7.0545119E-01   4.3837756E-02  -1.5224992E+00   2.3485304E-16   1.5231302E+00   2.0922133E-01   3.1722873E-01
   7.2784293E-01   5.8392268E-02  -1.3376614E+00   2.2416176E-16   1.3389353E+00   1.8755351E-01   2.6660496E-01
   7.5038445E-01   7.1001790E-02  -1.3155318E+00   2.1456636E-16   1.3174465E+00   1.9152875E-01   3.8103399E-01
   7.7850634E-01   6.8447076E-02  -1.1241665E+00   2.0494867E-16   1.1262484E+00   1.8325675E-01   1.9463363E-01
