  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   14:11:36  08/23/2023 lwbb     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob, vmax, vmaxsrf       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1          vmax_0          vmaxsrf_0
   0.0000000E+00   1.1063309E-03   4.0840060E-03   5.4771713E-16   4.2312024E-03   1.1572760E-01   1.4070299E-01
   6.5343245E-03   6.4253611E-03   7.0623642E+01   4.4536950E-16   7.0623642E+01   2.7346477E-01   3.0526376E-01
   2.5560321E-02   2.7888289E-03   3.7559445E+00   5.5055103E-16   3.7559457E+00   1.8131565E-01   2.8149110E-01
   4.5983452E-02   4.1512540E-03   2.5339837E+00   5.3121327E-16   2.5339873E+00   1.5943825E-01   2.0553841E-01
   6.9625780E-02   3.9639836E-03   1.5580310E+00   5.1685448E-16   1.5580360E+00   1.3711430E-01   1.8144315E-01
   8.7423190E-02   1.1427396E-03   1.0219922E+00   5.0637218E-16   1.0219929E+00   1.8308866E-01   1.7988960E-01
   1.1511709E-01   3.0142965E-03   1.0064319E+00   4.9002179E-16   1.0064365E+00   2.4861906E-01   2.8783840E-01
   1.3478421E-01   1.5997394E-03   3.5968226E-01   4.8180055E-16   3.5968584E-01   2.3197007E-01   3.3910966E-01
   1.5623792E-01  -4.3176062E-04  -2.2387582E-01   4.7407423E-16   2.2387624E-01   2.3815486E-01   3.1298867E-01
   1.8188493E-01   6.0177874E-03  -1.7104739E-01   4.6255273E-16   1.7115322E-01   2.0757876E-01   2.4808632E-01
   2.0378911E-01   2.9707868E-03  -9.6986252E-01   4.5160467E-16   9.6986711E-01   2.0777196E-01   2.7015066E-01
   2.2548093E-01   1.7800485E-03  -1.4844837E+00   4.3874769E-16   1.4844848E+00   2.1530049E-01   3.2984599E-01
   2.5400245E-01  -8.8512963E-05  -1.9025716E+00   4.1979511E-16   1.9025716E+00   2.2828418E-01   2.6205763E-01
   2.7229303E-01  -1.2426082E-03  -2.0932329E+00   4.0761364E-16   2.0932333E+00   2.0132674E-01   3.3384624E-01
   2.9531458E-01  -1.9759731E-03  -2.3236701E+00   3.9126937E-16   2.3236709E+00   2.5524983E-01   4.1949478E-01
   3.2045582E-01  -3.1173820E-04  -2.5633852E+00   3.7413125E-16   2.5633855E+00   1.9953893E-01   2.8580877E-01
   3.4301135E-01  -2.1400754E-03  -2.5608678E+00   3.5760736E-16   2.5608687E+00   1.6875428E-01   3.5357940E-01
   3.6301246E-01  -2.5579627E-03  -2.5247068E+00   3.4544341E-16   2.5247080E+00   1.6574994E-01   2.5291908E-01
   3.8713577E-01   1.8902601E-03  -2.7286222E+00   3.3168844E-16   2.7286229E+00   1.3620019E-01   1.8806042E-01
   4.1097802E-01   1.6821796E-03  -2.6505389E+00   3.1876179E-16   2.6505394E+00   1.3160740E-01   1.8475614E-01
   4.3108830E-01   2.4512378E-03  -2.5944920E+00   3.0836647E-16   2.5944932E+00   1.1212634E-01   1.4965361E-01
   4.5338863E-01   3.4625106E-03  -2.8051844E+00   2.9676893E-16   2.8051865E+00   1.1210535E-01   1.9854285E-01
   4.8142073E-01   3.1660066E-04  -2.8342686E+00   2.8241810E-16   2.8342686E+00   1.1208997E-01   1.3587579E-01
   5.0457788E-01   6.0793792E-04  -2.7715452E+00   2.7123771E-16   2.7715452E+00   1.1194476E-01   1.8474653E-01
   5.2307504E-01  -1.4736329E-03  -2.7380047E+00   2.6229537E-16   2.7380052E+00   1.3971046E-01   2.8474221E-01
   5.4963320E-01  -6.6858553E-03  -2.7232819E+00   2.5149443E-16   2.7232902E+00   1.1197858E-01   1.3547350E-01
   5.7010138E-01  -3.2019732E-03  -2.7249739E+00   2.4366922E-16   2.7249758E+00   1.1195787E-01   1.2301714E-01
   5.9569973E-01  -3.1138393E-03  -2.8989396E+00   2.3610681E-16   2.8989413E+00   1.1198625E-01   1.5220951E-01
   6.1588711E-01  -3.9244681E-03  -2.7111487E+00   2.3079954E-16   2.7111516E+00   1.1184607E-01   1.6143775E-01
   6.4096791E-01  -3.0200211E-03  -2.8321791E+00   2.2452173E-16   2.8321807E+00   1.1194804E-01   1.7291842E-01
   6.6045088E-01  -3.4976285E-03  -2.7445316E+00   2.2003003E-16   2.7445338E+00   1.1179417E-01   1.6430901E-01
   6.8088323E-01  -3.1280348E-03  -2.6814661E+00   2.1563239E-16   2.6814680E+00   1.1191353E-01   1.2112278E-01
   7.1035129E-01  -4.4770828E-03  -2.4740658E+00   2.0873997E-16   2.4740698E+00   1.1255126E-01   1.2110927E-01
   7.2613126E-01  -4.2065154E-03  -2.4068964E+00   2.0494567E-16   2.4069002E+00   1.1682271E-01   1.2836376E-01
   7.4956483E-01  -5.5755982E-03  -2.3774860E+00   1.9968202E-16   2.3774927E+00   1.2281483E-01   1.4809623E-01
   7.7234954E-01  -6.0028732E-03  -2.3365333E+00   1.9513135E-16   2.3365409E+00   1.2837130E-01   1.2748002E-01
   8.0149126E-01  -5.5140811E-03  -2.2985873E+00   1.8999159E-16   2.2985940E+00   1.3459283E-01   1.4011125E-01
   8.2383204E-01  -4.4330000E-03  -2.1692870E+00   1.8665931E-16   2.1692915E+00   1.3881581E-01   1.4277819E-01
   8.4714895E-01  -4.9785795E-03  -2.0274484E+00   1.8367332E-16   2.0274546E+00   1.4373425E-01   1.4327836E-01
   8.6362261E-01  -5.0341049E-03  -1.9093013E+00   1.8189876E-16   1.9093080E+00   1.4830977E-01   1.4880012E-01
   8.8881236E-01  -4.7964980E-03  -1.8225610E+00   1.7943737E-16   1.8225673E+00   1.5362608E-01   1.5304698E-01
   9.1288149E-01  -4.0805982E-03  -1.8067894E+00   1.7808982E-16   1.8067940E+00   1.5878089E-01   1.5900418E-01
   9.3609852E-01  -2.3968860E-03  -1.7468308E+00   1.7755630E-16   1.7468325E+00   1.6297643E-01   1.6411528E-01
   9.5959568E-01  -2.5597545E-03  -1.6410763E+00   1.7750564E-16   1.6410782E+00   1.6617745E-01   1.6675316E-01
   9.8284543E-01  -2.7784554E-03  -1.5565437E+00   1.7754782E-16   1.5565462E+00   1.6965668E-01   1.7004648E-01
   1.0057169E+00  -3.3278924E-03  -1.4734546E+00   1.7771728E-16   1.4734583E+00   1.7227061E-01   1.7209674E-01
   1.0285679E+00  -4.2380416E-03  -1.3381753E+00   1.7801798E-16   1.3381820E+00   1.7392989E-01   1.7318384E-01
   1.0513498E+00  -5.4315031E-03  -1.2377496E+00   1.7847838E-16   1.2377615E+00   1.7537138E-01   1.7703669E-01
   1.0736811E+00  -6.3973037E-03  -1.1129361E+00   1.7917565E-16   1.1129546E+00   1.7755090E-01   1.8194132E-01
   1.0968862E+00  -6.9483453E-03  -9.3532139E-01   1.8047175E-16   9.3534720E-01   1.8018824E-01   1.8429759E-01
   1.1204722E+00  -6.8043242E-03  -7.8049922E-01   1.8236188E-16   7.8052884E-01   1.8118742E-01   1.8657212E-01
   1.1365389E+00  -6.7845574E-03  -6.6547322E-01   1.8394011E-16   6.6550785E-01   1.8130049E-01   1.9972059E-01
   1.1608746E+00  -7.6426505E-03  -5.0919908E-01   1.8666399E-16   5.0925642E-01   1.8105569E-01   2.2945255E-01
   1.1846416E+00  -8.0914069E-03  -3.7709743E-01   1.8991901E-16   3.7718424E-01   1.8527058E-01   1.8927744E-01
   1.2107092E+00  -9.2621129E-03  -1.4296402E-01   1.9396923E-16   1.4326373E-01   1.8614204E-01   1.7904283E-01
