  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   19:15:40  09/08/2023 nhtt     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00   9.1573864E-04  -1.2813213E+00  -7.1494931E-01   1.4672892E+00
   1.2272596E-03   3.2792978E-02   4.8734256E+02  -1.4972558E+00   4.8734485E+02
   2.2138745E-02   6.7212358E-03  -5.0592077E-01  -7.1681118E-01   8.7739342E-01
   4.4915885E-02   7.7095525E-03  -6.7434067E-01  -7.1857864E-01   9.8546940E-01
   6.8001337E-02   3.6013201E-03  -7.3491019E-01  -7.2531116E-01   1.0325609E+00
   9.1959178E-02   3.4411661E-03  -9.0991294E-01  -7.3127717E-01   1.1673559E+00
   1.1456267E-01   3.2445258E-03  -1.1196808E+00  -7.3588198E-01   1.3398575E+00
   1.3745135E-01   2.3473881E-03  -1.3692164E+00  -7.3800600E-01   1.5554459E+00
   1.5920341E-01   6.2757973E-03  -1.6107587E+00  -7.3899418E-01   1.7722007E+00
   1.8277080E-01   2.3759038E-03  -1.8082632E+00  -7.3589808E-01   1.9522723E+00
   2.0509692E-01   7.2458395E-05  -1.9846174E+00  -7.3284340E-01   2.1156006E+00
   2.2831237E-01   1.2643537E-03  -2.1289568E+00  -7.3183465E-01   2.2512310E+00
   2.5066689E-01   1.0845246E-03  -2.2288349E+00  -7.3119640E-01   2.3457096E+00
   2.7370390E-01   2.9395055E-03  -2.2827232E+00  -7.2875190E-01   2.3962288E+00
   2.9582086E-01   1.4600359E-02  -2.2505429E+00  -7.1833265E-01   2.3624475E+00
   3.1917825E-01   5.3330823E-03  -2.3204618E+00  -7.0481229E-01   2.4251459E+00
   3.4170166E-01   1.8384451E-03  -2.2961674E+00  -6.9171405E-01   2.3980944E+00
   3.6427781E-01   5.6365994E-03  -2.2751005E+00  -6.7799026E-01   2.3739808E+00
   3.8695145E-01   2.8110391E-03  -2.2807584E+00  -6.6397351E-01   2.3754427E+00
