  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   21:30:07  09/04/2023 ujjx     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -3.2738922E-04  -1.2801421E+00  -7.1813947E-01   1.4678175E+00
   9.3949167E-04   1.5869752E-01   6.3590240E+02  -1.7493378E+00   6.3590485E+02
   2.3459526E-02   2.7424342E-03  -3.5997283E-01  -7.2049761E-01   8.0542213E-01
   4.5455001E-02   4.3002092E-03  -6.1174363E-01  -7.2025579E-01   9.4499582E-01
   6.8139486E-02  -3.2818364E-04  -7.3014307E-01  -7.2596920E-01   1.0296311E+00
   9.2080265E-02   1.0595333E-03  -9.3820953E-01  -7.3248941E-01   1.1902852E+00
   1.1470059E-01   1.5547978E-03  -1.1354921E+00  -7.3679090E-01   1.3535899E+00
   1.3608196E-01  -8.0988038E-04  -1.3730175E+00  -7.3834574E-01   1.5589523E+00
   1.6058762E-01  -1.8420261E-03  -1.6086828E+00  -7.3966318E-01   1.7705833E+00
   1.8330331E-01  -4.5651759E-04  -1.8070058E+00  -7.3707855E-01   1.9515519E+00
   2.0444646E-01   1.5124509E-03  -1.9753276E+00  -7.3586059E-01   2.1079402E+00
   2.2901288E-01  -1.3216512E-03  -2.1267939E+00  -7.3450577E-01   2.2500560E+00
   2.5202945E-01  -2.0602367E-05  -2.2260199E+00  -7.3486978E-01   2.3441839E+00
   2.7361074E-01  -5.2634801E-04  -2.2858732E+00  -7.3091692E-01   2.3998866E+00
   2.9605496E-01  -4.5519869E-04  -2.2954109E+00  -7.2094023E-01   2.4059646E+00
   3.1891412E-01  -1.5350141E-03  -2.2875285E+00  -7.0823407E-01   2.3946576E+00
   3.4223559E-01  -2.8916330E-03  -2.2760239E+00  -6.9385034E-01   2.3794372E+00
   3.6534315E-01  -6.6775398E-04  -2.2762930E+00  -6.7929035E-01   2.3754888E+00
   3.8758725E-01   4.4114818E-03  -2.2737148E+00  -6.6524363E-01   2.3690393E+00
   4.1101947E-01   3.0054043E-03  -2.2854640E+00  -6.5323538E-01   2.3769879E+00
   4.3311095E-01   2.7618674E-03  -2.2611153E+00  -6.4159203E-01   2.3503809E+00
   4.5592472E-01   3.8469045E-03  -2.3115959E+00  -6.3394642E-01   2.3969519E+00
   4.7944558E-01   2.8255435E-03  -2.3400438E+00  -6.2586665E-01   2.4222968E+00
