  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   01:18:59  09/06/2023 lwbb     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -6.0246279E-04  -1.2813051E+00  -7.1483034E-01   1.4672170E+00
   1.0428916E-03   2.6867491E-01   5.7313794E+02  -1.6575211E+00   5.7314038E+02
   2.2269305E-02   2.7586835E-02  -9.5868778E-01  -7.1367633E-01   1.1954820E+00
   4.4801991E-02   9.5939115E-03  -6.0920417E-01  -7.1725619E-01   9.4110477E-01
   6.9128402E-02   8.7367119E-03  -7.1752274E-01  -7.2267497E-01   1.0184176E+00
   9.0782724E-02   6.9378321E-03  -9.1120857E-01  -7.2805905E-01   1.1663702E+00
   1.1304190E-01   5.7579726E-03  -1.1239815E+00  -7.3269433E-01   1.3417186E+00
   1.3739397E-01   5.5997642E-03  -1.3939018E+00  -7.3507136E-01   1.5758564E+00
   1.5912868E-01   3.8028436E-03  -1.6212803E+00  -7.3362559E-01   1.7795423E+00
   1.8232316E-01   3.4635433E-03  -1.8033494E+00  -7.3430175E-01   1.9471210E+00
   2.0455123E-01   4.1198349E-03  -1.9883687E+00  -7.3273003E-01   2.1190848E+00
   2.2805108E-01   1.5836963E-03  -2.1357775E+00  -7.3212308E-01   2.2577760E+00
   2.5041607E-01   1.5681597E-03  -2.2343214E+00  -7.3082578E-01   2.3508086E+00
   2.7292064E-01   1.6263275E-03  -2.2797489E+00  -7.2620827E-01   2.3926210E+00
   2.9607925E-01   2.5365977E-03  -2.2904787E+00  -7.1700448E-01   2.4000821E+00
   3.1864044E-01   4.4459244E-04  -2.2916889E+00  -7.0520461E-01   2.3977389E+00
   3.4122068E-01  -2.1966677E-03  -2.2715480E+00  -6.9192082E-01   2.3745925E+00
   3.6492562E-01   1.2366596E-03  -2.2714880E+00  -6.7580938E-01   2.3698897E+00
   3.8802028E-01  -1.7840696E-03  -2.2252104E+00  -6.6082209E-01   2.3212605E+00
   4.1030151E-01  -3.0384427E-03  -2.3277354E+00  -6.5078872E-01   2.4169996E+00
   4.3242416E-01  -1.4428736E-03  -2.2926214E+00  -6.3796830E-01   2.3797307E+00
   4.5699397E-01  -2.4621773E-03  -2.3152347E+00  -6.2937373E-01   2.3992560E+00
   4.7923473E-01   1.5768337E-04  -2.3357425E+00  -6.2189925E-01   2.4171162E+00
   5.0091308E-01  -3.5584655E-03  -2.3930767E+00  -6.1908406E-01   2.4718604E+00
   5.2400303E-01  -1.5133243E-06  -2.3356304E+00  -6.1098206E-01   2.4142220E+00
   5.4726112E-01  -7.5585826E-04  -2.2864170E+00  -6.0844833E-01   2.3659909E+00
   5.6977659E-01  -1.2376959E-03  -2.2073274E+00  -6.0716814E-01   2.2893119E+00
   5.9357178E-01  -4.0873261E-03  -2.0871780E+00  -6.0414445E-01   2.1728597E+00
   6.1570036E-01  -6.8580410E-03  -1.9727831E+00  -6.0106856E-01   2.0623298E+00
   6.3815641E-01   2.5761435E-03  -1.8443683E+00  -5.9798342E-01   1.9388876E+00
   6.6070104E-01   1.0270606E-02  -1.6868018E+00  -5.9346467E-01   1.7881851E+00
   6.8445581E-01  -4.0680878E-03  -1.5349904E+00  -5.8785260E-01   1.6437101E+00
