  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   06:11:40  09/07/2023 qrjj     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00   6.8107824E-04  -1.2805501E+00  -7.1837950E-01   1.4682909E+00
   1.0065821E-03   2.3464622E-01   5.9390466E+02  -1.6905462E+00   5.9390710E+02
   2.3210682E-02  -4.0658866E-03  -3.2702887E-01  -7.2141564E-01   7.9208893E-01
   4.4839304E-02  -2.6398955E-03  -7.3354375E-01  -7.2034961E-01   1.0281036E+00
   6.7939483E-02  -8.1060175E-04  -7.4734437E-01  -7.2703451E-01   1.0426425E+00
   9.1958113E-02   7.2253594E-04  -9.0962070E-01  -7.3192841E-01   1.1675314E+00
   1.1368547E-01   9.0927264E-04  -1.1047400E+00  -7.3810333E-01   1.3286264E+00
   1.3651168E-01   7.9439505E-04  -1.3755852E+00  -7.3898345E-01   1.5615159E+00
   1.5960717E-01   3.3034306E-04  -1.5774783E+00  -7.3970765E-01   1.7422988E+00
   1.8130396E-01   3.1078586E-03  -1.7642250E+00  -7.3843980E-01   1.9125357E+00
   2.0556879E-01   2.9254556E-04  -1.9795618E+00  -7.3522931E-01   2.1116881E+00
   2.2662799E-01   3.4135245E-04  -2.1130965E+00  -7.3496741E-01   2.2372649E+00
   2.5073296E-01   3.7501073E-03  -2.2122557E+00  -7.3344982E-01   2.3306732E+00
   2.7450213E-01   2.4293568E-03  -2.2885935E+00  -7.3246574E-01   2.4029508E+00
   2.9608640E-01  -7.1508606E-04  -2.3006728E+00  -7.2201669E-01   2.4113073E+00
   3.1865853E-01   2.1626768E-03  -2.2977505E+00  -7.1027708E-01   2.4050272E+00
   3.4164920E-01   3.4365716E-04  -2.2867219E+00  -6.9467783E-01   2.3899109E+00
   3.6526489E-01  -3.0608457E-03  -2.2678885E+00  -6.7908770E-01   2.3673801E+00
   3.8791057E-01  -4.1856579E-03  -2.2597690E+00  -6.6515398E-01   2.3556323E+00
   4.1088250E-01  -2.6517927E-03  -2.2771847E+00  -6.5272462E-01   2.3688872E+00
   4.3359843E-01  -1.8444385E-03  -2.3022017E+00  -6.4332539E-01   2.3903983E+00
   4.5655280E-01  -1.5535387E-03  -2.3136251E+00  -6.3302428E-01   2.3986628E+00
   4.7823089E-01  -4.5495490E-03  -2.3517840E+00  -6.2552452E-01   2.4335549E+00
   5.0053918E-01  -6.1164377E-05  -2.3475823E+00  -6.1964232E-01   2.4279826E+00
   5.2406931E-01   2.5438000E-03  -2.3115184E+00  -6.1479074E-01   2.3918803E+00
   5.4701185E-01   3.5372360E-03  -2.2738831E+00  -6.1074996E-01   2.3544791E+00
   5.6992221E-01   7.0253965E-03  -2.1861329E+00  -6.0916573E-01   2.2694292E+00
   5.9273094E-01   8.0563389E-03  -2.0697227E+00  -6.0601234E-01   2.1566334E+00
   6.1551625E-01   6.2966407E-03  -1.9931601E+00  -6.0373747E-01   2.0826008E+00
   6.3829410E-01  -9.3531990E-03  -1.6292193E+00  -5.9543800E-01   1.7346438E+00
   6.6133344E-01   8.2500987E-03  -1.6774341E+00  -5.9564036E-01   1.7800677E+00
   6.8365210E-01   1.7853322E-02  -1.5399857E+00  -5.9006482E-01   1.6492578E+00
   7.0632249E-01   1.0275911E-02  -1.4240966E+00  -5.8626258E-01   1.5400846E+00
