  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   13:45:10  10/11/2023 jupc     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      8.160E+00
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -1.9561760E-03  -1.5083863E+00   1.3500782E+00   2.0243380E+00
   1.6165863E-03   4.1330460E-02   2.1491617E+02   1.0767837E+00   2.1491887E+02
   7.8510894E-03   1.1509415E-03  -2.7784514E-01   1.2965657E+00   1.3260021E+00
   1.6092705E-02  -4.2425632E-03  -5.2399427E-01   1.3329555E+00   1.4322563E+00
   2.4769783E-02  -1.2417883E-03  -8.1117064E-01   1.3095276E+00   1.5404097E+00
   3.3246804E-02   1.5760401E-03  -1.0878227E+00   1.3034784E+00   1.6977681E+00
   4.0630963E-02  -3.5834912E-04  -1.1632103E+00   1.3204159E+00   1.7597035E+00
   4.8285324E-02   2.5496571E-03  -1.3631632E+00   1.3179709E+00   1.8961191E+00
   5.7842825E-02   4.4782562E-03  -1.5823193E+00   1.3109475E+00   2.0548327E+00
   6.4464323E-02   7.6022447E-04  -1.7337692E+00   1.3038145E+00   2.1693060E+00
   7.4011780E-02   5.5662199E-04  -1.9546423E+00   1.2960591E+00   2.3452923E+00
   8.1778832E-02  -6.5142643E-03  -2.1103206E+00   1.2936591E+00   2.4752877E+00
   8.9426711E-02  -3.2525919E-03  -2.2708423E+00   1.2989231E+00   2.6160917E+00
   9.8393314E-02  -1.1221538E-02  -2.4572480E+00   1.3047780E+00   2.7822006E+00
   1.0631315E-01   8.7373918E-03  -2.6018307E+00   1.3067759E+00   2.9115739E+00
   1.1423327E-01   2.7259851E-03  -2.7518711E+00   1.3076822E+00   3.0467744E+00
   1.2253483E-01  -7.5080469E-03  -2.8958027E+00   1.3079200E+00   3.1774809E+00
   1.3015223E-01   1.1969239E-02  -3.0432980E+00   1.3063968E+00   3.3118694E+00
   1.3853715E-01  -1.7921407E-02  -3.2037542E+00   1.3132520E+00   3.4625125E+00
   1.4702396E-01   7.6712272E-03  -3.2656536E+00   1.3212348E+00   3.5228133E+00
   1.5492180E-01  -8.7495772E-03  -3.4293280E+00   1.3318650E+00   3.6788900E+00
   1.6306363E-01  -1.4956305E-02  -3.5343106E+00   1.3402189E+00   3.7799156E+00
   1.7152630E-01  -9.2484988E-03  -3.5646296E+00   1.3419268E+00   3.8088629E+00
   1.7930625E-01   3.9081443E-03  -3.7196407E+00   1.3456177E+00   3.9555569E+00
   1.8776254E-01   2.4808969E-03  -3.7935200E+00   1.3479774E+00   4.0258965E+00
   1.9639093E-01   4.5002727E-03  -3.8649294E+00   1.3543115E+00   4.0953460E+00
   2.0451778E-01   1.1344704E-02  -3.8847964E+00   1.3567085E+00   4.1149035E+00
   2.1229123E-01   1.3602753E-02  -3.9488544E+00   1.3495193E+00   4.1731091E+00
   2.2028770E-01   2.1972757E-02  -3.8792427E+00   1.3531196E+00   4.1085200E+00
   2.2851451E-01   7.5648935E-03  -3.8291252E+00   1.3484294E+00   4.0596204E+00
   2.3696677E-01   1.4443113E-02  -3.7688353E+00   1.3441063E+00   4.0013685E+00
   2.4428229E-01   1.3222425E-02  -3.7090831E+00   1.3410344E+00   3.9440899E+00
   2.5242719E-01   3.6811652E-03  -3.5422521E+00   1.3396674E+00   3.7871194E+00
   2.6099402E-01   2.3319073E-02  -3.3889241E+00   1.3383306E+00   3.6436903E+00
   2.6922217E-01  -9.7271558E-03  -3.2619743E+00   1.3363594E+00   3.5251138E+00
   2.7724487E-01   1.8466478E-02  -3.0635517E+00   1.3332131E+00   3.3411295E+00
   2.8609225E-01  -2.1978697E-02  -2.8107698E+00   1.3306714E+00   3.1099191E+00
   2.9335064E-01  -1.7606369E-03  -2.6865480E+00   1.3275211E+00   2.9966407E+00
   3.0160841E-01   4.8038699E-03  -2.4708774E+00   1.3280114E+00   2.8051510E+00
   3.1052211E-01  -1.4247370E-02  -2.2006757E+00   1.3298551E+00   2.5713210E+00
   3.1811863E-01   1.2680299E-03  -1.9338905E+00   1.3302079E+00   2.3472083E+00
   3.2661241E-01   6.1539090E-03  -1.7306833E+00   1.3307834E+00   2.1831827E+00
   3.3427942E-01  -1.2686376E-02  -1.5305479E+00   1.3326216E+00   2.0294378E+00
   3.4279150E-01  -3.8307384E-03  -1.1724703E+00   1.3350135E+00   1.7767843E+00
   3.5076064E-01   8.7136746E-04  -9.9911332E-01   1.3370265E+00   1.6690919E+00
   3.5908219E-01  -3.6175225E-02  -6.7673171E-01   1.3412241E+00   1.5027163E+00
   3.6694345E-01  -3.7480433E-02  -3.7430108E-01   1.3459140E+00   1.3974944E+00
   3.7514558E-01  -2.7032776E-02  -1.8276794E-01   1.3519495E+00   1.3645154E+00
   3.8364235E-01  -2.5305759E-02   1.5526347E-01   1.3576547E+00   1.3667382E+00
   3.9173684E-01  -4.4207301E-02   3.6371568E-01   1.3640335E+00   1.4123847E+00
   4.0011510E-01  -1.2562536E-01   4.6393898E-01   1.3720667E+00   1.4538184E+00
   4.0790930E-01  -1.3206486E-02   9.2257994E-01   1.3775924E+00   1.6580378E+00
   4.1606909E-01  -7.9026818E-02   1.0597157E+00   1.3898660E+00   1.7495629E+00
   4.2477825E-01  -6.5962702E-02   1.3038806E+00   1.3954389E+00   1.9109436E+00
   4.3257159E-01  -3.5572201E-02   1.4897979E+00   1.4016827E+00   2.0458441E+00
   4.4080508E-01  -2.2262586E-02   1.6394610E+00   1.4095706E+00   2.1622250E+00
   4.4826302E-01  -4.8049674E-03   1.9026372E+00   1.4174389E+00   2.3725903E+00
   4.5678192E-01  -2.8196929E-02   2.1004643E+00   1.4249367E+00   2.5383439E+00
   4.6513987E-01  -1.3367414E-02   2.2864046E+00   1.4333514E+00   2.6985774E+00
   4.7329700E-01  -2.2757700E-02   2.3858020E+00   1.4402523E+00   2.7869153E+00
   4.8159441E-01  -5.2530251E-02   2.6279013E+00   1.4514462E+00   3.0025523E+00
   4.9002519E-01  -5.5869529E-03   2.7589793E+00   1.4537654E+00   3.1185625E+00
   4.9832958E-01  -6.4432487E-04   2.9851851E+00   1.4570640E+00   3.3218017E+00
   5.0586474E-01  -1.3820835E-02   3.0738373E+00   1.4617771E+00   3.4037421E+00
   5.1361018E-01  -4.5725550E-03   3.2779803E+00   1.4594204E+00   3.5881867E+00
   5.2207226E-01  -1.3753003E-02   3.4581482E+00   1.4653429E+00   3.7558231E+00
   5.3038818E-01   4.0625958E-04   3.6114979E+00   1.4723556E+00   3.9000959E+00
   5.3869307E-01  -2.5967283E-02   3.7173612E+00   1.4693254E+00   3.9972949E+00
   5.4627472E-01   1.7228441E-03   3.8412971E+00   1.4663589E+00   4.1116633E+00
   5.5546480E-01  -1.9460477E-02   4.0521255E+00   1.4685148E+00   4.3100624E+00
   5.6279314E-01  -3.0776711E-02   4.1156502E+00   1.4737903E+00   4.3716793E+00
   5.7103103E-01   6.9466647E-04   4.2081990E+00   1.4647297E+00   4.4558244E+00
   5.7937366E-01  -2.2791371E-02   4.3096690E+00   1.4667677E+00   4.5524912E+00
   5.8745253E-01  -2.3769278E-02   4.3829665E+00   1.4669374E+00   4.6219978E+00
   5.9547061E-01  -1.7504929E-02   4.4394684E+00   1.4622030E+00   4.6741014E+00
   6.0337955E-01  -3.5815943E-02   4.4822021E+00   1.4620464E+00   4.7147636E+00
   6.1191154E-01  -3.8024846E-02   4.5200205E+00   1.4577025E+00   4.7494135E+00
   6.2009406E-01  -5.8171884E-03   4.5283566E+00   1.4554136E+00   4.7564983E+00
   6.2802064E-01  -1.0110570E-02   4.4982843E+00   1.4401634E+00   4.7232127E+00
   6.3619620E-01  -3.9410222E-02   4.5273204E+00   1.4289371E+00   4.7476358E+00
   6.4490569E-01  -2.0670002E-02   4.3838902E+00   1.4122053E+00   4.6057839E+00
   6.5287083E-01  -2.5080796E-02   4.3497925E+00   1.4235570E+00   4.5768809E+00
   6.6132551E-01  -2.3386570E-02   4.2888269E+00   1.3954004E+00   4.5101805E+00
   6.6902858E-01  -2.0339660E-02   4.1865730E+00   1.3983134E+00   4.4139652E+00
   6.7746806E-01  -2.1410763E-02   4.0265613E+00   1.3939880E+00   4.2610860E+00
   6.8516654E-01  -1.9043563E-02   3.9289937E+00   1.3760656E+00   4.1630411E+00
   6.9364184E-01  -3.9814082E-03   3.7288814E+00   1.3651203E+00   3.9709101E+00
   7.0159727E-01   5.9602049E-04   3.5479391E+00   1.3549273E+00   3.7978547E+00
   7.1035898E-01  -1.3467947E-02   3.2969968E+00   1.3420980E+00   3.5597186E+00
   7.1821791E-01  -1.3450913E-02   3.0901797E+00   1.3332798E+00   3.3655648E+00
   7.2599524E-01  -2.6856549E-02   2.8297784E+00   1.3241086E+00   3.1243608E+00
   7.3439103E-01  -7.3602851E-03   2.6076212E+00   1.3212200E+00   2.9232457E+00
   7.4220955E-01  -2.5108531E-02   2.3011861E+00   1.3121306E+00   2.6491082E+00
   7.5113398E-01  -1.3743241E-02   2.0391157E+00   1.3055277E+00   2.4212773E+00
   7.5917971E-01  -7.5116032E-03   1.7104130E+00   1.3012360E+00   2.1491358E+00
   7.6742053E-01  -1.0302438E-02   1.4400874E+00   1.2961268E+00   1.9374990E+00
   7.7464253E-01  -1.4386606E-02   1.1577892E+00   1.2946485E+00   1.7368931E+00
