  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   09:21:15  10/12/2023 vliq     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      8.160E+00
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -1.3910208E-03  -1.5118387E+00   1.2908585E+00   1.9879572E+00
   1.6165863E-03   5.8912817E-02   2.1514606E+02   9.5991045E-01   2.1514821E+02
   8.1774518E-03  -3.3557974E-03  -3.2860908E-01   1.2344795E+00   1.2774721E+00
   1.6560309E-02  -4.7847354E-03  -6.1066306E-01   1.2922798E+00   1.4293073E+00
   2.4106313E-02  -5.8635673E-04  -6.4284682E-01   1.2919890E+00   1.4430828E+00
   3.3017751E-02   5.0994488E-03  -1.0755686E+00   1.2384915E+00   1.6403459E+00
   3.9927930E-02   2.5152725E-03  -1.1866956E+00   1.2423065E+00   1.7180157E+00
   4.9071357E-02   6.6483062E-04  -1.3482708E+00   1.2366860E+00   1.8295428E+00
   5.6486867E-02   3.9666477E-03  -1.5437247E+00   1.2368222E+00   1.9780878E+00
   6.5309130E-02   3.9130310E-03  -1.7401848E+00   1.2477472E+00   2.1412921E+00
   7.3229358E-02  -9.9721109E-04  -1.8864261E+00   1.2528156E+00   2.2645423E+00
   8.1410624E-02  -4.9671979E-04  -2.1251068E+00   1.2518110E+00   2.4663961E+00
   8.9561522E-02   9.0765730E-03  -2.2771890E+00   1.2430297E+00   2.5943778E+00
   9.8186873E-02   6.1748321E-03  -2.4319911E+00   1.2349118E+00   2.7275679E+00
   1.0581318E-01  -4.9536577E-03  -2.6277375E+00   1.2361292E+00   2.9039705E+00
   1.1395188E-01   2.1999644E-04  -2.8092701E+00   1.2421414E+00   3.0716305E+00
   1.2219984E-01  -1.0571586E-02  -2.8917494E+00   1.2521061E+00   3.1512053E+00
   1.3015227E-01   1.0731246E-02  -3.0520339E+00   1.2566129E+00   3.3006215E+00
   1.3875163E-01  -1.0278801E-03  -3.1997056E+00   1.2633104E+00   3.4400682E+00
   1.4654666E-01  -1.7634871E-03  -3.2994070E+00   1.2633777E+00   3.5330174E+00
   1.5529634E-01  -2.1462839E-03  -3.4451535E+00   1.2622247E+00   3.6691005E+00
   1.6335225E-01  -6.6650030E-03  -3.5415177E+00   1.2733299E+00   3.7634771E+00
