  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   15:27:10  10/23/2023 ogpj     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      1.690E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -5.8826839E-04   4.9897161E+00   1.2429097E+00   5.1421876E+00
   8.5960468E-04   4.9235560E-02  -5.2825049E+02   9.4872600E-01   5.2825134E+02
   1.6984776E-02   1.0110063E-02   4.4961710E+00   1.3700018E+00   4.7002726E+00
   3.3561151E-02   7.3035317E-03   4.7460246E+00   1.3531843E+00   4.9351707E+00
   5.0208569E-02   3.9878422E-03   5.0015993E+00   1.3563585E+00   5.1822505E+00
   6.7905687E-02   4.3178210E-03   5.3628306E+00   1.3689756E+00   5.5348048E+00
   8.4303908E-02   3.9770105E-03   5.7348876E+00   1.3785907E+00   5.8982592E+00
   1.0219572E-01   3.9904178E-03   6.1897192E+00   1.3952740E+00   6.3450322E+00
   1.1889146E-01   7.5527868E-04   6.6710129E+00   1.3959534E+00   6.8155046E+00
   1.3541852E-01   3.4537166E-04   7.1638904E+00   1.3999034E+00   7.2993875E+00
   1.5140559E-01   2.2422161E-03   7.5991039E+00   1.4011819E+00   7.7272048E+00
   1.6952650E-01  -2.5029543E-03   8.1106529E+00   1.3963981E+00   8.2299833E+00
   1.8615879E-01   1.1715604E-02   8.4989195E+00   1.3951281E+00   8.6126738E+00
   2.0240547E-01   7.2814613E-03   8.8574934E+00   1.4106698E+00   8.9691267E+00
   2.2008485E-01   1.4172691E-02   9.1477957E+00   1.4034696E+00   9.2548418E+00
   2.3645195E-01   2.0691944E-02   9.3634949E+00   1.3994157E+00   9.4675150E+00
   2.5343850E-01   1.4787251E-02   9.5054216E+00   1.4003434E+00   9.6080294E+00
   2.7054739E-01   1.3472455E-02   9.5658646E+00   1.3972899E+00   9.6673870E+00
   2.8741843E-01   2.6514852E-02   9.5813656E+00   1.4061229E+00   9.6840305E+00
   3.0419481E-01   2.3440070E-02   9.5563364E+00   1.3896652E+00   9.6568775E+00
   3.2089680E-01   6.5721035E-02   9.3586950E+00   1.3869177E+00   9.4611330E+00
   3.3813795E-01   4.5430310E-02   8.9372864E+00   1.4070506E+00   9.0474825E+00
   3.5512534E-01   2.7601322E-02   8.6341600E+00   1.3427330E+00   8.7379866E+00
   3.7133428E-01  -3.7918136E-02   8.0721807E+00   1.3237404E+00   8.1800871E+00
   3.8842747E-01   1.2431742E-02   7.6173725E+00   1.3113737E+00   7.7294388E+00
   4.0531221E-01   4.3115366E-02   6.9742937E+00   1.2823894E+00   7.0913434E+00
   4.2274976E-01   4.5179598E-02   6.2512445E+00   1.2566181E+00   6.3764558E+00
   4.3961474E-01  -1.5742330E-02   5.5981736E+00   1.2432295E+00   5.7345810E+00
   4.5669702E-01   1.8444955E-02   4.8692389E+00   1.2206427E+00   5.0199399E+00
   4.7338098E-01  -2.3091814E-02   3.9549146E+00   1.2015623E+00   4.1334772E+00
   4.8999006E-01  -2.2875728E-02   3.2661583E+00   1.1858411E+00   3.4748428E+00
   5.0694942E-01  -5.2153852E-02   2.3965580E+00   1.1736540E+00   2.6690211E+00
   5.2379429E-01  -8.2677349E-02   1.6310167E+00   1.1486746E+00   1.9966233E+00
   5.4044050E-01  -8.6631015E-02   7.7388078E-01   1.1536939E+00   1.3919073E+00
   5.5732572E-01  -8.6274989E-02  -5.0589398E-02   1.1450366E+00   1.1493962E+00
