  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:48:07  02/09/2024 bnvl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.378E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   1.1831849E-03   6.0177398E+00   3.1498370E+00
   3.3760001E-03   8.5349798E-02  -1.3718741E+02   1.6329144E+00
   5.6914887E-03   1.9128398E-03   4.3659134E+00   3.1923044E+00
   9.9809309E-03  -3.8720365E-03   5.0315576E+00   3.3336492E+00
   1.4479072E-02  -3.3329648E-03   5.1960096E+00   3.3121731E+00
   1.6898194E-02  -3.2529160E-03   5.2773709E+00   3.3007574E+00
   1.9438272E-02  -3.3038561E-03   5.3300948E+00   3.2953227E+00
   2.4905790E-02  -6.9635164E-04   5.5533166E+00   3.2862437E+00
   2.7846247E-02   1.0728228E-03   5.6066175E+00   3.2880363E+00
   3.0690709E-02   3.3183170E-03   5.6656871E+00   3.2902558E+00
   3.3456091E-02   8.5129053E-04   5.7571754E+00   3.2958791E+00
   3.6163148E-02   7.5987931E-03   5.8306532E+00   3.3021667E+00
   4.1461654E-02   2.2332540E-03   5.9853511E+00   3.3121226E+00
   4.4075347E-02   7.1935342E-03   6.0665689E+00   3.3153086E+00
   4.6676815E-02   6.8215374E-03   6.1238251E+00   3.3165762E+00
   5.1833536E-02   9.7953361E-03   6.3024035E+00   3.3218188E+00
   5.4352451E-02   1.1012821E-02   6.3977232E+00   3.3264322E+00
   5.6836456E-02   1.4736564E-03   6.4536314E+00   3.3296754E+00
   6.1716676E-02   1.2117034E-02   6.5985346E+00   3.3384619E+00
   6.4124703E-02   1.1766847E-02   6.6967177E+00   3.3447769E+00
   6.6514768E-02   1.2889546E-02   6.7588420E+00   3.3480384E+00
   7.1254641E-02   1.4649291E-02   6.9189024E+00   3.3534546E+00
   7.3611669E-02   1.6921079E-02   6.9919791E+00   3.3561659E+00
   7.8295857E-02   1.4831484E-02   7.1608286E+00   3.3665564E+00
   8.0646679E-02   1.7662162E-02   7.2656231E+00   3.3681035E+00
   8.5379899E-02   1.6349133E-02   7.4458299E+00   3.3804648E+00
   8.7792672E-02   2.2793824E-02   7.5310221E+00   3.3848372E+00
   9.0256333E-02   1.5393237E-02   7.6023264E+00   3.3869410E+00
   9.5303990E-02   2.0792842E-02   7.7858300E+00   3.3895311E+00
   9.7759046E-02   3.9144107E-03   7.8672876E+00   3.3914828E+00
   1.0017319E-01   1.6698224E-02   7.9814768E+00   3.3921521E+00
   1.0489263E-01   1.3978716E-02   8.1645393E+00   3.4017894E+00
   1.0720402E-01   1.5307544E-02   8.2591696E+00   3.4047647E+00
   1.1174281E-01  -2.0542815E-03   8.4006920E+00   3.4049323E+00
   1.1397458E-01   4.1160516E-02   8.4952745E+00   3.4075971E+00
   1.1837228E-01   1.6469698E-02   8.7184458E+00   3.4152083E+00
   1.2054097E-01   1.7077003E-02   8.8220358E+00   3.4201219E+00
   1.2482722E-01   1.0199870E-02   8.9944038E+00   3.4276476E+00
