  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:00:13  02/09/2024 bpnh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      554      0.000E+00      1.866E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -1.2496715E-02   6.0156064E+00   3.1791031E+00
   3.3760001E-03  -2.6966307E-02  -1.3708948E+02   1.5773929E+00
   7.5546238E-03  -3.7384860E-02   5.1625047E+00   3.3422415E+00
   9.4885761E-03  -2.4052810E-02   4.9650736E+00   3.3683982E+00
   1.3651410E-02  -2.0277169E-02   5.1287150E+00   3.3455634E+00
   1.5890202E-02  -1.9292029E-02   5.1887236E+00   3.3378758E+00
   2.0709202E-02  -1.2032345E-02   5.3857741E+00   3.3135371E+00
   2.3300882E-02  -1.4235044E-02   5.4830809E+00   3.3063531E+00
   2.6022149E-02  -1.4330277E-02   5.5564842E+00   3.3038390E+00
   3.1879675E-02  -9.9040344E-03   5.6936016E+00   3.3149028E+00
   3.4846164E-02  -8.6600501E-03   5.7971745E+00   3.3295894E+00
   3.7763495E-02  -4.5314594E-03   5.8650589E+00   3.3345582E+00
   4.0634636E-02  -4.6605286E-03   5.9485502E+00   3.3393824E+00
   4.3462399E-02  -9.7767478E-03   6.0522861E+00   3.3432999E+00
   4.6249185E-02  -2.3186258E-03   6.1328650E+00   3.3452630E+00
   5.1709116E-02   1.0157595E-03   6.3114619E+00   3.3498418E+00
   5.4387335E-02  -1.8102903E-03   6.3929667E+00   3.3529990E+00
   5.7034619E-02   2.5362896E-03   6.4785185E+00   3.3563561E+00
   5.9653688E-02   1.2199412E-02   6.5385017E+00   3.3585956E+00
   6.4817436E-02   1.5275495E-02   6.7223892E+00   3.3668945E+00
   6.7366578E-02   7.0762928E-03   6.7979774E+00   3.3698618E+00
   6.9896445E-02   1.4779797E-02   6.8868432E+00   3.3735485E+00
   7.4907042E-02   3.9650258E-03   7.0802135E+00   3.3829429E+00
   7.7391751E-02   1.4872793E-02   7.1755037E+00   3.3899238E+00
   7.9865083E-02   1.5834326E-02   7.2630076E+00   3.3945918E+00
   8.4783837E-02   2.0007983E-02   7.4398046E+00   3.4033034E+00
   8.7232292E-02   2.1167712E-02   7.5305963E+00   3.4071760E+00
   9.2114888E-02   1.0241171E-02   7.7003341E+00   3.4129720E+00
   9.4552167E-02   1.4314438E-02   7.7824144E+00   3.4158576E+00
   9.6988700E-02   2.5064940E-02   7.8879738E+00   3.4141357E+00
   1.0186432E-01   1.9839795E-02   8.0809450E+00   3.4209151E+00
   1.0430588E-01   2.1112127E-02   8.1594458E+00   3.4234958E+00
   1.0920097E-01   1.9692352E-02   8.3486357E+00   3.4285963E+00
   1.1165585E-01   4.1444302E-03   8.4648504E+00   3.4345045E+00
   1.1411685E-01   2.3737156E-03   8.5424500E+00   3.4333985E+00
   1.1906018E-01   1.4505291E-02   8.7459145E+00   3.4354565E+00
   1.2154383E-01  -7.5418158E-03   8.8456964E+00   3.4388435E+00
