  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:14:12  02/13/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.377E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   8.6300876E-03   6.0171981E+00   2.8443096E+00
   3.3760001E-03  -2.0605169E-01  -1.3726517E+02   1.6066751E+00
   7.6767881E-03   6.0640283E-02   5.1768203E+00   3.0133529E+00
   9.6672811E-03   5.6086406E-02   5.0019550E+00   3.0256071E+00
   1.3951818E-02   4.8611473E-02   5.1586680E+00   3.0019054E+00
   1.6256062E-02   4.5698591E-02   5.2319942E+00   2.9905121E+00
   2.1215947E-02   3.6705121E-02   5.4014654E+00   2.9768777E+00
   2.3883399E-02   3.3191003E-02   5.4970489E+00   2.9750040E+00
   2.6684223E-02   3.0189715E-02   5.5743003E+00   2.9757736E+00
   2.9625088E-02   2.9112922E-02   5.6457963E+00   2.9826245E+00
   3.2635998E-02   2.9534159E-02   5.7167315E+00   2.9854202E+00
   3.5717662E-02   2.7113993E-02   5.8149481E+00   2.9936476E+00
   4.1980453E-02   1.9805536E-02   5.9859452E+00   2.9997599E+00
   4.5037154E-02   2.0528028E-02   6.0944552E+00   3.0035083E+00
   4.8045605E-02   1.5117094E-02   6.1880121E+00   3.0066683E+00
   5.1011574E-02   1.4040422E-02   6.2833872E+00   3.0104411E+00
   5.3940669E-02   1.1322598E-03   6.3752394E+00   3.0141056E+00
   5.6836072E-02   6.4574406E-03   6.4683805E+00   3.0191936E+00
   5.9705719E-02   7.6701143E-03   6.5605202E+00   3.0234027E+00
   6.5397494E-02   5.5231981E-04   6.7165837E+00   3.0294654E+00
   6.8241708E-02  -2.7108858E-03   6.8561463E+00   3.0343614E+00
   7.1109511E-02  -3.5828419E-03   6.9345369E+00   3.0377166E+00
   7.4011557E-02  -1.1472233E-03   7.0218277E+00   3.0409112E+00
   7.6958805E-02   4.2104576E-04   7.1245375E+00   3.0435727E+00
   8.0053426E-02  -2.1045159E-03   7.3205175E+00   3.0585372E+00
   8.3293729E-02  -8.0510359E-03   7.3836784E+00   3.0599246E+00
   8.6696051E-02  -1.0466768E-02   7.4577899E+00   3.0618002E+00
   9.0145074E-02  -9.8988665E-03   7.5611548E+00   3.0618899E+00
   9.3489349E-02  -2.0356230E-02   7.7618270E+00   3.0709243E+00
   9.9088483E-02   4.6326537E-03   7.9467058E+00   3.0743363E+00
   1.0209972E-01  -1.8288512E-02   8.0290794E+00   3.0741704E+00
   1.0515562E-01  -1.5491934E-02   8.1489992E+00   3.0758247E+00
   1.0815340E-01  -1.3816227E-02   8.2793627E+00   3.0789649E+00
   1.1109901E-01  -3.3198029E-03   8.4173393E+00   3.0852518E+00
   1.1399761E-01  -4.2532953E-03   8.5525846E+00   3.0882382E+00
   1.1685590E-01   3.0096760E-04   8.6695328E+00   3.0900452E+00
   1.2248544E-01   9.3043791E-03   8.8888493E+00   3.0960965E+00
