  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   14:10:46  09/07/2023 bbyu     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00   1.3218127E-04  -1.1737821E+00  -1.3956875E+00   1.8236524E+00
   1.5095273E-03   1.4740598E-03   3.5255856E+02  -2.1772039E+00   3.5256528E+02
   2.2479977E-02   7.0362403E-03  -5.1436114E-01  -1.3790681E+00   1.4718851E+00
   4.5733977E-02   5.8196876E-03  -6.5741974E-01  -1.3876014E+00   1.5354713E+00
   6.8667270E-02   6.5997364E-03  -8.3653498E-01  -1.3917731E+00   1.6238431E+00
   9.1640584E-02   1.6521761E-03  -9.4741642E-01  -1.3914254E+00   1.6833494E+00
   1.1380665E-01   2.3834847E-03  -1.1162995E+00  -1.3868580E+00   1.7803105E+00
   1.3695964E-01   5.9503838E-03  -1.3206055E+00  -1.3829696E+00   1.9122341E+00
   1.5897082E-01   8.1365192E-03  -1.4451157E+00  -1.3707607E+00   1.9918360E+00
   1.8272962E-01   9.5172776E-03  -1.5743992E+00  -1.3623475E+00   2.0820217E+00
   2.0565854E-01   3.9729487E-02  -1.7120498E+00  -1.3563225E+00   2.1845603E+00
   2.2787854E-01   2.4902250E-03  -1.8139241E+00  -1.3442702E+00   2.2577398E+00
   2.5035158E-01   2.8850022E-03  -1.8809845E+00  -1.3321580E+00   2.3049417E+00
   2.7412891E-01   5.2574393E-03  -1.9162050E+00  -1.3261977E+00   2.3303797E+00
   2.9692364E-01   5.7992490E-04  -1.9279748E+00  -1.3157965E+00   2.3341823E+00
   3.1817108E-01  -2.5115744E-04  -1.9376366E+00  -1.3040701E+00   2.3356016E+00
   3.4217131E-01  -4.1264220E-04  -1.9408820E+00  -1.2917104E+00   2.3314240E+00
   3.6468601E-01   9.3890686E-04  -1.9478816E+00  -1.2805655E+00   2.3311138E+00
   3.8714191E-01  -2.4811227E-03  -1.9412074E+00  -1.2666996E+00   2.3179345E+00
   4.1100290E-01   6.1343610E-04  -1.9224887E+00  -1.2466154E+00   2.2912908E+00
   4.3366498E-01   2.8667733E-04  -2.0074513E+00  -1.2502842E+00   2.3649673E+00
   4.5557150E-01   4.5439453E-04  -1.9981825E+00  -1.2321670E+00   2.3475454E+00
   4.7748378E-01   1.3143150E-03  -1.9957378E+00  -1.2243605E+00   2.3413734E+00
   5.0175893E-01   2.5298721E-03  -1.9713771E+00  -1.2120805E+00   2.3141897E+00
   5.2340943E-01   1.6149482E-03  -1.9589353E+00  -1.2056984E+00   2.3002474E+00
   5.4640579E-01   3.4121892E-03  -1.9321625E+00  -1.1964397E+00   2.2726047E+00
   5.6945676E-01   2.0986998E-03  -1.8596005E+00  -1.1907200E+00   2.2081513E+00
   5.9169316E-01   6.9526286E-04  -1.7968818E+00  -1.1789081E+00   2.1490948E+00
   6.1578894E-01   9.7145874E-04  -1.7374247E+00  -1.1810882E+00   2.1008606E+00
   6.3863915E-01  -7.0211831E-03  -1.6482837E+00  -1.1692209E+00   2.0208826E+00
   6.6191643E-01   2.7903311E-03  -1.5778800E+00  -1.1645843E+00   1.9611144E+00
   6.8419206E-01   2.3502144E-03  -1.5598655E+00  -1.1610652E+00   1.9445457E+00
   7.0726722E-01   1.5732883E-03  -1.4086306E+00  -1.1517973E+00   1.8195822E+00
   7.3075259E-01   2.5161861E-03  -1.3316327E+00  -1.1495115E+00   1.7591556E+00
   7.5334877E-01   2.8598080E-03  -1.2718242E+00  -1.1470236E+00   1.7126611E+00
   7.7587843E-01   2.8887866E-03  -1.2035241E+00  -1.1441590E+00   1.6605958E+00
   7.9831821E-01   2.4795330E-03  -1.0865800E+00  -1.1425520E+00   1.5767331E+00
   8.2193744E-01   2.6127659E-03  -1.0198436E+00  -1.1401179E+00   1.5296916E+00
   8.4383726E-01   4.1200113E-03  -8.9986324E-01  -1.1382097E+00   1.4509625E+00
   8.6545229E-01   3.0583972E-03  -8.0154145E-01  -1.1361089E+00   1.3904034E+00
   8.9014173E-01   2.2354771E-03  -7.2441667E-01  -1.1345285E+00   1.3460830E+00
   9.1333312E-01   2.5593718E-03  -6.4050174E-01  -1.1326499E+00   1.3012090E+00
   9.3345898E-01   1.9791410E-03  -5.3249258E-01  -1.1319402E+00   1.2509360E+00
   9.5664352E-01   3.6605948E-04  -3.9041340E-01  -1.1316243E+00   1.1970782E+00
   9.7933489E-01   1.2707697E-03  -3.0315995E-01  -1.1311599E+00   1.1710808E+00
   1.0047708E+00   7.8071898E-04  -1.8354487E-01  -1.1316723E+00   1.1464604E+00
   1.0249820E+00   8.4830564E-04  -8.4052928E-02  -1.1320063E+00   1.1351228E+00
   1.0500281E+00   1.5174813E-03   5.9264719E-02  -1.1320541E+00   1.1336054E+00
   1.0730464E+00   1.5688986E-03   1.9932093E-01  -1.1326842E+00   1.1500891E+00
   1.0937585E+00   1.2523902E-03   2.9317549E-01  -1.1331016E+00   1.1704156E+00
   1.1179198E+00   1.2354231E-03   3.7788126E-01  -1.1337444E+00   1.1950616E+00
   1.1385522E+00   6.1215949E-04   4.6612263E-01  -1.1349334E+00   1.2269248E+00
   1.1624898E+00   7.2072819E-04   5.8442241E-01  -1.1375077E+00   1.2788564E+00
   1.1860937E+00   4.6428543E-04   6.7738158E-01  -1.1395161E+00   1.3256482E+00
   1.2086194E+00  -1.8074296E-03   8.2918215E-01  -1.1428748E+00   1.4119878E+00
   1.2311869E+00  -6.4078078E-04   9.1439039E-01  -1.1461176E+00   1.4661841E+00
   1.2538271E+00  -1.4607720E-03   1.0379831E+00  -1.1504458E+00   1.5494956E+00
   1.2773036E+00  -7.8043109E-04   1.1563619E+00  -1.1542708E+00   1.6338649E+00
   1.2981763E+00  -2.0899222E-04   1.2280583E+00  -1.1569908E+00   1.6872330E+00
   1.3210865E+00   9.7493339E-06   1.3233939E+00  -1.1615307E+00   1.7608308E+00
   1.3443180E+00  -2.2862011E-03   1.4508187E+00  -1.1686156E+00   1.8629392E+00
   1.3689653E+00   7.8775600E-05   1.5441096E+00  -1.1735636E+00   1.9394654E+00
   1.3914293E+00   1.1722427E-03   1.6483234E+00  -1.1799424E+00   2.0271249E+00
   1.4138178E+00  -1.0871232E-03   1.7395169E+00  -1.1867681E+00   2.1057868E+00
   1.4370508E+00  -3.6256062E-04   1.8374060E+00  -1.1936359E+00   2.1910791E+00
