  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   19:11:27  09/08/2023 cgix     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -1.8732041E-03  -1.1726750E+00  -1.4030451E+00   1.8285803E+00
   1.2447459E-03   1.4459801E-01   4.2707455E+02  -2.3555644E+00   4.2708109E+02
   2.2454182E-02   3.1547409E-03  -5.3005093E-01  -1.3851010E+00   1.4830605E+00
   4.5220323E-02   1.4662028E-03  -7.3736441E-01  -1.3880154E+00   1.5717173E+00
   6.8099596E-02   2.1496189E-03  -7.8405637E-01  -1.3977883E+00   1.6026732E+00
   9.0872020E-02   6.8550312E-04  -9.8126251E-01  -1.3967859E+00   1.7070111E+00
   1.1393771E-01   1.9391926E-03  -1.1237004E+00  -1.3889461E+00   1.7865826E+00
   1.3722439E-01  -1.4167004E-03  -1.3176745E+00  -1.3889763E+00   1.9145555E+00
   1.5923199E-01  -2.5028903E-03  -1.4627547E+00  -1.3766865E+00   2.0087118E+00
   1.8237551E-01  -6.1746016E-03  -1.5887440E+00  -1.3697227E+00   2.0976858E+00
   2.0476812E-01  -3.0576731E-03  -1.6824825E+00  -1.3617307E+00   2.1645017E+00
   2.2761244E-01  -3.8219569E-03  -1.8084333E+00  -1.3514551E+00   2.2576263E+00
   2.5087103E-01  -9.9265780E-03  -1.8649485E+00  -1.3402607E+00   2.2966127E+00
   2.7350721E-01   1.6385054E-03  -1.9039755E+00  -1.3314422E+00   2.3233304E+00
   2.9569545E-01   5.8911816E-04  -1.9144663E+00  -1.3231149E+00   2.3271902E+00
   3.2006308E-01  -1.5478525E-03  -1.9333270E+00  -1.3103493E+00   2.3355451E+00
   3.4175915E-01  -9.8659145E-03  -1.9290420E+00  -1.2985637E+00   2.3254178E+00
   3.6411995E-01  -2.6401423E-03  -1.9249632E+00  -1.2857572E+00   2.3148785E+00
   3.8812509E-01  -1.9917677E-03  -1.9381188E+00  -1.2727538E+00   2.3186657E+00
   4.1130087E-01  -1.1506894E-03  -1.9454836E+00  -1.2596028E+00   2.3176510E+00
   4.3364626E-01  -8.4160847E-06  -1.9510131E+00  -1.2469864E+00   2.3154757E+00
   4.5502919E-01   8.1821030E-04  -1.9704728E+00  -1.2380768E+00   2.3271437E+00
   4.7839382E-01   1.2259006E-03  -1.9253064E+00  -1.2226080E+00   2.2806964E+00
   5.0295758E-01   6.8649399E-04  -1.9475926E+00  -1.2165239E+00   2.2963119E+00
   5.2374721E-01   1.8348910E-04  -1.9316671E+00  -1.2086651E+00   2.2786419E+00
   5.4728043E-01  -1.3389257E-03  -1.9274611E+00  -1.2007159E+00   2.2708647E+00
   5.7041562E-01  -3.2429738E-04  -1.8393265E+00  -1.1942689E+00   2.1930346E+00
   5.9383273E-01  -1.6221519E-03  -1.7780170E+00  -1.1863205E+00   2.1374526E+00
   6.1525404E-01  -2.2261026E-03  -1.6894728E+00  -1.1805449E+00   2.0610700E+00
   6.3905185E-01  -2.7245199E-03  -1.6059020E+00  -1.1725088E+00   1.9883927E+00
   6.6138160E-01  -2.9422319E-03  -1.5157731E+00  -1.1695684E+00   1.9145409E+00
   6.8414891E-01  -3.1604890E-03  -1.4680148E+00  -1.1631045E+00   1.8729361E+00
   7.0742941E-01  -2.3762137E-03  -1.4119624E+00  -1.1586522E+00   1.8265043E+00
   7.2896349E-01  -1.0515027E-03  -1.3761283E+00  -1.1545362E+00   1.7962974E+00
   7.5118768E-01  -2.7309754E-03  -1.2614068E+00  -1.1526066E+00   1.7087002E+00
   7.7632630E-01  -2.8556769E-03  -1.1595329E+00  -1.1486717E+00   1.6321677E+00
   7.9891807E-01  -2.5220222E-03  -1.0748395E+00  -1.1476991E+00   1.5724183E+00
   8.2149291E-01  -3.9627366E-03  -1.0106702E+00  -1.1460094E+00   1.5280076E+00
   8.4433532E-01  -3.4346161E-03  -9.0018243E-01  -1.1429222E+00   1.4548578E+00
   8.6701232E-01  -2.8258993E-03  -8.1514412E-01  -1.1410838E+00   1.4023339E+00
   8.8882071E-01  -3.8249600E-03  -6.8923938E-01  -1.1387577E+00   1.3311027E+00
   9.1191357E-01  -5.8351243E-03  -6.2548530E-01  -1.1385456E+00   1.2990581E+00
   9.3466216E-01  -5.3781760E-03  -5.1007444E-01  -1.1364877E+00   1.2457163E+00
   9.5836306E-01  -5.9918682E-03  -3.9273125E-01  -1.1361122E+00   1.2020918E+00
   9.8126757E-01  -5.7861502E-03  -2.7955371E-01  -1.1359818E+00   1.1698883E+00
   1.0037270E+00  -5.7987790E-03  -1.6294156E-01  -1.1362649E+00   1.1479031E+00
   1.0261824E+00  -5.7837102E-03  -4.4098254E-02  -1.1364114E+00   1.1372814E+00
   1.0478113E+00  -5.3226445E-03   6.7474298E-02  -1.1368846E+00   1.1388975E+00
   1.0715147E+00  -4.5407773E-03   1.9484308E-01  -1.1369790E+00   1.1535622E+00
   1.0943173E+00  -4.2995219E-03   2.9145014E-01  -1.1374145E+00   1.1741693E+00
