  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   13:10:50  09/09/2023 upci     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -6.8491272E-04  -1.1749821E+00  -1.3976775E+00   1.8259479E+00
   1.1838196E-03   1.6551879E-01   4.4954611E+02  -2.3906171E+00   4.4955249E+02
   2.3269011E-02   3.4112369E-03  -5.5879211E-01  -1.3774729E+00   1.4865032E+00
   4.6316102E-02   8.0728400E-03  -7.4002421E-01  -1.3777581E+00   1.5639433E+00
   6.7579046E-02   8.2561355E-03  -7.4989593E-01  -1.3910729E+00   1.5803467E+00
   9.1626272E-02   5.5762171E-03  -9.6219862E-01  -1.3869854E+00   1.6880716E+00
   1.1407181E-01   5.7634949E-03  -1.1341618E+00  -1.3847739E+00   1.7899594E+00
   1.3691631E-01  -6.1284704E-03  -1.3241332E+00  -1.3804209E+00   1.9128324E+00
   1.5978934E-01  -9.7426707E-03  -1.4612341E+00  -1.3687159E+00   2.0021696E+00
   1.8289450E-01   1.6005111E-03  -1.6295210E+00  -1.3635029E+00   2.1247308E+00
   2.0561723E-01   2.5737975E-03  -1.7084637E+00  -1.3553685E+00   2.1807976E+00
   2.2807990E-01  -4.7977902E-03  -1.8107029E+00  -1.3434564E+00   2.2546713E+00
   2.5143573E-01   7.0499466E-04  -1.8784249E+00  -1.3356435E+00   2.3048697E+00
   2.7341288E-01   3.0497534E-03  -1.9084235E+00  -1.3271481E+00   2.3245239E+00
   2.9694191E-01  -4.6182325E-04  -1.9304904E+00  -1.3169771E+00   2.3369257E+00
   3.2015413E-01   2.4454342E-04  -1.9408773E+00  -1.3073184E+00   2.3401039E+00
   3.4169528E-01   2.1901934E-03  -1.9448936E+00  -1.2916396E+00   2.3347268E+00
   3.6469957E-01   1.7735848E-03  -1.9396036E+00  -1.2863309E+00   2.3273833E+00
   3.8726136E-01  -5.9431684E-03  -1.9616494E+00  -1.2706052E+00   2.3372080E+00
   4.1035911E-01   5.8969250E-03  -1.9492271E+00  -1.2369622E+00   2.3085918E+00
   4.3376458E-01   4.6135383E-04  -1.9598287E+00  -1.2419004E+00   2.3201821E+00
   4.5684278E-01  -3.5031626E-04  -1.9657078E+00  -1.2310623E+00   2.3193796E+00
   4.7927475E-01   1.7153487E-03  -1.9586182E+00  -1.2219480E+00   2.3085375E+00
   5.0261426E-01  -2.0506154E-04  -1.9859517E+00  -1.2104549E+00   2.3257699E+00
   5.2511525E-01  -8.3480513E-04  -1.9370853E+00  -1.2044162E+00   2.2809906E+00
   5.4617947E-01   1.3319241E-03  -1.9211996E+00  -1.1953688E+00   2.2627232E+00
   5.6992549E-01   8.1108743E-04  -1.8468418E+00  -1.1898599E+00   2.1969507E+00
   5.9371126E-01   8.2963955E-04  -1.7565680E+00  -1.1799814E+00   2.1161020E+00
   6.1628240E-01   8.6251477E-04  -1.6483513E+00  -1.1748188E+00   2.0241694E+00
   6.3862747E-01   2.7565178E-03  -1.6809386E+00  -1.1707393E+00   2.0484610E+00
   6.6207445E-01   2.3210798E-03  -1.5518379E+00  -1.1628188E+00   1.9391632E+00
   6.8470424E-01   2.4826592E-03  -1.4888594E+00  -1.1572540E+00   1.8857213E+00
   7.0751899E-01   3.5395180E-03  -1.3917096E+00  -1.1520692E+00   1.8066908E+00
   7.3077261E-01   2.0382209E-03  -1.3330516E+00  -1.1495895E+00   1.7602804E+00
   7.5287050E-01   2.0129883E-03  -1.2855573E+00  -1.1474748E+00   1.7231830E+00
   7.7500874E-01   1.0015008E-03  -1.1820058E+00  -1.1450042E+00   1.6456528E+00
   7.9779297E-01   3.0241976E-03  -1.0947800E+00  -1.1428527E+00   1.5826132E+00
   8.2040125E-01   1.5631871E-03  -9.8167592E-01  -1.1404378E+00   1.5047553E+00
   8.4349990E-01  -9.7869174E-04  -8.9594662E-01  -1.1384325E+00   1.4487063E+00
   8.6729491E-01   1.8829610E-03  -8.1379747E-01  -1.1354507E+00   1.3969675E+00
   8.8871688E-01   2.4173607E-03  -7.2387463E-01  -1.1339908E+00   1.3453385E+00
   9.1299433E-01   2.1576015E-03  -6.2078065E-01  -1.1329496E+00   1.2918777E+00
   9.3454218E-01   1.7218245E-03  -5.1107776E-01  -1.1322027E+00   1.2422104E+00
   9.5707130E-01   2.4398793E-03  -4.0304217E-01  -1.1312741E+00   1.2009288E+00
   9.8024857E-01   2.5262777E-03  -2.8749725E-01  -1.1316292E+00   1.1675812E+00
   1.0031339E+00   2.6309253E-03  -1.7734733E-01  -1.1316321E+00   1.1454475E+00
   1.0256907E+00   2.4571617E-03  -6.3358486E-02  -1.1320051E+00   1.1337795E+00
   1.0492463E+00   2.1690393E-03   5.4269124E-02  -1.1320119E+00   1.1333140E+00
   1.0700281E+00   2.4398200E-03   1.3884076E-01  -1.1318922E+00   1.1403782E+00
   1.0945886E+00   1.6248889E-03   2.8763205E-01  -1.1324748E+00   1.1684322E+00
   1.1165034E+00   1.3810882E-03   3.7655443E-01  -1.1337053E+00   1.1946056E+00
   1.1390860E+00   3.7426947E-04   5.0621450E-01  -1.1357042E+00   1.2434134E+00
   1.1638618E+00   1.6064626E-04   5.8947563E-01  -1.1378710E+00   1.2814960E+00
   1.1852714E+00   4.3477450E-04   6.7232335E-01  -1.1397176E+00   1.3232442E+00
   1.2097417E+00   1.2130805E-05   8.1357276E-01  -1.1430560E+00   1.4030246E+00
   1.2314587E+00   1.0485774E-04   9.1994739E-01  -1.1459439E+00   1.4695204E+00
   1.2550017E+00  -5.8218103E-04   1.0425520E+00  -1.1500955E+00   1.5522999E+00
   1.2759757E+00   3.4052038E-04   1.1274617E+00  -1.1527910E+00   1.6124816E+00
   1.2991588E+00   1.3082389E-03   1.2438462E+00  -1.1577069E+00   1.6992470E+00
   1.3220551E+00   1.6091790E-03   1.3445584E+00  -1.1628007E+00   1.7776235E+00
   1.3458220E+00   1.3472864E-03   1.4586909E+00  -1.1687660E+00   1.8691696E+00
   1.3698518E+00   1.2076293E-03   1.5349787E+00  -1.1741132E+00   1.9325379E+00
   1.3916067E+00   4.5519019E-04   1.6284769E+00  -1.1797050E+00   2.0108807E+00
   1.4127861E+00   4.4924708E-04   1.7110996E+00  -1.1856513E+00   2.0817375E+00
   1.4374347E+00  -1.6421950E-04   1.8204130E+00  -1.1938102E+00   2.1769443E+00
   1.4580230E+00   1.0189904E-03   1.9165167E+00  -1.2007539E+00   2.2616029E+00
   1.4810634E+00   4.6020088E-04   2.0142882E+00  -1.2095941E+00   2.3495691E+00
   1.5037532E+00   1.3710433E-03   2.0884113E+00  -1.2163261E+00   2.4167981E+00
   1.5266491E+00   1.5852853E-03   2.1725061E+00  -1.2245144E+00   2.4938364E+00
   1.5511447E+00   1.4262947E-03   2.2788916E+00  -1.2331555E+00   2.5911429E+00
   1.5725060E+00   3.5621430E-04   2.3550034E+00  -1.2424355E+00   2.6626465E+00
   1.5948210E+00   7.1252958E-04   2.4469893E+00  -1.2511921E+00   2.7483156E+00
   1.6190315E+00   3.7277672E-03   2.5305247E+00  -1.2615151E+00   2.8275414E+00
   1.6415229E+00   2.0809674E-03   2.6045744E+00  -1.2732145E+00   2.8991184E+00
   1.6650946E+00   3.7310305E-03   2.6706111E+00  -1.2792515E+00   2.9611926E+00
   1.6866056E+00   3.5999278E-03   2.6939788E+00  -1.2938054E+00   2.9885561E+00
   1.7093680E+00   7.0197550E-03   2.7325230E+00  -1.3014307E+00   3.0266240E+00
   1.7330308E+00   1.0936744E-02   2.7706525E+00  -1.3117021E+00   3.0654850E+00
   1.7550645E+00   6.8738060E-03   2.7722297E+00  -1.3211620E+00   3.0709565E+00
   1.7789600E+00   6.3398196E-03   2.7699370E+00  -1.3306139E+00   3.0729668E+00
   1.8018800E+00   8.2249260E-03   2.7379696E+00  -1.3385832E+00   3.0476794E+00
   1.8239641E+00   7.8272186E-03   2.6964085E+00  -1.3473380E+00   3.0142992E+00
   1.8477089E+00   8.3405375E-03   2.6343105E+00  -1.3530991E+00   2.9615095E+00
   1.8695318E+00   9.0724332E-03   2.5698020E+00  -1.3579739E+00   2.9065542E+00
   1.8922929E+00   8.5588144E-03   2.4594102E+00  -1.3638160E+00   2.8122528E+00
   1.9142410E+00   1.0967281E-02   2.3553185E+00  -1.3706528E+00   2.7251301E+00
   1.9370959E+00   1.2666454E-02   2.2157929E+00  -1.3782814E+00   2.6095130E+00
   1.9614639E+00   1.5609083E-02   2.0657742E+00  -1.3844295E+00   2.4868279E+00
   1.9840615E+00   1.5005302E-02   1.7706680E+00  -1.3820968E+00   2.2462595E+00
   2.0071847E+00   1.8515229E-02   1.7108403E+00  -1.3939967E+00   2.2069309E+00
   2.0302868E+00   1.7142570E-02   1.5402199E+00  -1.3952361E+00   2.0782819E+00
   2.0529275E+00   1.6548578E-02   1.2916576E+00  -1.3942989E+00   1.9007163E+00
   2.0760870E+00   1.4975172E-02   1.0570819E+00  -1.3963857E+00   1.7514393E+00
   2.0968370E+00   1.5234804E-02   8.4581751E-01  -1.3974749E+00   1.6335775E+00
   2.1202192E+00   1.3946448E-02   7.5814515E-01  -1.3988563E+00   1.5911560E+00
   2.1443112E+00   1.1970603E-02   4.4078183E-01  -1.3998224E+00   1.4676290E+00
   2.1664672E+00   1.0050147E-02   2.4683867E-01  -1.4002022E+00   1.4218285E+00
