  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   07:38:14  09/10/2023 pnht     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -8.5753546E-04  -1.1738176E+00  -1.4041154E+00   1.8301334E+00
   1.1576376E-03   2.2353645E-01   4.5967322E+02  -2.4384851E+00   4.5967975E+02
   2.2711182E-02   2.4143784E-04  -5.8406651E-01  -1.3897103E+00   1.5074576E+00
   4.5124721E-02  -1.2725581E-04  -6.7944205E-01  -1.3926084E+00   1.5495160E+00
   6.8291999E-02  -6.3974563E-05  -7.3596412E-01  -1.4020247E+00   1.5834509E+00
   9.1572501E-02  -6.3636847E-04  -9.6575284E-01  -1.3966389E+00   1.6980221E+00
   1.1415048E-01   1.9908695E-04  -1.1531829E+00  -1.3951203E+00   1.8100252E+00
   1.3689946E-01   1.7658065E-04  -1.3115751E+00  -1.3879436E+00   1.9096117E+00
   1.5989181E-01   2.8862474E-03  -1.4910095E+00  -1.3761954E+00   2.0290470E+00
   1.8261676E-01  -1.7501185E-02  -1.5763472E+00  -1.3713722E+00   2.0894589E+00
   2.0581391E-01  -3.8855090E-03  -1.7095809E+00  -1.3617172E+00   2.1856248E+00
   2.2867014E-01   8.2132882E-03  -1.8074083E+00  -1.3521137E+00   2.2572114E+00
   2.5024796E-01   2.5802623E-03  -1.8670951E+00  -1.3425676E+00   2.2996824E+00
   2.7419370E-01   1.1773276E-03  -1.9103035E+00  -1.3322104E+00   2.3289580E+00
   2.9688114E-01  -3.2402226E-03  -1.9255897E+00  -1.3229356E+00   2.3362501E+00
   3.1942895E-01   7.5922225E-04  -1.9281597E+00  -1.3094702E+00   2.3307753E+00
   3.4255895E-01  -3.2549829E-03  -1.9266930E+00  -1.2990161E+00   2.3237038E+00
   3.6548999E-01  -2.2372378E-03  -1.9307609E+00  -1.2856830E+00   2.3196602E+00
