  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   05:49:09  10/08/2023 yumj     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      8.160E+00
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00   1.8702253E-03  -1.2445152E+00   6.5546298E-01   1.4065750E+00
   1.6165863E-03   1.4562066E-01   1.7342520E+02   1.2135749E-01   1.7342529E+02
   7.8014056E-03  -1.3721623E-02  -3.1991562E-01   6.2698603E-01   7.0402116E-01
   1.5789349E-02  -6.8254638E-03  -5.7002383E-01   6.2780732E-01   8.4800696E-01
   2.4352623E-02  -1.5699123E-03  -8.3264232E-01   6.2929273E-01   1.0436977E+00
   3.2825228E-02  -3.4928424E-03  -9.9654245E-01   6.3201499E-01   1.1800643E+00
   4.0250912E-02  -5.9559415E-03  -1.1350898E+00   6.3405573E-01   1.3001888E+00
   4.8194125E-02   2.4087715E-03  -1.2953590E+00   6.3406318E-01   1.4422194E+00
   5.7216473E-02  -7.0777844E-04  -1.4713070E+00   6.2810636E-01   1.5997696E+00
   6.6006660E-02   1.7080030E-03  -1.6071999E+00   6.2998307E-01   1.7262599E+00
   7.4039079E-02  -1.1959041E-02  -1.7433977E+00   6.3016909E-01   1.8538315E+00
   8.1476524E-02   1.7799374E-03  -1.8718175E+00   6.3275260E-01   1.9758744E+00
   8.9747831E-02   1.3627055E-02  -2.0379858E+00   6.3997453E-01   2.1361506E+00
   9.8231785E-02   1.4542314E-03  -2.1476402E+00   6.4649230E-01   2.2428358E+00
   1.0617597E-01  -2.7783733E-02  -2.2477608E+00   6.4979726E-01   2.3399651E+00
   1.1402792E-01  -1.2419290E-03  -2.3106873E+00   6.5367109E-01   2.4013669E+00
   1.2245400E-01   2.3946604E-02  -2.4523375E+00   6.5787446E-01   2.5391595E+00
   1.3073026E-01   2.5313084E-03  -2.5480969E+00   6.6229397E-01   2.6327624E+00
   1.3865127E-01   7.0401141E-03  -2.6037748E+00   6.6925907E-01   2.6884198E+00
   1.4734057E-01  -7.1010385E-03  -2.6706374E+00   6.7544448E-01   2.7547376E+00
   1.5474108E-01  -9.6829450E-03  -2.7490621E+00   6.7983878E-01   2.8318927E+00
   1.6318539E-01  -1.0435724E-02  -2.7658548E+00   6.8346524E-01   2.8490677E+00
   1.7099676E-01   1.2788440E-02  -2.8029673E+00   6.8831784E-01   2.8862729E+00
   1.7906255E-01   4.3168021E-03  -2.8376324E+00   6.9176757E-01   2.9207394E+00
   1.8747480E-01   1.4771920E-02  -2.8974781E+00   6.9678777E-01   2.9801192E+00
   1.9597653E-01   1.7192902E-02  -2.9049282E+00   7.0317322E-01   2.9888721E+00
   2.0389389E-01   1.3521858E-02  -2.9117942E+00   7.0465517E-01   2.9958751E+00
   2.1163152E-01  -8.9337835E-03  -2.8879330E+00   7.0761520E-01   2.9733746E+00
   2.2067618E-01  -6.3521108E-03  -2.8558543E+00   7.0980483E-01   2.9427483E+00
   2.2841640E-01  -3.2355245E-03  -2.7958076E+00   7.0859313E-01   2.8842077E+00
   2.3622113E-01   1.7772848E-02  -2.7612848E+00   7.1522588E-01   2.8524652E+00
   2.4481538E-01  -6.2502797E-05  -2.6524644E+00   7.1253246E-01   2.7465014E+00
   2.5332615E-01  -1.2700985E-02  -2.5681100E+00   7.0998800E-01   2.6644762E+00
   2.6062953E-01  -1.8017357E-02  -2.4815454E+00   7.1212399E-01   2.5817654E+00
   2.6887059E-01  -9.8612383E-03  -2.3723712E+00   7.1375787E-01   2.4774365E+00
   2.7741480E-01   2.0023111E-02  -2.2082717E+00   7.1471441E-01   2.3211381E+00
   2.8530884E-01  -3.5456817E-03  -2.1050823E+00   7.1388149E-01   2.2228384E+00
   2.9317749E-01   3.9057403E-03  -1.9994310E+00   7.1902919E-01   2.1247923E+00
   3.0184057E-01  -1.6308896E-02  -1.8149028E+00   7.2213888E-01   1.9533619E+00
   3.1000248E-01   3.6382020E-02  -1.6578629E+00   7.2561568E-01   1.8100693E+00
   3.1812939E-01  -1.1235603E-02  -1.4618661E+00   7.3478460E-01   1.6361808E+00
   3.2602966E-01   1.0442319E-02  -1.3106965E+00   7.3659033E-01   1.5035291E+00
   3.3480093E-01   1.3803991E-02  -1.1816783E+00   7.3785043E-01   1.3931897E+00
   3.4306911E-01  -4.7015507E-02  -9.6770269E-01   7.4195796E-01   1.2203116E+00
   3.5070163E-01   3.6605942E-04  -8.5147452E-01   7.4521226E-01   1.1315256E+00
   3.5901386E-01   8.8612717E-03  -6.4567131E-01   7.4753928E-01   9.8781830E-01
   3.6678439E-01   1.6464174E-02  -4.5693520E-01   7.4988031E-01   8.7828320E-01
   3.7503773E-01   2.1123472E-03  -2.7031317E-01   7.5131732E-01   7.9846817E-01
   3.8409916E-01   2.3036297E-02  -1.1477009E-01   7.5522691E-01   7.6424509E-01
   3.9121687E-01  -1.5866499E-02   1.1113694E-02   7.5698960E-01   7.5723743E-01
   3.9973164E-01   9.8130740E-03   2.9680434E-01   7.5934786E-01   8.1535161E-01
   4.0759906E-01   2.3631947E-02   4.3000010E-01   7.6191252E-01   8.7519670E-01
   4.1571468E-01   2.1331929E-02   5.7666063E-01   7.7877957E-01   9.6927297E-01
   4.2445540E-01   1.0433255E-02   7.7964967E-01   7.7299106E-01   1.0979425E+00
   4.3240243E-01   2.2037148E-02   9.2258108E-01   7.9241115E-01   1.2163703E+00
   4.4117823E-01   1.6054612E-02   1.1470124E+00   7.9176968E-01   1.3938415E+00
   4.4893324E-01   7.6139225E-03   1.2766377E+00   7.9262555E-01   1.5027033E+00
   4.5708910E-01  -6.1180545E-03   1.4464833E+00   7.9898643E-01   1.6524923E+00
   4.6534729E-01   4.0975926E-03   1.6158946E+00   7.9060060E-01   1.7989389E+00
   4.7326612E-01   2.3133773E-04   1.7717214E+00   7.9867697E-01   1.9434202E+00
   4.8110527E-01  -3.4596012E-03   1.8725169E+00   7.9572117E-01   2.0345769E+00
   4.8951396E-01  -4.4713062E-03   2.0702760E+00   8.0815464E-01   2.2224257E+00
   4.9742582E-01  -1.1620726E-02   2.2059784E+00   8.0877495E-01   2.3495941E+00
   5.0558805E-01  -1.2758293E-03   2.3479598E+00   8.0443114E-01   2.4819400E+00
   5.1361954E-01   3.6248909E-03   2.4768708E+00   8.0437207E-01   2.6042113E+00
   5.2170926E-01  -1.6319271E-02   2.5738041E+00   8.0587292E-01   2.6970658E+00
   5.3035718E-01  -1.5630277E-02   2.6836271E+00   8.0362689E-01   2.8014131E+00
   5.3868043E-01  -1.8617498E-02   2.8330808E+00   8.0112946E-01   2.9442320E+00
   5.4654258E-01   2.9376995E-02   2.8931031E+00   8.0182987E-01   3.0023057E+00
   5.5466193E-01   3.9620041E-03   3.0064223E+00   7.9319280E-01   3.1092999E+00
   5.6259853E-01  -3.8637105E-02   3.1168010E+00   7.8595233E-01   3.2146015E+00
   5.7097381E-01   5.5806842E-02   3.1966569E+00   7.8629714E-01   3.2924147E+00
   5.7919765E-01  -2.0409651E-02   3.2592680E+00   7.7453119E-01   3.3500960E+00
   5.8783031E-01  -4.4123858E-02   3.3312404E+00   7.6885253E-01   3.4190998E+00
   5.9589201E-01   9.5443819E-03   3.3783383E+00   7.6136482E-01   3.4630821E+00
   6.0346276E-01   1.8850580E-02   3.4024713E+00   7.5671697E-01   3.4856546E+00
   6.1163181E-01   7.4655334E-03   3.4292319E+00   7.4640870E-01   3.5095317E+00
   6.2044448E-01   2.2725090E-03   3.4675009E+00   7.3797399E-01   3.5451620E+00
   6.2810791E-01  -3.0508175E-02   3.4654272E+00   7.2991765E-01   3.5415952E+00
   6.3671982E-01  -6.7355381E-03   3.4717259E+00   7.1999818E-01   3.5456061E+00
   6.4427924E-01  -1.0359099E-02   3.4190750E+00   7.1337318E-01   3.4927185E+00
   6.5252244E-01  -4.6568215E-03   3.3521216E+00   7.0368546E-01   3.4251883E+00
   6.6088951E-01   1.1514331E-02   3.3324883E+00   6.9787610E-01   3.4047968E+00
   6.6924208E-01   3.1240508E-02   3.1858737E+00   6.8897945E-01   3.2596719E+00
   6.7724174E-01   1.5113724E-02   3.1470723E+00   6.7887938E-01   3.2194984E+00
   6.8514764E-01   9.4568264E-03   3.0347061E+00   6.7606729E-01   3.1091151E+00
   6.9399005E-01  -4.4314512E-03   2.8836451E+00   6.6978794E-01   2.9604130E+00
   7.0159620E-01  -1.7605189E-02   2.7640061E+00   6.6208327E-01   2.8422515E+00
   7.0972669E-01  -7.4210227E-03   2.6155043E+00   6.5420252E-01   2.6960895E+00
   7.1804601E-01  -7.9781543E-03   2.4140410E+00   6.4479494E-01   2.4986835E+00
