  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   20:03:48  09/11/2023 ttgt     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      1.690E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -7.4956384E-05   4.5286446E+00  -1.1425085E+00   4.6705403E+00
   9.6905750E-04   7.3263347E-03  -4.1719696E+02   2.7771232E+00   4.1720621E+02
   1.7256275E-02   5.8986782E-03   4.2186384E+00  -1.0477165E+00   4.3467984E+00
   3.3499219E-02   7.7631567E-03   4.4566250E+00  -1.0787756E+00   4.5853376E+00
   5.1425919E-02   2.0252236E-03   4.7297382E+00  -1.1120702E+00   4.8587170E+00
   6.8198450E-02   5.5842367E-03   4.9639540E+00  -1.1368718E+00   5.0924792E+00
   8.4565766E-02   2.2256952E-03   5.2246532E+00  -1.1574756E+00   5.3513322E+00
   1.0215005E-01   1.0584290E-03   5.5728807E+00  -1.1809258E+00   5.6966295E+00
   1.1909035E-01   4.5047193E-03   5.8383441E+00  -1.1939508E+00   5.9591780E+00
   1.3593677E-01   4.6100878E-04   6.1581216E+00  -1.2089348E+00   6.2756662E+00
   1.5214762E-01   5.9975167E-03   6.4793630E+00  -1.2335614E+00   6.5957451E+00
   1.6942759E-01   1.0714367E-02   6.7787609E+00  -1.2403243E+00   6.8913074E+00
   1.8608373E-01   8.6574024E-03   7.1019416E+00  -1.2421559E+00   7.2097573E+00
   2.0296480E-01   1.5805133E-02   7.3923402E+00  -1.2577424E+00   7.4985905E+00
   2.1943557E-01   1.3993223E-02   7.6607089E+00  -1.2432576E+00   7.7609501E+00
   2.3684210E-01   2.3781793E-02   7.9245114E+00  -1.2888073E+00   8.0286655E+00
   2.5381452E-01   2.0631025E-02   8.0735178E+00  -1.3223312E+00   8.1811171E+00
   2.7022159E-01   3.6010899E-02   8.1993074E+00  -1.3553280E+00   8.3106470E+00
   2.8747407E-01   4.2713396E-03   8.2972813E+00  -1.3898675E+00   8.4128847E+00
   3.0448243E-01   2.7916446E-02   8.3133717E+00  -1.4090127E+00   8.4319773E+00
   3.2083896E-01   3.1387065E-02   8.2891636E+00  -1.4315498E+00   8.4119291E+00
   3.3829659E-01   3.3180844E-02   8.1671467E+00  -1.4574431E+00   8.2962351E+00
   3.5502926E-01   3.5429738E-02   7.9811249E+00  -1.4766414E+00   8.1166544E+00
   3.7146795E-01   3.8369559E-02   7.7314615E+00  -1.4949062E+00   7.8747520E+00
   3.8856313E-01   4.4898137E-02   7.3591413E+00  -1.5178251E+00   7.5141711E+00
   4.0591124E-01   3.9959729E-02   6.9216237E+00  -1.5304154E+00   7.0889101E+00
   4.2285785E-01   5.4000221E-02   6.3855586E+00  -1.5478851E+00   6.5707097E+00
   4.3972197E-01   1.5350035E-03   5.8314362E+00  -1.5735111E+00   6.0399990E+00
   4.5591870E-01   1.6249444E-02   5.2005529E+00  -1.5924312E+00   5.4389200E+00
   4.7311872E-01   2.8863115E-02   4.5725775E+00  -1.6087474E+00   4.8474078E+00
   4.8987111E-01   3.0986536E-02   3.8055668E+00  -1.6276095E+00   4.1391315E+00
   5.0698465E-01   7.0713670E-03   3.0690556E+00  -1.6448030E+00   3.4820294E+00
   5.2412814E-01   7.1368450E-03   2.3098984E+00  -1.6623663E+00   2.8458993E+00
   5.4073024E-01   1.1271859E-02   1.4490738E+00  -1.6771153E+00   2.2164516E+00
   5.5801827E-01  -1.2823172E-02   7.2048342E-01  -1.6849668E+00   1.8325866E+00
   5.7485229E-01  -1.7427463E-02  -2.4821471E-02  -1.6936200E+00   1.6938914E+00
   5.9176981E-01  -4.6223089E-02  -8.8585013E-01  -1.6947345E+00   1.9128492E+00
   6.0836828E-01   6.7062825E-02  -1.6840253E+00  -1.6881654E+00   2.3854437E+00
   6.2510419E-01   2.6781704E-02  -1.9416046E+00  -1.6679699E+00   2.5598183E+00
   6.4183682E-01  -2.2289837E-02  -2.8722851E+00  -1.6571683E+00   3.3161311E+00
   6.5895009E-01  -4.6791408E-02  -3.4791422E+00  -1.6346910E+00   3.8443251E+00
   6.7552638E-01  -2.4757367E-02  -4.1136413E+00  -1.6084549E+00   4.4169884E+00
   6.9258338E-01  -2.0168958E-02  -4.6536512E+00  -1.5863497E+00   4.9166436E+00
   7.0976853E-01  -3.4716029E-02  -5.0997839E+00  -1.5533401E+00   5.3312163E+00
   7.2631532E-01  -3.7967645E-02  -5.5460353E+00  -1.5283540E+00   5.7528963E+00
   7.4341381E-01  -3.8162801E-02  -5.9221992E+00  -1.5068153E+00   6.1110063E+00
