  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:03:44  02/09/2024 rjju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      113      0.000E+00      1.874E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -2.8660776E-05   5.5158849E+00   2.5856452E+00
   4.3441253E-03   7.9061100E-03  -9.4518806E+01   1.7493358E+00
   1.6707364E-02   2.4109399E-03   5.0208077E+00   2.7340226E+00
   3.3562016E-02   2.3572620E-03   5.4722247E+00   2.7051258E+00
   5.1238712E-02  -1.8381538E-03   5.8522496E+00   2.7194169E+00
   6.8624273E-02  -1.5183414E-03   6.2537789E+00   2.7176912E+00
   8.4409580E-02   2.9174522E-03   6.6879349E+00   2.7252364E+00
   1.0192592E-01   2.1010786E-02   7.1477118E+00   2.7220945E+00
   1.1931831E-01  -6.3906930E-04   7.6014953E+00   2.7244000E+00
   1.3441531E-01   4.9286252E-03   8.0124674E+00   2.7240694E+00
   1.5151420E-01   9.2585990E-03   8.5620060E+00   2.7379107E+00
   1.6889088E-01  -2.6184174E-03   9.1326733E+00   2.7384963E+00
   1.8464229E-01  -8.8848285E-03   9.6671553E+00   2.7637079E+00
   2.0350477E-01  -2.1984315E-02   1.0169119E+01   2.7682054E+00
   2.1900159E-01  -1.1856404E-02   1.0587445E+01   2.7782934E+00
   2.3640291E-01  -2.2069085E-02   1.1039227E+01   2.7893367E+00
   2.5345159E-01  -2.8440988E-02   1.1380524E+01   2.7746584E+00
   2.7028459E-01  -6.3680962E-02   1.1702379E+01   2.7521250E+00
   2.8759801E-01  -5.3080566E-02   1.1942483E+01   2.7468448E+00
   3.0362937E-01  -1.8046375E-01   1.1960382E+01   2.7233260E+00
   3.2010880E-01  -7.8654669E-02   1.2040634E+01   2.7226360E+00
   3.3801192E-01  -8.6938672E-02   1.1851285E+01   2.6993506E+00
   3.5418004E-01  -8.8761769E-02   1.1707057E+01   2.7289262E+00
   3.7134027E-01  -1.1578713E-01   1.1320029E+01   2.6933939E+00
   3.8815549E-01  -8.4504947E-02   1.0882743E+01   2.6779716E+00
   4.0539449E-01  -9.1671981E-02   1.0272281E+01   2.6450012E+00
   4.2242983E-01  -7.2377183E-02   9.6798038E+00   2.6118026E+00
   4.3956277E-01  -1.6668332E-01   8.8960285E+00   2.5859230E+00
   4.5500267E-01  -1.1647655E-01   8.0053406E+00   2.5580454E+00
   4.7235081E-01  -1.2166587E-01   7.0649104E+00   2.5239108E+00
   4.8991105E-01  -7.9930864E-02   6.0674429E+00   2.4861095E+00
   5.0672048E-01  -1.5121295E-01   4.8601289E+00   2.4608998E+00
   5.2298123E-01  -1.8098113E-01   3.7813668E+00   2.4360437E+00
   5.4029047E-01  -1.4725517E-01   2.6350243E+00   2.4180555E+00
   5.5738091E-01  -1.4859569E-01   1.5928459E+00   2.3972313E+00
   5.7310218E-01  -1.2040835E-01   5.5738187E-01   2.3725836E+00
   5.9128970E-01  -1.6876940E-01  -5.6882358E-01   2.3588922E+00
