  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   04:17:49  12/14/2023 iqbp     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p       
       1     1002      0.000E+00      1.688E+01
   time              p_1             p_2
   0.0000000E+00   4.1634609E+03   4.1482534E+03
   8.8658482E-03   4.0714346E+03   4.1510366E+03
   1.7136984E-02   4.2144214E+03   4.1995078E+03
   3.4585692E-02   4.2453604E+03   4.2292412E+03
   5.2063767E-02   4.2791294E+03   4.2622505E+03
   6.9500238E-02   4.3203359E+03   4.3025278E+03
   8.6971201E-02   4.3403062E+03   4.3217231E+03
   1.0455642E-01   4.3814829E+03   4.3617490E+03
   1.2227432E-01   4.4079214E+03   4.3871357E+03
   1.3079461E-01   4.4087993E+03   4.3872871E+03
   1.4813812E-01   4.4399224E+03   4.4169307E+03
   1.6581990E-01   4.4710239E+03   4.4464785E+03
   1.8284243E-01   4.5012153E+03   4.4749775E+03
   2.0586830E-01   4.5533555E+03   4.5248818E+03
   2.2025128E-01   4.5562051E+03   4.5258403E+03
   2.3341015E-01   4.5981367E+03   4.5666597E+03
   2.5146517E-01   4.6004521E+03   4.5664697E+03
   2.6799154E-01   4.6420386E+03   4.6067065E+03
   2.8796944E-01   4.7064517E+03   4.6711763E+03
   3.0171379E-01   4.6850132E+03   4.6471401E+03
   3.1882086E-01   4.6715703E+03   4.6304468E+03
   3.3870932E-01   4.7166157E+03   4.6758276E+03
   3.5373035E-01   4.7252617E+03   4.6835381E+03
   3.7169987E-01   4.7324150E+03   4.6905239E+03
   3.8897005E-01   4.7369819E+03   4.6950591E+03
   4.0559345E-01   4.7416475E+03   4.7002012E+03
   4.2188770E-01   4.7429395E+03   4.7026860E+03
   4.3804318E-01   4.7404868E+03   4.7011934E+03
   4.5729393E-01   4.7365396E+03   4.6991455E+03
   4.7337633E-01   4.7308403E+03   4.6956128E+03
   4.8961046E-01   4.7226880E+03   4.6898750E+03
   5.0617951E-01   4.7121567E+03   4.6815571E+03
   5.2260095E-01   4.7026943E+03   4.6753184E+03
   5.3988683E-01   4.6482046E+03   4.6277944E+03
