  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   23:45:50  09/14/2023 nvli     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      1.690E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00   5.8614155E-03   4.5257215E+00  -1.1479160E+00   4.6690364E+00
   9.1702095E-04  -1.8880960E-01  -4.4059656E+02   2.9781003E+00   4.4060666E+02
   1.6680056E-02   7.2409981E-03   4.2130079E+00  -1.0523286E+00   4.3424511E+00
   3.4548856E-02   2.7466305E-03   4.4687767E+00  -1.0886619E+00   4.5994735E+00
   5.0637659E-02   3.9348397E-03   4.6896973E+00  -1.1153256E+00   4.8205004E+00
   6.7958176E-02   1.4259961E-03   4.9701810E+00  -1.1452237E+00   5.1004157E+00
   8.3775438E-02   2.6102501E-03   5.2261548E+00  -1.1686385E+00   5.3552232E+00
   1.0148536E-01  -1.5197458E-03   5.4956861E+00  -1.1865438E+00   5.6223173E+00
   1.1800710E-01   3.6787847E-03   5.8261204E+00  -1.2078084E+00   5.9499993E+00
   1.3498400E-01   1.4261634E-03   6.1266494E+00  -1.2229321E+00   6.2475114E+00
   1.5241596E-01   3.6377535E-04   6.4601789E+00  -1.2422670E+00   6.5785360E+00
   1.6962622E-01  -9.0199197E-04   6.7786841E+00  -1.2532722E+00   6.8935661E+00
   1.8568778E-01   5.1466376E-03   7.0884490E+00  -1.2620494E+00   7.1999240E+00
   2.0320740E-01   4.9554957E-03   7.3912787E+00  -1.2770197E+00   7.5007873E+00
   2.1971750E-01   1.5209782E-02   7.6466312E+00  -1.3088557E+00   7.7578540E+00
   2.3660406E-01   5.9144637E-03   7.8915224E+00  -1.3135852E+00   8.0001040E+00
   2.5312978E-01   8.9219213E-03   8.0607653E+00  -1.3398319E+00   8.1713629E+00
   2.7005279E-01   1.3826686E-02   8.1973219E+00  -1.3788517E+00   8.3124905E+00
   2.8745106E-01   2.0280125E-02   8.3246613E+00  -1.4077930E+00   8.4428835E+00
   3.0450886E-01   1.0624675E-01   8.4162626E+00  -1.4350426E+00   8.5383911E+00
   3.2086560E-01   2.8242327E-02   8.2746334E+00  -1.4498159E+00   8.4007339E+00
   3.3790126E-01   5.1650997E-02   8.0836124E+00  -1.4769022E+00   8.2175846E+00
   3.5507831E-01   2.4198294E-02   7.8185401E+00  -1.4959811E+00   7.9604092E+00
   3.7145427E-01   7.2013238E-05   7.6398735E+00  -1.5185997E+00   7.7893395E+00
   3.8867733E-01   4.4284537E-02   7.2552028E+00  -1.5266823E+00   7.4142222E+00
   4.0541741E-01   2.8072137E-02   6.8006210E+00  -1.5417131E+00   6.9732428E+00
   4.2243358E-01   9.1516487E-03   6.2734227E+00  -1.5643039E+00   6.4655213E+00
   4.3941733E-01  -6.3090615E-02   5.7254362E+00  -1.5825506E+00   5.9404602E+00
   4.5661569E-01  -1.6178472E-02   5.1405239E+00  -1.6007811E+00   5.3840270E+00
   4.7300091E-01  -2.0196157E-02   4.4766312E+00  -1.6103916E+00   4.7575197E+00
   4.9017262E-01  -4.3276235E-02   3.7917340E+00  -1.6317552E+00   4.1281648E+00
   5.0726658E-01  -3.2259773E-02   2.9916654E+00  -1.6387825E+00   3.4112623E+00
   5.2416021E-01  -5.3395852E-02   2.2020962E+00  -1.6638317E+00   2.7605100E+00
   5.4082710E-01  -3.6579136E-02   1.4979619E+00  -1.6749936E+00   2.2474055E+00
   5.5772233E-01  -3.6967654E-02   7.4064511E-01  -1.6834704E+00   1.8395636E+00
   5.7491326E-01  -4.4803660E-02  -5.9956908E-02  -1.6894096E+00   1.6910667E+00
   5.9117597E-01  -2.9366273E-02  -7.4906933E-01  -1.6945596E+00   1.8529704E+00
   6.0841358E-01   4.2122833E-02  -1.6772883E+00  -1.6920723E+00   2.3828931E+00
   6.2563676E-01  -1.4775535E-02  -2.2032061E+00  -1.6829022E+00   2.7724531E+00
   6.4239085E-01  -2.1545948E-02  -2.8740947E+00  -1.6701930E+00   3.3242185E+00
   6.5900326E-01  -5.1382650E-02  -3.4775257E+00  -1.6400846E+00   3.8452182E+00
   6.7570400E-01  -7.7524692E-02  -4.0199289E+00  -1.6182389E+00   4.3341131E+00
   6.9275767E-01  -5.7783056E-02  -4.5869732E+00  -1.5924197E+00   4.8558688E+00
   7.0965946E-01  -5.3237680E-02  -5.2275634E+00  -1.5617048E+00   5.4561138E+00
   7.2661030E-01  -7.0661627E-02  -5.4803586E+00  -1.5404743E+00   5.6931872E+00
   7.4330199E-01  -5.6842528E-02  -5.9293175E+00  -1.5191982E+00   6.1211109E+00
   7.6074111E-01  -6.2151425E-02  -6.2735233E+00  -1.4905109E+00   6.4484558E+00
   7.7768511E-01  -7.3303312E-02  -6.5925794E+00  -1.4457394E+00   6.7496400E+00
   7.9399413E-01  -5.1180951E-02  -6.8913178E+00  -1.4045234E+00   7.0331759E+00
   8.1087083E-01  -5.8540594E-02  -7.1366305E+00  -1.3777437E+00   7.2686381E+00
   8.2839203E-01  -2.6589998E-03  -7.3928800E+00  -1.3485777E+00   7.5148745E+00
   8.4480613E-01  -4.2306796E-02  -7.5964365E+00  -1.3199567E+00   7.7103772E+00
   8.6189377E-01  -5.4045249E-02  -7.6812935E+00  -1.2944077E+00   7.7897806E+00
   8.7902302E-01  -3.2701191E-02  -7.8437018E+00  -1.2843440E+00   7.9482241E+00
   8.9583248E-01  -5.0200894E-02  -7.9051404E+00  -1.2639319E+00   8.0057030E+00
   9.1224259E-01  -1.3259816E-02  -7.9374537E+00  -1.2454903E+00   8.0345869E+00
   9.2925626E-01  -7.5589697E-04  -7.9301515E+00  -1.2282629E+00   8.0247078E+00
   9.4622606E-01  -1.8076625E-02  -7.8440962E+00  -1.2072483E+00   7.9364738E+00
   9.6352637E-01   1.7624505E-02  -7.7257857E+00  -1.1932930E+00   7.8174181E+00
   9.8037761E-01   1.8630369E-02  -7.6086950E+00  -1.1807853E+00   7.6997948E+00
   9.9690223E-01   2.1740481E-02  -7.4201841E+00  -1.1523058E+00   7.5091553E+00
   1.0136764E+00   5.4386068E-02  -7.1911731E+00  -1.1435553E+00   7.2817335E+00
   1.0310216E+00   2.3757473E-02  -6.9055877E+00  -1.1168869E+00   6.9953661E+00
   1.0475740E+00   2.4097003E-02  -6.6697712E+00  -1.1062053E+00   6.7609262E+00
   1.0647652E+00   4.0388919E-02  -6.3755932E+00  -1.0927812E+00   6.4686933E+00
   1.0816109E+00   3.2704554E-02  -6.1381741E+00  -1.0832913E+00   6.2331190E+00
   1.0984119E+00   1.4038081E-02  -5.8692093E+00  -1.0735341E+00   5.9665980E+00
   1.1157210E+00   3.3430606E-02  -5.5151868E+00  -1.0604157E+00   5.6163054E+00
   1.1324116E+00   2.8162792E-02  -5.2381272E+00  -1.0501968E+00   5.3424416E+00
   1.1488625E+00   1.1805903E-02  -4.9462280E+00  -1.0381893E+00   5.0540233E+00
   1.1657190E+00   2.2559162E-02  -4.6301923E+00  -1.0255526E+00   4.7424622E+00
   1.1829126E+00   1.9373119E-02  -4.2981119E+00  -1.0156591E+00   4.4165263E+00
   1.1995003E+00   1.9217465E-02  -3.9904788E+00  -1.0059791E+00   4.1153717E+00
   1.2170463E+00   1.6125763E-02  -3.6326487E+00  -9.9771547E-01   3.7672048E+00
   1.2339462E+00   1.1013586E-02  -3.3419454E+00  -9.9035257E-01   3.4856160E+00
   1.2507054E+00  -4.6950071E-03  -3.0330870E+00  -9.8391020E-01   3.1886859E+00
   1.2676419E+00  -1.5386268E-02  -2.7240448E+00  -9.7782022E-01   2.8942683E+00
   1.2842858E+00  -1.9605620E-02  -2.3994870E+00  -9.7542942E-01   2.5902481E+00
   1.3010982E+00  -2.3178341E-02  -2.0552189E+00  -9.6962869E-01   2.2725849E+00
   1.3186364E+00  -3.6449693E-02  -1.7003152E+00  -9.6775377E-01   1.9567698E+00
   1.3348916E+00  -2.7956609E-02  -1.4062874E+00  -9.6205986E-01   1.7041082E+00
   1.3522798E+00  -3.5518605E-02  -1.0903685E+00  -9.6295500E-01   1.4551451E+00
   1.3684599E+00  -3.3069491E-02  -7.5413322E-01  -9.6159428E-01   1.2224869E+00
   1.3860911E+00  -2.5811177E-02  -4.1415662E-01  -9.6238613E-01   1.0480357E+00
   1.4029647E+00  -2.3379112E-02  -7.5000182E-02  -9.6212709E-01   9.6532905E-01
   1.4191020E+00  -2.5169149E-02   3.4048235E-01  -9.6320200E-01   1.0219197E+00
   1.4362073E+00  -2.0610806E-02   6.6952324E-01  -9.6602893E-01   1.1755416E+00
   1.4536297E+00  -2.1524658E-02   1.0183178E+00  -9.6811533E-01   1.4052337E+00
   1.4706415E+00  -5.1442492E-03   1.4659336E+00  -9.7433859E-01   1.7602055E+00
   1.4873590E+00  -2.2750594E-02   1.7677537E+00  -9.7579271E-01   2.0193172E+00
   1.5045950E+00  -1.1111917E-02   2.1773226E+00  -9.7985673E-01   2.3876719E+00
   1.5205988E+00  -3.7488014E-02   2.5614858E+00  -9.8646045E-01   2.7451262E+00
   1.5383979E+00  -2.1486573E-02   2.9716704E+00  -9.9107736E-01   3.1326540E+00
   1.5544685E+00  -2.0150725E-02   3.3562644E+00  -9.9697757E-01   3.5012684E+00
   1.5710384E+00  -2.0989707E-02   3.7414730E+00  -1.0032645E+00   3.8737063E+00
   1.5885500E+00  -3.5991237E-02   4.1808367E+00  -1.0125029E+00   4.3018432E+00
   1.6049522E+00  -1.1002000E-02   4.6091719E+00  -1.0195609E+00   4.7206030E+00
   1.6221265E+00  -3.0690700E-02   4.9708018E+00  -1.0254335E+00   5.0755615E+00
   1.6386758E+00  -8.4543005E-03   5.3941851E+00  -1.0333670E+00   5.4922810E+00
   1.6567822E+00  -2.1742960E-02   5.8306189E+00  -1.0327656E+00   5.9214182E+00
   1.6732763E+00   6.6855480E-03   6.2717643E+00  -1.0375148E+00   6.3570046E+00
   1.6899916E+00  -2.6489932E-03   6.6905417E+00  -1.0161117E+00   6.7672620E+00
   1.7070907E+00   3.4684375E-02   7.1032619E+00  -1.0404147E+00   7.1791363E+00
   1.7240385E+00   4.4636201E-02   7.4816709E+00  -1.0418737E+00   7.5539985E+00
   1.7403489E+00   2.6145777E-02   7.8607063E+00  -1.0578766E+00   7.9316134E+00
   1.7572658E+00   5.0826777E-02   8.2610388E+00  -1.0627265E+00   8.3292704E+00
   1.7746314E+00   2.5575910E-02   8.6839371E+00  -1.0834785E+00   8.7513046E+00
   1.7915446E+00   1.8846236E-02   9.0509710E+00  -1.0953915E+00   9.1170340E+00
   1.8081563E+00   2.0671876E-02   9.3826246E+00  -1.1073450E+00   9.4477663E+00
   1.8254123E+00   3.5064463E-02   9.7802000E+00  -1.1257788E+00   9.8448429E+00
   1.8423972E+00   3.9749458E-02   1.0137144E+01  -1.1422420E+00   1.0201372E+01
   1.8592182E+00   3.4248784E-02   1.0478865E+01  -1.1616594E+00   1.0543113E+01
   1.8761991E+00   5.3163197E-02   1.0789459E+01  -1.1820652E+00   1.0854148E+01
   1.8924325E+00   4.4867124E-02   1.1026757E+01  -1.2015096E+00   1.1092115E+01
   1.9099449E+00   6.1007388E-02   1.1264381E+01  -1.2196914E+00   1.1330386E+01
   1.9269197E+00   6.3772798E-02   1.1471064E+01  -1.2384729E+00   1.1537902E+01
   1.9435776E+00   6.7089848E-02   1.1583789E+01  -1.2398906E+00   1.1650150E+01
   1.9600143E+00   1.0815079E-01   1.1647777E+01  -1.2556602E+00   1.1715762E+01
   1.9773421E+00   1.0883973E-01   1.1691746E+01  -1.2737614E+00   1.1761431E+01
   1.9942535E+00   8.7667741E-02   1.1665046E+01  -1.2839856E+00   1.1735825E+01
   2.0111332E+00   5.0126452E-02   1.1538239E+01  -1.3162071E+00   1.1613175E+01
   2.0281425E+00   8.4151529E-02   1.1419185E+01  -1.3378475E+00   1.1497595E+01
   2.0450284E+00   4.8854746E-02   1.1195365E+01  -1.3496361E+00   1.1276529E+01
   2.0619695E+00   4.7421865E-02   1.0836304E+01  -1.3762267E+00   1.0923448E+01
   2.0789225E+00   3.9007403E-02   1.0564389E+01  -1.3978248E+00   1.0656536E+01
   2.0953059E+00   9.0159494E-03   1.0182673E+01  -1.4187365E+00   1.0281036E+01
   2.1128547E+00   1.6783796E-02   9.6934118E+00  -1.4387802E+00   9.7996225E+00
   2.1294682E+00  -1.2529140E-02   9.1976976E+00  -1.4547303E+00   9.3120375E+00
   2.1462362E+00  -2.5196115E-02   8.5643358E+00  -1.4708371E+00   8.6897554E+00
   2.1632802E+00  -2.9169532E-02   8.0179548E+00  -1.4860976E+00   8.1545658E+00
