  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:15:24  02/09/2024 jjxh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      500      0.000E+00      1.688E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -1.1869227E-02   5.5145497E+00   2.6230309E+00
   3.3760001E-03   3.7884410E-02  -1.2329387E+02   1.4429593E+00
   7.3966817E-03   1.9110645E-03   4.9352422E+00   2.7913914E+00
   9.2575355E-03   1.2362696E-03   4.8256135E+00   2.8053339E+00
   1.3263024E-02   2.5757693E-03   4.9468112E+00   2.7790444E+00
   1.7679075E-02  -3.4204759E-03   5.0395308E+00   2.7502594E+00
   2.0054048E-02  -2.4316311E-03   5.0936861E+00   2.7434440E+00
   2.2547770E-02  -5.5459938E-03   5.2435350E+00   2.7302341E+00
   2.7915508E-02  -8.9082075E-03   5.3108506E+00   2.7320030E+00
   3.0802304E-02  -7.6788999E-03   5.3673286E+00   2.7307830E+00
   3.3833440E-02  -6.6409353E-03   5.4552274E+00   2.7461488E+00
   3.7016131E-02  -1.5901169E-02   5.5095520E+00   2.7487063E+00
   4.0357959E-02  -1.7424034E-02   5.5829320E+00   2.7461839E+00
   4.3866873E-02  -1.2388806E-02   5.6829839E+00   2.7462246E+00
   4.7551237E-02  -1.1400787E-02   5.7607589E+00   2.7499611E+00
   5.1419821E-02  -9.3465205E-03   5.8423424E+00   2.7453451E+00
   5.4906733E-02  -6.5053445E-03   5.9195223E+00   2.7487609E+00
   5.8567990E-02  -3.5288248E-03   6.0299473E+00   2.7513626E+00
   6.2412307E-02  -1.0437489E-02   6.1002107E+00   2.7518387E+00
   6.6317677E-02  -3.1314113E-03   6.2149434E+00   2.7554209E+00
   7.0091315E-02  -8.6219897E-03   6.2998948E+00   2.7539034E+00
   7.3750906E-02  -2.2434730E-03   6.4128861E+00   2.7579482E+00
   7.7312119E-02  -3.9044521E-03   6.4881301E+00   2.7583935E+00
   8.0786102E-02  -9.8283971E-03   6.5849929E+00   2.7600462E+00
   8.4182806E-02  -1.1669144E-02   6.6949987E+00   2.7657354E+00
   8.7509550E-02  -1.3808532E-02   6.7798562E+00   2.7600219E+00
   9.0773322E-02  -9.3550254E-03   6.8450222E+00   2.7619817E+00
   9.3980208E-02  -7.6664994E-03   6.9863882E+00   2.7634375E+00
   9.7134948E-02  -6.9154296E-03   7.0371919E+00   2.7638721E+00
   1.0024200E-01  -1.0506976E-02   7.1043172E+00   2.7614849E+00
   1.0330589E-01  -6.8527348E-03   7.1790228E+00   2.7600210E+00
   1.0931791E-01  -6.7671267E-03   7.3978586E+00   2.7677526E+00
   1.1227153E-01  -1.1373125E-02   7.4471378E+00   2.7665000E+00
   1.1519460E-01  -1.3467108E-02   7.5087686E+00   2.7646832E+00
   1.1808996E-01  -5.5269725E-03   7.5993938E+00   2.7619152E+00
   1.2095995E-01  -2.4391504E-03   7.6968765E+00   2.7613409E+00
   1.2380607E-01  -2.5793992E-03   7.8803434E+00   2.7730751E+00
