  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   14:53:34  09/16/2023 bqrj     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      1.690E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00   1.8022986E-03   4.5282717E+00  -1.1417130E+00   4.6699848E+00
   9.4590866E-04  -9.5018059E-02  -4.2701489E+02   2.8693149E+00   4.2702457E+02
   1.7289400E-02   3.6611171E-03   4.2317085E+00  -1.0471704E+00   4.3593502E+00
   3.3269882E-02   5.6499988E-03   4.4552217E+00  -1.0789312E+00   4.5840073E+00
   4.9948502E-02   3.2252935E-03   4.7030849E+00  -1.1065511E+00   4.8315086E+00
   6.8598352E-02   3.7048000E-03   4.9793901E+00  -1.1377159E+00   5.1077132E+00
   8.4589377E-02   6.2700952E-03   5.2199445E+00  -1.1575112E+00   5.3467455E+00
   1.0124794E-01   6.8403822E-03   5.5419025E+00  -1.1792533E+00   5.6659837E+00
   1.1891903E-01   1.1239460E-02   5.8536601E+00  -1.1965950E+00   5.9747219E+00
   1.3548650E-01   1.0681339E-02   6.1642799E+00  -1.2204077E+00   6.2839365E+00
   1.5229796E-01   1.1759804E-02   6.4474716E+00  -1.2297360E+00   6.5637093E+00
   1.6854662E-01   1.4136324E-02   6.7820535E+00  -1.2430732E+00   6.8950477E+00
   1.8580629E-01   1.8519929E-02   7.0787916E+00  -1.2578859E+00   7.1897087E+00
   2.0296468E-01   1.5830601E-02   7.4188271E+00  -1.2648548E+00   7.5258956E+00
   2.1984044E-01   2.0994494E-02   7.6920447E+00  -1.2763584E+00   7.7972484E+00
   2.3681687E-01   2.8617496E-02   7.8908257E+00  -1.3058127E+00   7.9981933E+00
   2.5317514E-01   3.6168817E-02   8.0679836E+00  -1.3203809E+00   8.1753950E+00
   2.7010363E-01   2.0587714E-02   8.1910191E+00  -1.3656199E+00   8.3041029E+00
   2.8726614E-01   2.9636430E-02   8.3266211E+00  -1.3980048E+00   8.4432163E+00
   3.0404621E-01   2.2341305E-02   8.3684254E+00  -1.4220752E+00   8.4884243E+00
   3.2104805E-01   2.9237043E-02   8.2910070E+00  -1.4521713E+00   8.4172707E+00
