  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:55:37  02/12/2024 urib     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      997      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -1.4429529E-03   5.4884276E+00   2.2433159E+00
   3.3760001E-03  -8.2138941E-02  -1.2260171E+02   1.3514119E+00
   6.1947335E-03   1.5418021E-03   4.2268147E+00   2.3236821E+00
   8.8725304E-03  -5.5502555E-03   5.0044489E+00   2.4074945E+00
   1.4087540E-02   3.5948853E-04   4.8985934E+00   2.3989103E+00
   1.6892198E-02  -2.4005856E-05   4.9896894E+00   2.3822088E+00
   1.9837089E-02   1.0155647E-03   5.0548639E+00   2.3693326E+00
   2.2929223E-02   1.7630503E-03   5.1040339E+00   2.3559971E+00
   2.6175966E-02  -3.5813580E-05   5.2588081E+00   2.3555596E+00
   2.9585045E-02   2.1825626E-04   5.3078589E+00   2.3487649E+00
   3.3164576E-02   1.9699309E-03   5.3844786E+00   2.3487430E+00
   3.6923088E-02   2.8710430E-03   5.4571657E+00   2.3514748E+00
   4.0859632E-02   2.7293812E-03   5.5467896E+00   2.3528786E+00
   4.4887543E-02   3.8531886E-03   5.6396241E+00   2.3554106E+00
   4.9022891E-02   5.3349347E-03   5.7409945E+00   2.3530028E+00
   5.3280078E-02   5.9748436E-03   5.8449488E+00   2.3566120E+00
   5.7672821E-02   4.1229390E-03   5.9507384E+00   2.3575151E+00
   6.2215462E-02   7.8657595E-03   6.0560470E+00   2.3625109E+00
   6.6923670E-02   8.9462651E-03   6.1678743E+00   2.3632870E+00
   7.1666650E-02   5.3517041E-03   6.2902536E+00   2.3644109E+00
   7.5553983E-02   9.6110441E-03   6.4187984E+00   2.3665597E+00
   7.9441980E-02   4.9023447E-03   6.5033460E+00   2.3645833E+00
   8.3524369E-02   6.7567606E-03   6.6115966E+00   2.3650062E+00
   8.7729111E-02   4.8093540E-03   6.7277508E+00   2.3623784E+00
   9.1675550E-02   4.6955664E-03   6.8497238E+00   2.3669982E+00
   9.5669374E-02   7.3449188E-03   6.9223442E+00   2.3665080E+00
   9.9540539E-02   2.5996044E-03   7.0639601E+00   2.3623161E+00
   1.0303039E-01   6.1171958E-03   7.1536579E+00   2.3617554E+00
   1.0669474E-01   3.9044223E-03   7.2572746E+00   2.3611612E+00
   1.1036497E-01   2.6574554E-03   7.3298278E+00   2.3616619E+00
   1.1380214E-01   7.8727268E-03   7.4731541E+00   2.3628652E+00
   1.1741118E-01   1.6691462E-03   7.5446610E+00   2.3624592E+00
   1.2116888E-01   9.3625924E-03   7.6264868E+00   2.3599796E+00
   1.2483381E-01   4.5700334E-03   7.7861080E+00   2.3607063E+00
   1.2867762E-01   4.2161648E-03   7.8514442E+00   2.3601773E+00
   1.3246264E-01   5.4790149E-03   7.9478583E+00   2.3580189E+00
   1.3615637E-01   1.5117666E-03   8.1007843E+00   2.3582666E+00
   1.3974336E-01   1.0893511E-02   8.1774712E+00   2.3592541E+00
