  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   19:59:59  09/11/2023 jxht     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      1.690E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -4.2934758E-03   4.5264764E+00  -1.1489512E+00   4.6700211E+00
   8.6188089E-04  -2.0968753E-01  -4.6888989E+02   3.2588911E+00   4.6890128E+02
   1.7029751E-02  -3.6437933E-03   4.2198787E+00  -1.0481824E+00   4.3481116E+00
   3.3389416E-02   9.0822828E-04   4.4485497E+00  -1.0874714E+00   4.5795403E+00
   4.9997751E-02  -1.5758757E-03   4.6848783E+00  -1.1151828E+00   4.8157783E+00
   6.7477785E-02   1.4876173E-04   4.9543467E+00  -1.1431742E+00   5.0845256E+00
   8.4345601E-02   1.2954620E-04   5.2455645E+00  -1.1683707E+00   5.3741078E+00
   1.0133690E-01   1.8930205E-04   5.5189705E+00  -1.1871512E+00   5.6452069E+00
   1.1841322E-01   3.0083926E-03   5.8360629E+00  -1.2070769E+00   5.9595866E+00
   1.3563442E-01   1.5194062E-03   6.1586261E+00  -1.2241470E+00   6.2791095E+00
   1.5154152E-01   3.2606509E-03   6.4585500E+00  -1.2417431E+00   6.5768385E+00
   1.6957036E-01   8.9680431E-03   6.7896013E+00  -1.2526970E+00   6.9042025E+00
   1.8597490E-01   6.3169226E-03   7.0984740E+00  -1.2648519E+00   7.2102857E+00
   2.0268503E-01   1.0296538E-02   7.3906870E+00  -1.2752155E+00   7.4999022E+00
   2.1973003E-01   1.7900247E-02   7.6755939E+00  -1.2954100E+00   7.7841597E+00
   2.3690899E-01   2.0180106E-02   7.9313941E+00  -1.3094234E+00   8.0387821E+00
   2.5381693E-01   1.7852738E-02   8.1366940E+00  -1.3401395E+00   8.2463379E+00
   2.7052936E-01   3.0054497E-02   8.2575560E+00  -1.3745203E+00   8.3712273E+00
   2.8736147E-01  -3.8060337E-02   8.3390217E+00  -1.4017965E+00   8.4561081E+00
   3.0411398E-01   2.2250442E-02   8.3622551E+00  -1.4290816E+00   8.4835186E+00
   3.2093993E-01   3.4109075E-02   8.2855787E+00  -1.4577357E+00   8.4129057E+00
   3.3817029E-01   3.5886351E-02   8.1578960E+00  -1.4772743E+00   8.2906504E+00
   3.5487822E-01   3.2941248E-02   7.9216433E+00  -1.5014310E+00   8.0627422E+00
   3.7188193E-01   2.7063724E-02   7.5545626E+00  -1.5189354E+00   7.7057972E+00
   3.8842282E-01  -7.7563846E-03   7.2573705E+00  -1.5255879E+00   7.4159899E+00
   4.0541103E-01   5.1300609E-03   6.8039312E+00  -1.5474706E+00   6.9776912E+00
   4.2275640E-01   7.0670515E-02   6.3150945E+00  -1.5622684E+00   6.5058508E+00
   4.3927696E-01   3.2239806E-02   5.7979894E+00  -1.5822308E+00   6.0100894E+00
   4.5661795E-01   2.4516189E-02   5.1137323E+00  -1.5965203E+00   5.3572135E+00
   4.7351250E-01   2.3059253E-02   4.4951253E+00  -1.6137272E+00   4.7760649E+00
   4.8994136E-01   1.1389488E-03   3.8295288E+00  -1.6291276E+00   4.1616521E+00
   5.0713259E-01   1.0642994E-02   3.0560563E+00  -1.6493222E+00   3.4727304E+00
   5.2357274E-01   4.3139450E-02   2.2331693E+00  -1.6618385E+00   2.7839923E+00
   5.4110307E-01   2.5823547E-03   1.4856457E+00  -1.6787195E+00   2.2417066E+00
   5.5770016E-01   1.0434099E-02   7.8523594E-01  -1.6877037E+00   1.8614640E+00
   5.7468379E-01   1.1179254E-02   2.1018218E-02  -1.6970164E+00   1.6971834E+00
   5.9137505E-01   2.3305848E-02  -7.8340471E-01  -1.6983448E+00   1.8704655E+00
   6.0842079E-01  -1.7471032E-02  -1.5561476E+00  -1.6949854E+00   2.3010597E+00
   6.2557065E-01  -1.8808322E-03  -2.2355244E+00  -1.6823180E+00   2.7978146E+00
   6.4235848E-01   3.3458501E-02  -2.7807226E+00  -1.6646887E+00   3.2410996E+00
   6.5870035E-01   2.0584246E-02  -3.6127288E+00  -1.6481596E+00   3.9709778E+00
   6.7567986E-01   1.8333599E-02  -4.1170855E+00  -1.6239734E+00   4.4258351E+00
   6.9250935E-01   9.4295159E-04  -4.5973954E+00  -1.5953187E+00   4.8663216E+00
   7.0965010E-01   5.1680878E-02  -5.0892949E+00  -1.5649160E+00   5.3247118E+00
   7.2667146E-01   5.2415282E-02  -5.4998183E+00  -1.5422150E+00   5.7121954E+00
   7.4356109E-01   4.0920444E-02  -5.9318881E+00  -1.5181789E+00   6.1232214E+00
   7.6059538E-01   3.2176789E-02  -6.2667923E+00  -1.4917862E+00   6.4419832E+00
   7.7729642E-01   9.8511176E-03  -6.6324735E+00  -1.4450828E+00   6.7880826E+00
   7.9421556E-01   2.0690879E-02  -6.8758368E+00  -1.4046075E+00   7.0178685E+00
   8.1100243E-01   1.3837305E-02  -7.1832275E+00  -1.3741047E+00   7.3134885E+00
   8.2796550E-01   2.9580614E-02  -7.4080029E+00  -1.3466930E+00   7.5294728E+00
   8.4494430E-01  -6.6190655E-03  -7.5978889E+00  -1.3169044E+00   7.7111735E+00
   8.6193937E-01   6.0790153E-03  -7.6391511E+00  -1.2908832E+00   7.7474542E+00
   8.7922174E-01  -1.1653295E-02  -7.7964091E+00  -1.2758719E+00   7.9001250E+00
   8.9568889E-01  -2.0545730E-02  -7.8729186E+00  -1.2641599E+00   7.9737930E+00
   9.1292524E-01   1.3031228E-03  -7.9024229E+00  -1.2417816E+00   7.9993944E+00
   9.2949879E-01  -1.8594882E-02  -7.8921709E+00  -1.2209953E+00   7.9860835E+00
   9.4683295E-01  -1.6144376E-02  -7.8429165E+00  -1.2015740E+00   7.9344425E+00
   9.6311480E-01  -3.3824630E-02  -7.7407532E+00  -1.1891809E+00   7.8316383E+00
   9.8057383E-01  -1.6804798E-02  -7.5522342E+00  -1.1702926E+00   7.6423888E+00
   9.9673516E-01  -2.6770692E-02  -7.3475704E+00  -1.1550148E+00   7.4378467E+00
   1.0137430E+00  -2.9792707E-02  -7.1349211E+00  -1.1315742E+00   7.2241573E+00
   1.0308887E+00  -3.7194751E-02  -6.8500562E+00  -1.1159856E+00   6.9404669E+00
   1.0477933E+00  -3.1220052E-02  -6.6899948E+00  -1.1038406E+00   6.7805214E+00
   1.0649854E+00  -6.5781213E-02  -6.4264312E+00  -1.0957140E+00   6.5195041E+00
   1.0812687E+00  -4.7732979E-02  -6.1449118E+00  -1.0856518E+00   6.2402611E+00
   1.0987090E+00  -3.3657651E-02  -5.8482447E+00  -1.0731585E+00   5.9459877E+00
   1.1155949E+00  -3.6666390E-02  -5.5027552E+00  -1.0596410E+00   5.6039715E+00
   1.1324546E+00  -3.2877013E-02  -5.2100549E+00  -1.0515209E+00   5.3152094E+00
   1.1492857E+00  -3.2949645E-02  -4.9172111E+00  -1.0372307E+00   5.0255246E+00
   1.1661017E+00  -2.5318632E-02  -4.5946693E+00  -1.0273887E+00   4.7082009E+00
   1.1829145E+00  -3.2788906E-02  -4.2732682E+00  -1.0163748E+00   4.3925977E+00
   1.1997342E+00  -2.0103587E-02  -3.9845207E+00  -1.0058533E+00   4.1095681E+00
   1.2165700E+00  -3.1675234E-02  -3.6989484E+00  -1.0001538E+00   3.8319094E+00
   1.2339653E+00  -1.7935473E-02  -3.3620892E+00  -9.9154091E-01   3.5052989E+00
   1.2508410E+00  -3.5353411E-02  -3.0944192E+00  -9.8692340E-01   3.2481837E+00
   1.2672499E+00  -7.7834926E-03  -2.5401311E+00  -9.7793949E-01   2.7218912E+00
   1.2842226E+00   1.2593680E-03  -2.2657635E+00  -9.7465932E-01   2.4665051E+00
   1.3012445E+00  -5.0369650E-04  -1.8742964E+00  -9.7553253E-01   2.1129720E+00
   1.3183206E+00  -1.3421427E-02  -1.9107639E+00  -9.5002323E-01   2.1339500E+00
   1.3349746E+00   2.4068863E-03  -1.4479882E+00  -9.6372443E-01   1.7393793E+00
   1.3521838E+00  -2.0550597E-03  -1.0508716E+00  -9.6253532E-01   1.4250647E+00
   1.3690217E+00  -1.2396862E-02  -7.2159338E-01  -9.5904309E-01   1.2002560E+00
   1.3859481E+00  -1.9414773E-02  -2.9339704E-01  -9.6022487E-01   1.0042362E+00
   1.4025440E+00  -1.6398525E-02   2.6954295E-02  -9.6171618E-01   9.6223354E-01
   1.4196626E+00  -1.2646638E-02   3.7099266E-01  -9.6260923E-01   1.0317035E+00
   1.4364699E+00  -2.6866646E-02   7.0645946E-01  -9.6776533E-01   1.1984893E+00
   1.4533886E+00  -1.9552451E-02   1.1057215E+00  -9.6879566E-01   1.4702270E+00
   1.4704198E+00  -2.4987314E-02   1.4914784E+00  -9.7310519E-01   1.7810295E+00
   1.4871780E+00   1.0267145E-03   1.8524109E+00  -9.7632146E-01   2.0939510E+00
   1.5040630E+00  -1.1541039E-02   2.2452250E+00  -9.8083216E-01   2.4501429E+00
   1.5210754E+00  -1.2997215E-03   2.6029184E+00  -9.8541486E-01   2.7832046E+00
   1.5378457E+00   5.1184795E-03   3.0478659E+00  -9.9000520E-01   3.2046251E+00
   1.5547550E+00   9.3945377E-03   3.4179678E+00  -9.9584270E-01   3.5600977E+00
