  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   20:04:12  09/11/2023 jjup     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -6.1988481E-04  -1.0569352E+00  -2.7103612E+00   2.9091530E+00
   3.3703928E-03   1.4519532E-03   1.3738905E+02  -3.3929040E+00   1.3743094E+02
   2.3781497E-02  -8.3106197E-04  -6.6817999E-01  -2.6947405E+00   2.7763450E+00
   4.4983830E-02  -1.3952624E-03  -8.0639488E-01  -2.7006168E+00   2.8184402E+00
   6.8187661E-02  -7.4004172E-04  -9.4464022E-01  -2.7015235E+00   2.8619182E+00
   9.1911212E-02  -6.3677231E-04  -1.0602118E+00  -2.6941533E+00   2.8952568E+00
   1.1351442E-01   4.0058373E-03  -1.1864042E+00  -2.6854661E+00   2.9358642E+00
   1.3702215E-01   2.6729330E-03  -1.2478662E+00  -2.6753216E+00   2.9520371E+00
   1.5988326E-01   7.0440685E-03  -1.3744758E+00  -2.6593850E+00   2.9935868E+00
   1.8227106E-01   5.0925314E-03  -1.4318641E+00  -2.6441033E+00   3.0069158E+00
   2.0477618E-01  -4.9290056E-03  -1.5147949E+00  -2.6281619E+00   3.0334573E+00
   2.2776060E-01   4.0553636E-03  -1.5683032E+00  -2.6099114E+00   3.0448692E+00
   2.5110897E-01   3.9019224E-03  -1.6023258E+00  -2.5909977E+00   3.0464294E+00
   2.7410370E-01  -2.2064743E-03  -1.6165110E+00  -2.5716035E+00   3.0374753E+00
   2.9656145E-01  -1.9211610E-03  -1.6460967E+00  -2.5507388E+00   3.0357711E+00
   3.1977880E-01  -5.1736098E-04  -1.6508887E+00  -2.5270503E+00   3.0185125E+00
   3.4150773E-01  -8.9528163E-05  -1.6516390E+00  -2.5065086E+00   3.0017490E+00
   3.6513475E-01   6.0662522E-05  -1.6437140E+00  -2.4796281E+00   2.9749539E+00
   3.8708815E-01  -1.3036940E-04  -1.6403457E+00  -2.4627519E+00   2.9590337E+00
