  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   20:27:08  10/07/2023 ront     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -4.9521431E-04  -1.0718100E+00  -6.3989401E-01   1.2482953E+00
   3.3779831E-03   6.7321405E-02   1.3897928E+02  -1.0437301E+00   1.3898322E+02
   2.3810646E-02   2.1951504E-03  -6.6602308E-01  -6.3389325E-01   9.1946304E-01
   4.6314731E-02   9.0115267E-04  -8.3471376E-01  -6.3966334E-01   1.0516258E+00
   6.8048775E-02   2.1541337E-03  -9.7213531E-01  -6.3912708E-01   1.1634153E+00
   9.1487601E-02   7.6425290E-03  -1.0776407E+00  -6.3409090E-01   1.2503756E+00
   1.1420698E-01  -1.7373558E-04  -1.2030810E+00  -6.2662232E-01   1.3564879E+00
   1.3667621E-01  -1.4076951E-03  -1.2917179E+00  -6.2039554E-01   1.4329786E+00
   1.6019849E-01   3.5326768E-04  -1.3830537E+00  -6.0929579E-01   1.5113169E+00
   1.8188217E-01  -1.0940894E-03  -1.4649416E+00  -5.9489948E-01   1.5811265E+00
   2.0463710E-01   3.0457389E-03  -1.5348253E+00  -5.8178896E-01   1.6413946E+00
   2.2714533E-01  -9.3001861E-04  -1.5705029E+00  -5.6850469E-01   1.6702328E+00
   2.5049940E-01  -1.4751955E-04  -1.6064541E+00  -5.5604184E-01   1.6999640E+00
   2.7333325E-01  -1.8740261E-03  -1.6060697E+00  -5.4357737E-01   1.6955647E+00
   2.9597118E-01   4.7064447E-03  -1.6487316E+00  -5.1780605E-01   1.7281381E+00
   3.1946832E-01  -2.1745812E-03  -1.6774089E+00  -5.0060952E-01   1.7505187E+00
   3.4217581E-01   1.1362253E-03  -1.6739206E+00  -4.8174450E-01   1.7418637E+00
   3.6442032E-01   5.9699162E-04  -1.6857284E+00  -4.6516627E-01   1.7487310E+00
   3.8740322E-01   7.8364620E-03  -1.6431201E+00  -4.4670939E-01   1.7027783E+00
   4.1101655E-01   2.0389810E-04  -1.6551303E+00  -4.2750269E-01   1.7094487E+00
   4.3338162E-01  -1.6371059E-03  -1.6546921E+00  -4.1116729E-01   1.7050123E+00
   4.5690095E-01  -4.4323355E-03  -1.6328259E+00  -3.9572319E-01   1.6801002E+00
   4.7918034E-01  -1.7442424E-03  -1.6037474E+00  -3.8163498E-01   1.6485308E+00
   5.0263894E-01  -1.6131378E-03  -1.5756543E+00  -3.7152857E-01   1.6188645E+00
   5.2383566E-01  -1.7910837E-03  -1.5236490E+00  -3.5907078E-01   1.5653886E+00
   5.4742140E-01  -1.9104552E-04  -1.4546864E+00  -3.4530863E-01   1.4951090E+00
   5.7060605E-01   3.8532788E-04  -1.4334074E+00  -3.3657628E-01   1.4723928E+00
   5.9318739E-01  -6.4142048E-04  -1.3514922E+00  -3.2653457E-01   1.3903799E+00
   6.1575955E-01  -3.7282114E-04  -1.3264288E+00  -3.2028583E-01   1.3645499E+00
   6.3937020E-01  -6.0565019E-04  -1.2794408E+00  -3.1215519E-01   1.3169700E+00
   6.6020346E-01  -5.4850210E-05  -1.2340782E+00  -3.0369633E-01   1.2708975E+00
   6.8330592E-01  -1.1626201E-03  -1.1766615E+00  -2.9615700E-01   1.2133600E+00
   7.0675987E-01  -2.0560680E-03  -1.1097915E+00  -2.9231030E-01   1.1476440E+00
   7.3008198E-01  -2.5428371E-03  -1.0506546E+00  -2.9103863E-01   1.0902226E+00
   7.5189018E-01  -2.0664299E-03  -9.8418581E-01  -2.8738526E-01   1.0252883E+00
   7.7456909E-01  -2.7242431E-03  -9.2273366E-01  -2.8700450E-01   9.6634179E-01
   7.9687572E-01  -1.3011043E-03  -8.5376626E-01  -2.8563294E-01   9.0028036E-01
   8.2048905E-01  -4.9153279E-04  -7.7813327E-01  -2.8348419E-01   8.2816362E-01
   8.4403968E-01  -8.4699719E-04  -6.9068420E-01  -2.8052655E-01   7.4548006E-01
   8.6688083E-01  -8.7117754E-05  -6.2420046E-01  -2.7858549E-01   6.8354672E-01
   8.8909006E-01  -1.2537709E-04  -5.3895563E-01  -2.7655143E-01   6.0576719E-01
   9.1176832E-01   3.3373199E-04  -4.5938733E-01  -2.7529857E-01   5.3556150E-01
   9.3543231E-01  -7.2841380E-05  -3.7219918E-01  -2.7488405E-01   4.6270236E-01
   9.5705730E-01   9.0865840E-05  -2.8606299E-01  -2.7443957E-01   3.9642039E-01
   9.8015678E-01   2.4447797E-04  -2.0473672E-01  -2.7982834E-01   3.4672913E-01
   1.0031557E+00  -2.0940874E-03  -1.1986180E-01  -2.7461988E-01   2.9964530E-01
   1.0261033E+00  -2.3259053E-03  -1.7491963E-02  -2.7505854E-01   2.7562398E-01
   1.0490226E+00  -2.2341569E-03   7.2004639E-02  -2.7523762E-01   2.8450906E-01
   1.0714331E+00  -1.8881742E-03   1.5704185E-01  -2.7620459E-01   3.1773365E-01
   1.0941544E+00  -1.7782575E-03   2.5666162E-01  -2.7506834E-01   3.7621927E-01
   1.1174427E+00  -1.6160456E-03   3.5649914E-01  -2.7782997E-01   4.5197758E-01
   1.1394440E+00  -1.6235650E-03   4.3523186E-01  -2.7585450E-01   5.1529127E-01
   1.1628910E+00  -2.4146051E-03   5.1193869E-01  -2.7755278E-01   5.8234239E-01
   1.1865044E+00  -1.0594203E-03   6.1409694E-01  -2.7803662E-01   6.7410719E-01
   1.2089263E+00  -4.9544889E-03   7.6400852E-01  -2.7651459E-01   8.1252319E-01
   1.2315251E+00  -5.0745934E-04   7.7865607E-01  -2.8148285E-01   8.2797229E-01
   1.2531172E+00  -2.2101039E-03   8.6075109E-01  -2.8315717E-01   9.0613204E-01
   1.2759144E+00  -2.8313601E-03   9.4427717E-01  -2.8824031E-01   9.8729420E-01
   1.2995276E+00  -1.7609010E-03   1.0322008E+00  -2.9118049E-01   1.0724866E+00
   1.3231410E+00  -2.9234081E-03   1.1547637E+00  -2.9817683E-01   1.1926429E+00
   1.3462399E+00   9.4800474E-05   1.2166747E+00  -3.0080980E-01   1.2533091E+00
   1.3674918E+00  -4.6988009E-03   1.3346632E+00  -3.0849046E-01   1.3698591E+00
