  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   04:31:01  10/09/2023 tcgi     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00   1.5612342E-04  -1.0711848E+00  -6.3614768E-01   1.2458414E+00
   1.4827758E-03   1.6386473E-01   3.1851257E+02  -1.5834364E+00   3.1851654E+02
   2.1875070E-02   6.9856038E-03  -6.8319261E-01  -6.3025022E-01   9.2952472E-01
   4.5046572E-02   8.0235787E-03  -8.2957208E-01  -6.3610148E-01   1.0454087E+00
   6.7874715E-02   6.1038854E-03  -9.6411991E-01  -6.3551867E-01   1.1547503E+00
   9.1321811E-02   8.7831579E-03  -1.0825955E+00  -6.3129145E-01   1.2532433E+00
   1.1360719E-01   3.6519435E-03  -1.1933924E+00  -6.2398124E-01   1.3466816E+00
   1.3721515E-01   5.0268215E-03  -1.3003746E+00  -6.1562091E-01   1.4387455E+00
   1.5961269E-01  -3.6925383E-04  -1.4034127E+00  -6.0292941E-01   1.5274460E+00
   1.8298030E-01   2.4242343E-03  -1.4790285E+00  -5.9201813E-01   1.5931153E+00
   2.0580189E-01   3.6865044E-03  -1.5304275E+00  -5.7930183E-01   1.6364022E+00
   2.2821896E-01   9.4695884E-04  -1.5780947E+00  -5.6290358E-01   1.6754833E+00
   2.5025436E-01   1.9481744E-03  -1.6352912E+00  -5.4093552E-01   1.7224380E+00
   2.7399087E-01  -8.1695279E-04  -1.6497676E+00  -5.2782863E-01   1.7321481E+00
   2.9643315E-01  -1.3277422E-05  -1.6750624E+00  -5.1095152E-01   1.7512583E+00
   3.1928352E-01  -1.3814430E-03  -1.6600962E+00  -4.9575728E-01   1.7325405E+00
   3.4176114E-01  -4.8852507E-03  -1.6382428E+00  -4.7420433E-01   1.7055008E+00
   3.6492845E-01  -2.4975836E-03  -1.6699429E+00  -4.5902699E-01   1.7318838E+00
   3.8775304E-01  -1.2848888E-03  -1.6754520E+00  -4.4242647E-01   1.7328827E+00
   4.1112757E-01  -3.1954949E-03  -1.6922219E+00  -4.2404920E-01   1.7445465E+00
   4.3302864E-01  -5.7152747E-03  -1.5956872E+00  -4.0110171E-01   1.6453366E+00
   4.5585799E-01  -3.4091229E-04  -1.6108282E+00  -3.9288202E-01   1.6580483E+00
   4.7971568E-01  -3.5909780E-03  -1.6344084E+00  -3.7999406E-01   1.6780044E+00
   5.0136971E-01  -1.8808051E-03  -1.5746263E+00  -3.6693415E-01   1.6168154E+00
   5.2378082E-01  -2.8974449E-03  -1.5256542E+00  -3.5570893E-01   1.5665753E+00
   5.4657990E-01  -2.6438411E-03  -1.4483272E+00  -3.4034371E-01   1.4877810E+00
   5.6979287E-01  -2.2820071E-03  -1.4343275E+00  -3.3446246E-01   1.4728087E+00
   5.9224772E-01  -2.2620431E-03  -1.3863715E+00  -3.2729894E-01   1.4244844E+00
