  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   19:12:02  10/08/2023 iqbp     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      8.160E+00
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -3.6847105E-03  -9.4621736E-01  -6.6221166E-01   1.1549308E+00
   1.6165863E-03  -1.3044927E-01   1.3201410E+02  -2.2209797E+00   1.3203285E+02
   7.4485824E-03  -5.5639404E-03  -4.3826315E-01  -7.3223388E-01   8.5338855E-01
   1.6959636E-02  -7.9110572E-03  -6.5471452E-01  -7.2982180E-01   9.8048639E-01
   2.4744792E-02  -6.2419306E-03  -8.1375617E-01  -7.3007190E-01   1.0932717E+00
   3.2741554E-02  -2.8636798E-03  -9.4130355E-01  -7.3093307E-01   1.1917733E+00
   4.0220119E-02  -2.3733214E-03  -1.0668397E+00  -7.2788787E-01   1.2915004E+00
   4.9040578E-02  -1.1637078E-03  -1.1839106E+00  -7.2762692E-01   1.3896354E+00
   5.7476021E-02  -4.0871059E-03  -1.3149139E+00  -7.2708219E-01   1.5025524E+00
   6.5576024E-02  -1.0990226E-03  -1.4426785E+00  -7.1902901E-01   1.6119322E+00
   7.3143922E-02   9.1363294E-03  -1.5109203E+00  -7.1269643E-01   1.6705987E+00
   8.1669010E-02  -6.9080810E-03  -1.6334019E+00  -7.0081705E-01   1.7774121E+00
   8.9393556E-02   1.2757433E-02  -1.7134799E+00  -6.9527501E-01   1.8492116E+00
   9.7704910E-02  -9.5876986E-03  -1.8130864E+00  -6.7735803E-01   1.9355072E+00
   1.0611108E-01   5.8507812E-03  -1.8929907E+00  -6.7155534E-01   2.0085902E+00
   1.1428875E-01   1.1156851E-03  -1.9282137E+00  -6.5474349E-01   2.0363443E+00
   1.2262183E-01  -1.2735132E-03  -2.0031590E+00  -6.4364552E-01   2.1040266E+00
   1.3070354E-01  -1.3853845E-03  -2.0302722E+00  -6.3342625E-01   2.1267903E+00
   1.3865353E-01  -3.3488306E-03  -2.1034579E+00  -6.1807489E-01   2.1923876E+00
   1.4655751E-01   1.4826851E-03  -2.1200128E+00  -6.0785401E-01   2.2054348E+00
   1.5503000E-01   1.1561313E-02  -2.1579573E+00  -5.9585899E-01   2.2387409E+00
   1.6393924E-01   2.7750512E-03  -2.1560817E+00  -5.8335513E-01   2.2336068E+00
   1.7161164E-01   1.0092246E-02  -2.1595669E+00  -5.6773496E-01   2.2329698E+00
   1.7923750E-01   4.2805038E-03  -2.1600821E+00  -5.5987680E-01   2.2314646E+00
   1.8779124E-01   3.2878122E-03  -2.1505737E+00  -5.4857308E-01   2.2194393E+00
   1.9612251E-01  -1.4398135E-02  -2.1419857E+00  -5.3694552E-01   2.2083070E+00
   2.0466195E-01  -2.1730370E-03  -2.1112297E+00  -5.2763808E-01   2.1761658E+00
   2.1262299E-01   8.7891454E-03  -2.0706353E+00  -5.2025908E-01   2.1350124E+00
   2.2046427E-01   1.2512329E-03  -2.0502195E+00  -5.1286364E-01   2.1133933E+00
   2.2788349E-01   1.8322606E-02  -1.9780325E+00  -5.1052493E-01   2.0429351E+00
   2.3675069E-01   1.0674261E-02  -1.9268992E+00  -5.0345260E-01   1.9916122E+00
