  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   09:50:24  10/09/2023 juri     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      8.160E+00
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -5.8857515E-03  -9.4783676E-01  -5.1271790E-01   1.0776404E+00
   1.6165863E-03  -7.5656436E-02   1.3197331E+02  -2.0249507E+00   1.3198888E+02
   8.2306853E-03   2.0223230E-03  -3.9639023E-01  -5.8070600E-01   7.0309937E-01
   1.6539754E-02  -4.2711901E-03  -7.1314645E-01  -5.7948679E-01   9.1891295E-01
   2.4775689E-02  -1.6710037E-02  -7.3130250E-01  -5.8575636E-01   9.3711960E-01
   3.2637946E-02  -5.1258024E-02  -1.0225937E+00  -5.8258265E-01   1.1780186E+00
   4.0777948E-02  -3.5481364E-02  -1.1043971E+00  -5.7828629E-01   1.2471435E+00
   4.9395818E-02   3.4889828E-02  -1.1962790E+00  -5.8423507E-01   1.3317776E+00
   5.6629185E-02  -2.3346946E-02  -1.2826411E+00  -5.7431912E-01   1.4055445E+00
   6.5674178E-02   3.2018915E-02  -1.4415718E+00  -5.7166791E-01   1.5511154E+00
   7.3215008E-02  -4.6376451E-03  -1.5265841E+00  -5.6621325E-01   1.6282132E+00
   8.1878752E-02  -4.9140789E-03  -1.6164801E+00  -5.5388188E-01   1.7087473E+00
   8.9738369E-02  -4.9243281E-03  -1.7377983E+00  -5.4432803E-01   1.8210602E+00
   9.7673550E-02  -6.8579952E-04  -1.8130009E+00  -5.3427088E-01   1.8900841E+00
   1.0575501E-01  -1.0583811E-02  -1.8934524E+00  -5.1830184E-01   1.9631380E+00
   1.1465079E-01  -2.2760246E-02  -1.9461350E+00  -5.0586116E-01   2.0109339E+00
   1.2284099E-01  -5.9616119E-03  -2.0000143E+00  -4.9488708E-01   2.0603411E+00
   1.3081624E-01  -4.6556392E-03  -2.0645666E+00  -4.8233443E-01   2.1201658E+00
   1.3876002E-01   6.5320602E-04  -2.0799181E+00  -4.7230759E-01   2.1328700E+00
   1.4674343E-01   1.0427109E-03  -2.1232920E+00  -4.6178100E-01   2.1729269E+00
   1.5532851E-01  -1.1917906E-03  -2.1494789E+00  -4.4886872E-01   2.1958470E+00
   1.6339228E-01   1.6190402E-02  -2.1531994E+00  -4.3824974E-01   2.1974061E+00
   1.7161635E-01   1.2184603E-02  -2.1601124E+00  -4.2186359E-01   2.2009549E+00
   1.7929001E-01   4.0722315E-04  -2.1494212E+00  -4.1163376E-01   2.1884823E+00
   1.8813366E-01  -8.0196746E-03  -2.1716185E+00  -4.0244082E-01   2.2086079E+00
   1.9546917E-01   2.8128426E-03  -2.1394131E+00  -3.9597139E-01   2.1757505E+00
   2.0371664E-01   8.0561440E-04  -2.1255548E+00  -3.8589013E-01   2.1602998E+00
   2.1238768E-01  -1.2623551E-02  -2.0732775E+00  -3.7695283E-01   2.1073043E+00
   2.2006114E-01   7.7474616E-03  -2.0419362E+00  -3.7261701E-01   2.0756702E+00
   2.2855352E-01   2.7838964E-03  -1.9667969E+00  -3.6520317E-01   2.0004177E+00
   2.3608488E-01   1.4124666E-02  -1.9306101E+00  -3.5447338E-01   1.9629331E+00
   2.4441661E-01   1.0030393E-02  -1.8390166E+00  -3.5065103E-01   1.8721749E+00
   2.5348118E-01   5.3296331E-03  -1.7456850E+00  -3.4043035E-01   1.7785773E+00
   2.6068890E-01   5.3191944E-03  -1.6788476E+00  -3.4073463E-01   1.7130842E+00
   2.6885489E-01   3.5997652E-03  -1.6125578E+00  -3.3837587E-01   1.6476814E+00
   2.7747878E-01   1.5115378E-02  -1.4781696E+00  -3.3302924E-01   1.5152961E+00
   2.8585893E-01   2.0986132E-02  -1.4003124E+00  -3.3722633E-01   1.4404988E+00
   2.9355633E-01   1.3693179E-02  -1.2748227E+00  -3.2599247E-01   1.3159148E+00
   3.0182767E-01  -2.6816938E-03  -1.1937964E+00  -3.1884480E-01   1.2356453E+00
   3.1053707E-01   1.2880591E-02  -1.0554293E+00  -3.1500778E-01   1.1015112E+00
   3.1859934E-01   1.4769332E-02  -9.0563053E-01  -3.0609387E-01   9.5607442E-01
   3.2632080E-01   1.4270067E-02  -8.2375157E-01  -3.0658135E-01   8.7906903E-01
   3.3440962E-01   9.6569378E-03  -6.8500179E-01  -3.0185175E-01   7.4862224E-01
   3.4254375E-01   1.4907603E-02  -5.5931723E-01  -2.9112175E-01   6.3072175E-01
   3.5121059E-01   6.7747501E-03  -4.1923934E-01  -2.8632024E-01   5.0772709E-01
   3.5852781E-01   2.2361744E-02  -3.1518245E-01  -2.8677902E-01   4.2671093E-01
   3.6692002E-01   1.0527647E-02  -1.3373098E-01  -2.7743131E-01   3.0816057E-01
   3.7499902E-01   8.7289372E-03  -1.1954390E-02  -2.6633868E-01   2.6674968E-01
   3.8370928E-01   1.8711099E-02   1.1506169E-01  -2.6824114E-01   2.9247668E-01
   3.9118499E-01  -3.7194122E-04   2.4407418E-01  -2.6255029E-01   3.5847595E-01
   3.9956462E-01  -1.4364430E-02   3.5549936E-01  -2.7182114E-01   4.4774196E-01
   4.0810943E-01   2.9657329E-03   5.1716584E-01  -2.3720843E-01   5.6897902E-01
   4.1587949E-01   1.1053455E-02   5.9765923E-01  -2.3965840E-01   6.4401466E-01
   4.2412758E-01   1.6149789E-02   7.6638865E-01  -2.3480275E-01   8.0171365E-01
   4.3211338E-01   2.8986237E-03   8.9067960E-01  -2.2032131E-01   9.1752934E-01
   4.4070709E-01  -2.1952069E-03   9.9999732E-01  -2.1962392E-01   1.0238330E+00
   4.4847590E-01  -1.7643999E-03   1.0654635E+00  -2.1129227E-01   1.0862137E+00
   4.5697448E-01   1.0939398E-02   1.1926022E+00  -2.0780432E-01   1.2106206E+00
   4.6543261E-01   8.7303445E-03   1.3109655E+00  -2.1007475E-01   1.3277191E+00
   4.7348297E-01   1.2765925E-03   1.4011304E+00  -2.0852406E-01   1.4165629E+00
