  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   13:40:32  10/11/2023 rjju     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      8.160E+00
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -2.1454708E-03  -9.4939446E-01  -5.2145427E-01   1.0831754E+00
   1.6165863E-03  -4.1500635E-02   1.3204631E+02  -2.0878162E+00   1.3206282E+02
   8.4216231E-03   1.8276820E-03  -3.5413310E-01  -5.8917588E-01   6.8741673E-01
   1.6438784E-02   3.0481759E-03  -7.7261120E-01  -5.8601123E-01   9.6971464E-01
   2.4133798E-02   9.5426673E-03  -7.4677676E-01  -5.8999366E-01   9.5176631E-01
   3.2935552E-02   2.4348879E-03  -9.3766189E-01  -5.8691752E-01   1.1062043E+00
   4.0447049E-02   3.3185647E-03  -1.0746974E+00  -5.8760667E-01   1.2248539E+00
   4.8692804E-02   9.7118048E-03  -1.1927495E+00  -5.8754659E-01   1.3296454E+00
   5.7232186E-02   1.0108600E-02  -1.3251090E+00  -5.8203459E-01   1.4473356E+00
   6.5418646E-02   1.9617267E-03  -1.4340388E+00  -5.7610834E-01   1.5454358E+00
   7.3111534E-02   7.5216079E-03  -1.5345533E+00  -5.6938291E-01   1.6367979E+00
   8.1613980E-02   2.6306950E-03  -1.6354581E+00  -5.6462628E-01   1.7301829E+00
   8.9518450E-02   7.1709957E-03  -1.7233377E+00  -5.5351597E-01   1.8100619E+00
   9.7398855E-02   7.2982847E-03  -1.7802083E+00  -5.4229444E-01   1.8609885E+00
   1.0622405E-01  -1.8565649E-02  -1.8865447E+00  -5.3006256E-01   1.9596841E+00
   1.1433600E-01  -1.0975747E-02  -1.9592210E+00  -5.1497322E-01   2.0257998E+00
   1.2264916E-01   2.9621846E-03  -2.0117419E+00  -5.0332731E-01   2.0737534E+00
   1.3070962E-01   4.1833189E-03  -2.0691428E+00  -4.9050143E-01   2.1264904E+00
   1.3877439E-01  -1.5818048E-02  -2.0775566E+00  -4.7936115E-01   2.1322005E+00
   1.4634916E-01  -8.4020142E-03  -2.1565363E+00  -4.7003043E-01   2.2071810E+00
   1.5542616E-01   6.6984403E-03  -2.1470385E+00  -4.5648977E-01   2.1950405E+00
   1.6366836E-01   2.0761285E-03  -2.1587274E+00  -4.4505364E-01   2.2041280E+00
   1.7136031E-01   1.1693876E-02  -2.1654673E+00  -4.3491054E-01   2.2087400E+00
   1.7931288E-01   1.4692203E-03  -2.1595178E+00  -4.1980329E-01   2.1999443E+00
   1.8730406E-01   2.4251826E-03  -2.1552138E+00  -4.1227585E-01   2.1942935E+00
   1.9611681E-01   1.8422970E-03  -2.1382625E+00  -4.0400419E-01   2.1760948E+00
   2.0399106E-01   8.3350269E-03  -2.1124015E+00  -3.9835799E-01   2.1496508E+00
   2.1238047E-01  -1.5227283E-04  -2.0623944E+00  -3.8611805E-01   2.0982273E+00
   2.1989220E-01   5.6816177E-03  -2.0202639E+00  -3.7851059E-01   2.0554242E+00
   2.2896354E-01   6.4182249E-03  -1.9673674E+00  -3.6992231E-01   2.0018537E+00
   2.3678517E-01   1.1332989E-03  -1.9119389E+00  -3.6889604E-01   1.9472021E+00
   2.4526180E-01   6.3229967E-03  -1.8228034E+00  -3.6173046E-01   1.8583598E+00
   2.5266474E-01   1.0829858E-04  -1.7685988E+00  -3.6072499E-01   1.8050109E+00
   2.6139945E-01   3.3766518E-03  -1.6695653E+00  -3.4423414E-01   1.7046868E+00
   2.6919955E-01  -6.6035503E-04  -1.5791354E+00  -3.4277567E-01   1.6159097E+00
   2.7743313E-01   5.2455608E-03  -1.4959047E+00  -3.3864903E-01   1.5337671E+00
   2.8555498E-01   1.5490466E-02  -1.3460644E+00  -3.3799931E-01   1.3879384E+00
   2.9382998E-01   3.4682435E-04  -1.2836831E+00  -3.3229423E-01   1.3259946E+00
   3.0191272E-01  -2.1476751E-04  -1.1589574E+00  -3.2314944E-01   1.2031657E+00
   3.0997953E-01   1.3409847E-02  -1.0340807E+00  -3.1554231E-01   1.0812353E+00
   3.1870499E-01   1.1902936E-02  -9.2649198E-01  -3.1583199E-01   9.7891718E-01
   3.2681254E-01   5.8839433E-03  -8.3131814E-01  -3.0823955E-01   8.8664317E-01
   3.3485940E-01   4.5103012E-03  -6.8093324E-01  -3.0001411E-01   7.4410951E-01
   3.4253561E-01   1.4638046E-02  -5.5943811E-01  -2.9587707E-01   6.3303119E-01
   3.5120448E-01  -9.0753781E-03  -4.0203542E-01  -2.9185119E-01   4.9688223E-01
   3.5927323E-01  -6.1849034E-03  -2.9889980E-01  -2.8287295E-01   4.1157800E-01
   3.6735907E-01   1.6068660E-02  -1.2054573E-01  -2.8124842E-01   3.0641499E-01
   3.7487236E-01   2.4968479E-02  -1.4605748E-02  -2.7816311E-01   2.7966312E-01
   3.8328809E-01   1.4016258E-02   1.2035809E-01  -2.7130195E-01   2.9713175E-01
   3.9120358E-01   4.2700481E-02   2.2181229E-01  -2.6289213E-01   3.4660682E-01
   3.9997926E-01  -6.5955572E-04   4.1133907E-01  -2.6901719E-01   4.9149823E-01
   4.0846342E-01   1.7385360E-02   4.8992720E-01  -2.6753244E-01   5.5848414E-01
   4.1654614E-01  -2.2684869E-03   6.3215947E-01  -2.4509461E-01   6.7801332E-01
   4.2462608E-01   2.0472625E-02   7.7706981E-01  -2.2491337E-01   8.0922347E-01
   4.3254495E-01   1.6015716E-02   8.8869625E-01  -2.3814078E-01   9.2018944E-01
   4.4101235E-01  -2.2510071E-04   9.8707879E-01  -2.3250161E-01   1.0140915E+00
   4.4907764E-01   3.9599603E-03   1.1081259E+00  -2.1820270E-01   1.1294118E+00
   4.5693442E-01   1.5587764E-02   1.2182662E+00  -2.1379425E-01   1.2369816E+00
   4.6550244E-01   1.9786549E-03   1.3261691E+00  -2.3075359E-01   1.3460965E+00
   4.7284639E-01   2.3672227E-02   1.4241105E+00  -2.0942490E-01   1.4396216E+00
   4.8170808E-01  -4.0574428E-03   1.5459191E+00  -2.2182791E-01   1.5617586E+00
   4.8940042E-01   1.3219166E-02   1.6282183E+00  -2.2600543E-01   1.6438820E+00
   4.9765992E-01   2.2763150E-02   1.6877271E+00  -2.0978138E-01   1.7008672E+00
   5.0564986E-01   2.4484662E-02   1.7769603E+00  -2.2799905E-01   1.7916950E+00
   5.1416141E-01   2.3461703E-02   1.8647088E+00  -2.3041481E-01   1.8790370E+00
   5.2241278E-01   1.5012358E-03   1.9447608E+00  -2.3687612E-01   1.9591343E+00
   5.3043038E-01  -6.4066838E-04   1.9994943E+00  -2.4791749E-01   2.0148056E+00
   5.3823662E-01   1.4397657E-03   2.0658672E+00  -2.5799748E-01   2.0819156E+00
   5.4653376E-01   1.1786108E-02   2.1137695E+00  -2.5861403E-01   2.1295638E+00
   5.5462319E-01   3.1505560E-03   2.1620667E+00  -2.7247459E-01   2.1791706E+00
   5.6317353E-01  -1.6169947E-03   2.1952860E+00  -2.8020248E-01   2.2130966E+00
   5.7088614E-01  -1.8654190E-03   2.2217984E+00  -2.9134381E-01   2.2408197E+00
   5.7906276E-01   8.8475173E-04   2.2324288E+00  -3.0459911E-01   2.2531133E+00
   5.8767736E-01  -4.7235093E-03   2.2527380E+00  -3.1361738E-01   2.2744684E+00
   5.9554422E-01  -7.7031431E-04   2.2679982E+00  -3.2637566E-01   2.2913616E+00
   6.0375941E-01  -2.3356820E-02   2.2913618E+00  -3.3741513E-01   2.3161895E+00
   6.1240482E-01  -1.7610469E-04   2.2739506E+00  -3.5096386E-01   2.3008752E+00
