  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:15:46  02/12/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       5      505      1.034E-02      1.698E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0341961E-02  -8.9579390E-04   4.8099627E+00  -1.2293873E-01
   1.3201487E-02  -2.6235695E-04   4.8720174E+00  -1.3774571E-01
   1.6511748E-02   9.4394723E-04   4.9402552E+00  -1.3251930E-01
   2.0343786E-02   1.2730801E-03   5.0023608E+00  -1.5384766E-01
   2.3228459E-02   1.2491931E-03   5.0506420E+00  -1.5771472E-01
   2.6564119E-02  -3.3398815E-03   5.1178927E+00  -1.2419251E-01
   3.0062184E-02   5.4173660E-04   5.1509113E+00  -1.8897317E-01
   3.4111630E-02  -4.4432838E-04   5.2155924E+00  -1.7454012E-01
   3.7043143E-02   9.7015611E-04   5.2470279E+00  -1.8348190E-01
   4.0895410E-02   1.6720500E-03   5.3262677E+00  -1.8901829E-01
   4.4466570E-02   2.8825365E-03   5.3601117E+00  -1.9038978E-01
   4.7154855E-02  -1.9141331E-03   5.4101348E+00  -1.9087921E-01
   5.0078388E-02  -1.2100700E-05   5.4412589E+00  -1.6326834E-01
   5.3528871E-02   5.9277466E-03   5.4994946E+00  -2.1970391E-01
   5.7243314E-02   3.4427624E-03   5.5599070E+00  -2.2116669E-01
   6.1397120E-02   4.1498444E-03   5.6192470E+00  -2.0409271E-01
   6.4464651E-02   3.0580710E-03   5.6547413E+00  -2.2025554E-01
   6.7988068E-02   5.0182068E-03   5.7358708E+00  -2.2603457E-01
   7.1527421E-02   1.0547220E-02   5.7782412E+00  -2.2704564E-01
   7.4191764E-02   1.6405401E-03   5.7996869E+00  -2.3019998E-01
   7.7129208E-02   1.0366404E-02   5.8380904E+00  -2.3429631E-01
   8.1688181E-02   2.4189011E-03   5.9063215E+00  -2.3574089E-01
   8.4447585E-02   3.9182580E-03   5.9571366E+00  -2.4202579E-01
   8.8277966E-02   6.4774876E-04   6.0133500E+00  -2.5239438E-01
   9.1161393E-02  -3.1032336E-03   6.0412879E+00  -2.4597161E-01
   9.4321430E-02   3.2963676E-03   6.1145539E+00  -2.6875365E-01
   9.8257437E-02   2.4396239E-03   6.1545653E+00  -2.7133539E-01
   1.0175671E-01   1.6847757E-03   6.1946802E+00  -2.7747938E-01
   1.0439089E-01   2.5329422E-03   6.2349153E+00  -2.8638524E-01
   1.0729507E-01   3.1838026E-03   6.2733235E+00  -2.8864065E-01
   1.1154760E-01   3.6016211E-03   6.3365622E+00  -2.9858026E-01
   1.1451405E-01   1.6001711E-03   6.3718534E+00  -3.0439121E-01
   1.1765295E-01   5.6890696E-03   6.4272547E+00  -3.1645194E-01
   1.2097540E-01   3.7280426E-03   6.4519053E+00  -3.1334057E-01
   1.2481696E-01   2.2485985E-03   6.5299335E+00  -3.1986994E-01
   1.2869790E-01   1.1945404E-03   6.6002522E+00  -3.3037966E-01
   1.3139102E-01   3.2200150E-03   6.6135077E+00  -3.3168426E-01
