  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   01:42:13  10/15/2023 htxs     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      1.690E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00   6.9311345E-03   4.1079125E+00  -2.1052222E-01   4.1133094E+00
   6.4300897E-04   9.5033658E-01  -5.6503754E+02   5.7382436E+00   5.6506744E+02
   1.7163528E-02   6.6681723E-03   4.0365415E+00  -6.0443018E-02   4.0369997E+00
   3.3547562E-02   5.7014045E-03   4.2350717E+00  -7.8862607E-02   4.2358093E+00
   5.0297495E-02   5.1211985E-03   4.4287581E+00  -1.0327202E-01   4.4299650E+00
   6.8268061E-02   2.2150900E-03   4.6261888E+00  -1.3396670E-01   4.6281285E+00
   8.4963389E-02   9.5354160E-03   4.7953935E+00  -1.6433190E-01   4.7982178E+00
   1.0171138E-01   7.2022793E-03   4.9560509E+00  -1.9308302E-01   4.9598160E+00
   1.1840944E-01   9.1635380E-03   5.1187892E+00  -2.2468813E-01   5.1237264E+00
   1.3475749E-01   1.1000075E-02   5.2852082E+00  -2.5146887E-01   5.2911987E+00
   1.5179367E-01   1.2249748E-02   5.4545064E+00  -2.7804342E-01   5.4616022E+00
   1.6943073E-01   1.7664813E-02   5.6294847E+00  -2.9934379E-01   5.6374655E+00
   1.8564987E-01   1.6798494E-02   5.8129711E+00  -3.1000865E-01   5.8212562E+00
   2.0276715E-01   1.7957481E-02   5.9369941E+00  -3.0419049E-01   5.9448090E+00
   2.2015600E-01   1.6000057E-02   6.0652838E+00  -3.1268731E-01   6.0733595E+00
   2.3657444E-01   1.2598689E-02   6.2117066E+00  -3.2391831E-01   6.2201595E+00
   2.5388700E-01   1.7874302E-02   6.2846732E+00  -3.5919872E-01   6.2949553E+00
   2.7059108E-01   2.2049438E-02   6.3644309E+00  -3.7890080E-01   6.3757377E+00
   2.8729624E-01   3.1205496E-02   6.3928943E+00  -4.7242075E-01   6.4104018E+00
   3.0409110E-01   9.5323339E-02   6.3602600E+00  -5.0624859E-01   6.3810878E+00
   3.2076150E-01   2.8054742E-02   6.2901325E+00  -5.3380531E-01   6.3128047E+00
   3.3765450E-01   1.5314704E-02   6.1616144E+00  -5.6782627E-01   6.1877422E+00
   3.5531026E-01   1.2211957E-02   6.0357914E+00  -6.0214925E-01   6.0657654E+00
   3.7204811E-01   1.3567335E-02   5.8308678E+00  -6.3861895E-01   5.8657513E+00
   3.8863856E-01   8.6494954E-03   5.5726523E+00  -6.7669934E-01   5.6135950E+00
   4.0536711E-01   9.4752563E-03   5.2697477E+00  -7.0298082E-01   5.3164382E+00
   4.2207131E-01  -8.5364077E-03   4.9087043E+00  -7.3724318E-01   4.9637666E+00
   4.3969432E-01  -2.1367645E-02   4.4324903E+00  -7.7536058E-01   4.4998455E+00
   4.5614848E-01   2.0496501E-03   4.0686898E+00  -8.1464750E-01   4.1494446E+00
   4.7302428E-01   4.6107024E-03   3.5512545E+00  -8.7528688E-01   3.6575341E+00
   4.9028954E-01  -6.8770512E-03   3.0919783E+00  -9.1903961E-01   3.2256799E+00
   5.0711602E-01  -9.0935305E-03   2.5185006E+00  -9.6712518E-01   2.6978250E+00
   5.2408063E-01  -1.9202182E-02   1.9580854E+00  -1.0121498E+00   2.2042944E+00
   5.4079604E-01   1.4483970E-02   1.3027712E+00  -1.0478542E+00   1.6719513E+00
   5.5776757E-01   1.9945869E-02   7.4256408E-01  -1.0870954E+00   1.3166533E+00
   5.7481283E-01   1.9343549E-02   1.9482860E-01  -1.1068794E+00   1.1240616E+00
   5.9124464E-01   5.7076968E-02  -4.2766887E-01  -1.1225986E+00   1.2026579E+00
   6.0817987E-01   1.1220206E-02  -9.9785167E-01  -1.1060622E+00   1.4897004E+00
   6.2508059E-01   3.1407762E-02  -1.5988685E+00  -1.0882969E+00   1.9343622E+00
   6.4212102E-01   1.7264031E-02  -2.0907936E+00  -1.0615063E+00   2.3448906E+00
   6.5912223E-01   2.8884765E-02  -2.5979030E+00  -1.0364779E+00   2.7971809E+00
   6.7574143E-01   9.8768082E-03  -3.0331979E+00  -9.9054098E-01   3.1908555E+00
   6.9324034E-01   1.2883394E-02  -3.5261438E+00  -9.3744457E-01   3.6486516E+00
   7.1028793E-01  -1.0074753E-02  -3.8981528E+00  -8.8020802E-01   3.9963062E+00
   7.2656775E-01  -2.9400079E-02  -4.2107162E+00  -8.3379966E-01   4.2925768E+00
   7.4358702E-01  -3.1613838E-03  -4.5323005E+00  -7.8352463E-01   4.5995288E+00
   7.6024139E-01  -2.3649780E-02  -4.8328853E+00  -7.4495447E-01   4.8900199E+00
   7.7728587E-01  -7.9729911E-03  -5.0565166E+00  -6.8420053E-01   5.1026025E+00
   7.9393047E-01  -1.3091150E-02  -5.2508779E+00  -6.4491659E-01   5.2903504E+00
   8.1143683E-01  -5.4130410E-03  -5.4267912E+00  -5.8176082E-01   5.4578876E+00
   8.2819396E-01  -2.1793386E-02  -5.5698957E+00  -5.3432250E-01   5.5955086E+00
   8.4531981E-01   2.2214411E-02  -5.7098923E+00  -4.9201149E-01   5.7310939E+00
   8.6194003E-01  -1.8642629E-02  -5.7896829E+00  -4.4755948E-01   5.8069859E+00
   8.7869138E-01  -5.3985645E-03  -5.8723507E+00  -4.3135399E-01   5.8881745E+00
   8.9575344E-01   8.8690976E-03  -5.8814893E+00  -3.6568001E-01   5.8928528E+00
   9.1275972E-01   2.6604631E-03  -5.9360476E+00  -3.4251404E-01   5.9459214E+00
   9.2926323E-01   3.3986941E-03  -5.8844976E+00  -3.0337518E-01   5.8923140E+00
   9.4638622E-01   7.7599004E-02  -5.9018326E+00  -2.9304862E-01   5.9096131E+00
   9.6293944E-01   6.1644502E-02  -5.9003677E+00  -2.6049349E-01   5.9064369E+00
   9.8005611E-01   4.2965371E-02  -5.8839850E+00  -2.3842201E-01   5.8889704E+00
   9.9739778E-01   3.6308080E-02  -5.7724400E+00  -2.0575945E-01   5.7762203E+00
   1.0140004E+00   6.2064052E-02  -5.7354674E+00  -1.8132472E-01   5.7386689E+00
   1.0307639E+00   6.4433500E-02  -5.5755162E+00  -1.5287896E-01   5.5779839E+00
   1.0477462E+00   3.2263760E-02  -5.4520569E+00  -1.2878729E-01   5.4536734E+00
   1.0649942E+00   6.3413016E-02  -5.2933288E+00  -1.1025538E-01   5.2948565E+00
   1.0818801E+00   5.9679948E-02  -5.0669460E+00  -8.6181894E-02   5.0680304E+00
   1.0984925E+00   8.1137247E-02  -4.9406128E+00  -7.4441649E-02   4.9418397E+00
   1.1155757E+00   4.5470033E-02  -4.7310715E+00  -5.5978939E-02   4.7316208E+00
   1.1324850E+00   5.6076709E-02  -4.4637575E+00  -4.1909903E-02   4.4643068E+00
   1.1492604E+00   4.5648053E-02  -4.2532983E+00  -2.4339190E-02   4.2536130E+00
   1.1659316E+00   5.3727146E-02  -4.0301232E+00  -9.8157022E-03   4.0304933E+00
   1.1831836E+00   3.8611837E-02  -3.7829986E+00  -1.9866919E-02   3.7832477E+00
   1.1997089E+00   4.5349382E-02  -3.5098922E+00   1.0680732E-02   3.5102015E+00
   1.2168429E+00   3.7317041E-02  -3.2913816E+00   1.8151887E-02   3.2916431E+00
   1.2339261E+00   3.0135531E-02  -3.0211103E+00   2.5220713E-02   3.0213659E+00
   1.2503253E+00   2.8685883E-02  -2.7912784E+00   3.1108826E-02   2.7915993E+00
   1.2672004E+00   2.0980161E-02  -2.4851191E+00   3.8787313E-02   2.4855103E+00
   1.2842069E+00   1.8185627E-02  -2.2004836E+00   4.4943903E-02   2.2010176E+00
   1.3016289E+00   1.6383052E-02  -1.9095050E+00   5.0253537E-02   1.9102365E+00
   1.3178580E+00   1.0791490E-02  -1.6693574E+00   5.4324280E-02   1.6702759E+00
   1.3353457E+00   1.8151160E-03  -1.3643397E+00   5.8610901E-02   1.3655993E+00
   1.3517174E+00  -8.5151000E-03  -1.0616268E+00   5.8965955E-02   1.0632972E+00
   1.3685627E+00  -1.6713524E-02  -7.7035433E-01   5.9997477E-02   7.7286792E-01
   1.3858671E+00  -2.6904400E-02  -4.8002529E-01   5.8391925E-02   4.8431164E-01
   1.4029248E+00  -3.6878321E-02  -1.6174826E-01   5.8605727E-02   1.7594641E-01
   1.4197769E+00  -3.9420936E-02   1.3420071E-01   5.6443572E-02   1.5083009E-01
   1.4368957E+00  -5.7658698E-02   4.8280865E-01   5.3447995E-02   4.8916808E-01
   1.4533288E+00  -4.1551340E-02   8.0991137E-01   5.0335165E-02   8.1253713E-01
   1.4700798E+00  -4.1791458E-02   1.1209483E+00   4.6773776E-02   1.1227019E+00
   1.4870698E+00  -3.8722411E-02   1.4488528E+00   4.1769661E-02   1.4499718E+00
   1.5038166E+00  -2.4725977E-02   1.7745265E+00   3.7662126E-02   1.7750983E+00
   1.5212308E+00  -4.0644243E-02   2.1290519E+00   2.6682947E-02   2.1296070E+00
   1.5376338E+00  -3.4454338E-02   2.4958801E+00   1.4976791E-02   2.4961629E+00
   1.5548804E+00  -3.4813832E-02   2.8314357E+00   9.1667250E-03   2.8316646E+00
   1.5717961E+00  -2.2837399E-02   3.1441782E+00  -1.0865158E-02   3.1442800E+00
   1.5884421E+00  -1.0149938E-02   3.4787199E+00  -1.2210435E-02   3.4787562E+00
   1.6053540E+00  -1.3147932E-02   3.8195848E+00  -2.1462169E-02   3.8196678E+00
   1.6225134E+00   5.9400401E-03   4.1899228E+00  -5.0300349E-02   4.1902289E+00
   1.6394564E+00   5.8298302E-03   4.4702315E+00  -4.6479203E-02   4.4704771E+00
   1.6562204E+00   2.7071083E-02   4.8050046E+00  -5.1041216E-02   4.8053517E+00
   1.6732552E+00   3.1602029E-02   5.1369081E+00  -3.8495410E-02   5.1371493E+00
   1.6901418E+00   2.5318477E-02   5.4513693E+00  -3.3434164E-02   5.4515305E+00
   1.7068945E+00   3.8187116E-02   5.7459245E+00  -1.6884692E-02   5.7460761E+00
   1.7239416E+00   3.6158316E-02   6.0266452E+00  -4.9639503E-03   6.0267553E+00
   1.7405159E+00   1.0441171E-02   6.3398428E+00  -1.1443581E-02   6.3398619E+00
   1.7577519E+00   1.8075516E-02   6.6545305E+00  -2.9633243E-03   6.6545558E+00
   1.7745515E+00   3.6845297E-02   6.9780207E+00  -6.9831274E-03   6.9781213E+00
   1.7913016E+00   4.0069789E-02   7.2896748E+00  -2.8082564E-02   7.2898393E+00
   1.8083528E+00   3.1913374E-02   7.5695219E+00  -4.4730887E-02   7.5697217E+00
   1.8250353E+00   4.7900334E-02   7.8456602E+00  -6.5095179E-02   7.8460765E+00
   1.8420286E+00   4.7607239E-02   8.1014824E+00  -8.6959735E-02   8.1020889E+00
   1.8590064E+00   5.8037743E-02   8.3579216E+00  -1.1519931E-01   8.3589172E+00
   1.8759787E+00   4.6983950E-02   8.6193314E+00  -1.2895721E-01   8.6204243E+00
   1.8926488E+00   5.7827473E-02   8.8187914E+00  -1.4644966E-01   8.8201971E+00
   1.9096423E+00   4.8775923E-02   9.0311394E+00  -1.7672965E-01   9.0330000E+00
   1.9266557E+00   4.8850238E-02   9.2054558E+00  -1.9243515E-01   9.2075968E+00
   1.9434043E+00   4.7959913E-02   9.3254671E+00  -2.1032488E-01   9.3279619E+00
   1.9604390E+00   5.9632231E-02   9.4212942E+00  -2.2563441E-01   9.4241848E+00
   1.9772742E+00   5.0551012E-02   9.4970713E+00  -2.5006241E-01   9.5004969E+00
   1.9941624E+00   3.9123002E-02   9.5212688E+00  -2.7726009E-01   9.5253849E+00
   2.0111086E+00   3.7336867E-02   9.5042381E+00  -3.1704491E-01   9.5095978E+00
   2.0281177E+00   4.0774100E-02   9.4490538E+00  -3.6055329E-01   9.4560184E+00
   2.0449240E+00   3.6225442E-02   9.3386793E+00  -4.0911537E-01   9.3477068E+00
   2.0618079E+00   2.9901721E-02   9.1790342E+00  -4.5070493E-01   9.1901417E+00
   2.0787723E+00   3.6680531E-02   8.9822016E+00  -5.1195258E-01   8.9968538E+00
   2.0955601E+00   2.9261887E-02   8.6970720E+00  -5.6409216E-01   8.7153950E+00
   2.1124406E+00   4.0286675E-02   8.4081011E+00  -6.2565809E-01   8.4314432E+00
   2.1294165E+00   5.3165812E-02   8.1321211E+00  -6.7129719E-01   8.1599550E+00
   2.1462367E+00   4.4803493E-02   7.7195539E+00  -7.3970789E-01   7.7550430E+00
   2.1631622E+00   3.9467201E-02   7.2962894E+00  -7.9317641E-01   7.3393817E+00
   2.1801951E+00   3.3016074E-02   6.8197756E+00  -8.4080058E-01   6.8714900E+00
   2.1970901E+00   2.0311289E-02   6.3265591E+00  -8.8154387E-01   6.3877134E+00
   2.2138553E+00   3.8883896E-03   5.8338728E+00  -9.1267699E-01   5.9048343E+00
   2.2307417E+00  -3.9244607E-02   5.2365441E+00  -9.2461848E-01   5.3176928E+00
   2.2477508E+00  -1.6285134E-03   4.6333976E+00  -9.3979591E-01   4.7277470E+00
   2.2646439E+00  -6.1232720E-02   3.9989066E+00  -9.4055659E-01   4.1084852E+00
   2.2814274E+00  -1.0251093E-01   3.3656726E+00  -9.1677248E-01   3.4898040E+00
