  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   16:31:12  02/12/2024 cero     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   6.5190863E-04   4.9708872E+00  -1.6826200E-01
   5.9783657E-04   5.7431471E-02  -6.4767487E+02   6.9626508E+00
   3.2673862E-03   2.0623705E-03   4.6042061E+00   6.4944066E-02
   6.9190143E-03   8.6962571E-03   4.7577033E+00   4.8215602E-02
   1.0019867E-02   4.6267956E-03   4.8381052E+00   4.8377447E-02
   1.3788973E-02   7.5412467E-03   4.9089351E+00   3.4478068E-02
   1.6645558E-02   2.8068249E-03   4.9626389E+00   3.7455056E-02
   1.9952413E-02   5.6519723E-03   5.0158577E+00   1.4647681E-02
   2.3591267E-02   9.4090430E-03   5.0682349E+00   7.6617305E-03
   2.6330516E-02   7.8147566E-03   5.1118984E+00   7.4494551E-03
   3.0974718E-02   7.0910230E-03   5.1759343E+00  -6.0397838E-03
   3.3819895E-02   7.3104496E-03   5.2114816E+00  -9.5459661E-03
   3.6810648E-02   6.9312318E-03   5.2559838E+00  -1.2041962E-02
   4.0095083E-02   7.4968473E-03   5.3052502E+00  -1.9302495E-02
   4.4403180E-02   3.3105286E-03   5.3662906E+00  -2.6537208E-02
   4.7325209E-02   7.0676147E-03   5.4012265E+00  -2.5261730E-02
   5.0045725E-02   5.3177513E-03   5.4618344E+00  -2.6263438E-02
   5.4658175E-02   7.8206519E-03   5.5170426E+00  -3.4018937E-02
   5.7778291E-02   9.2691472E-03   5.5712910E+00  -3.4816626E-02
   6.1193790E-02   3.2536222E-03   5.6074677E+00  -5.1030159E-02
   6.3607335E-02   3.1252312E-03   5.6617837E+00  -3.1893052E-02
   6.7699328E-02   7.3812851E-03   5.7582841E+00  -5.3478219E-02
   7.0673868E-02   7.3076291E-03   5.7226386E+00  -5.2619226E-02
   7.3842190E-02   1.2360713E-03   5.8408980E+00  -5.4037709E-02
   7.7231757E-02   6.0758437E-03   5.8409677E+00  -5.7219319E-02
   8.0667131E-02   4.5339535E-03   5.8644962E+00  -6.6823408E-02
   8.4139258E-02   5.5500590E-03   5.9723787E+00  -7.6658875E-02
   8.7294713E-02   4.6702637E-03   5.9717317E+00  -7.6123074E-02
   9.1204092E-02   4.7524464E-03   6.0444798E+00  -8.9247435E-02
   9.5218338E-02   8.9526046E-03   6.1394868E+00  -9.8003119E-02
   9.7839050E-02   1.0924776E-02   6.1502452E+00  -9.9690557E-02
   1.0068225E-01   8.1479866E-03   6.1627078E+00  -1.0157861E-01
   1.0537829E-01   8.9994110E-03   6.2452722E+00  -1.0760487E-01
   1.0765216E-01   9.3250722E-03   6.3043237E+00  -1.1627973E-01
   1.1131958E-01   9.8456191E-03   6.3415332E+00  -1.2664513E-01
   1.1408032E-01   8.7455986E-03   6.3693457E+00  -1.3153194E-01
   1.1855239E-01   3.7098695E-03   6.4607859E+00  -1.3996655E-01
