  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   14:12:17  10/17/2023 ogpj     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1      951      0.000E+00      1.604E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00   2.8393185E-03   4.1057873E+00  -2.6331916E-01   4.1142230E+00
   2.3466912E-03   2.3331423E-01  -1.5201390E+02   1.4169414E+00   1.5202068E+02
   1.6781343E-02   1.9126361E-03   4.0113902E+00  -1.1120119E-01   4.0129318E+00
   3.4016106E-02   3.7891825E-03   4.2402091E+00  -1.4228724E-01   4.2425976E+00
   5.0257441E-02   3.6262407E-03   4.4245076E+00  -1.6561984E-01   4.4276075E+00
   6.8371683E-02   3.3997205E-07   4.6109638E+00  -1.8856397E-01   4.6148176E+00
   8.4957466E-02   1.2308042E-02   4.7976403E+00  -2.1953376E-01   4.8026762E+00
   1.0076653E-01   5.6064120E-03   4.9251766E+00  -2.4902098E-01   4.9314713E+00
   1.1836134E-01   6.1586960E-03   5.1164470E+00  -2.7671403E-01   5.1239281E+00
   1.3478385E-01   4.9061845E-03   5.2933912E+00  -3.0961996E-01   5.3024406E+00
   1.5177618E-01   1.3681398E-03   5.4660211E+00  -3.3382490E-01   5.4762058E+00
   1.6936192E-01   1.9640967E-03   5.6479492E+00  -3.5664046E-01   5.6591988E+00
   1.8595541E-01   4.8900885E-03   5.7970490E+00  -3.6919963E-01   5.8087959E+00
   2.0287767E-01   4.0121778E-04   5.9451003E+00  -3.7526879E-01   5.9569325E+00
   2.1949758E-01  -3.1003482E-03   6.0698452E+00  -3.7554216E-01   6.0814524E+00
   2.3634027E-01   7.8784646E-03   6.1942096E+00  -3.5255179E-01   6.2042398E+00
   2.5326124E-01  -1.3016451E-03   6.2963018E+00  -4.0693042E-01   6.3094382E+00
   2.7065146E-01   2.0231355E-03   6.3397498E+00  -4.8240694E-01   6.3580775E+00
   2.8708866E-01   1.5073223E-02   6.4199996E+00  -4.9862584E-01   6.4393516E+00
   3.0413193E-01  -1.7612602E-01   6.2100773E+00  -5.1145524E-01   6.2335916E+00
   3.2121643E-01  -1.6499599E-02   6.3099966E+00  -5.9934872E-01   6.3384185E+00
   3.3831885E-01  -1.3261531E-02   6.2114711E+00  -6.1424601E-01   6.2417827E+00
   3.5476294E-01  -2.0666549E-02   5.9824047E+00  -6.6836667E-01   6.0196600E+00
   3.7185714E-01  -5.6818377E-02   6.2477002E+00  -6.9439936E-01   6.2864280E+00
   3.8863045E-01  -2.1424253E-02   5.4487720E+00  -7.3426920E-01   5.4980655E+00
   4.0557507E-01  -9.3713263E-03   5.1943407E+00  -7.5338411E-01   5.2487001E+00
   4.2216748E-01  -2.5368696E-02   4.8301325E+00  -7.9560602E-01   4.8952847E+00
   4.3923229E-01  -3.2764707E-02   4.4724960E+00  -8.1932783E-01   4.5470419E+00
   4.5625401E-01  -5.3658064E-02   4.0117693E+00  -8.6152369E-01   4.1035833E+00
   4.7328451E-01  -2.1435173E-02   3.4556124E+00  -9.1986650E-01   3.5760133E+00
   4.9022180E-01   1.4254416E-02   2.9787416E+00  -9.7160411E-01   3.1332281E+00
   5.0692320E-01  -2.4511894E-02   2.4312127E+00  -1.0153297E+00   2.6348226E+00
   5.2407724E-01  -2.9733732E-02   1.8347458E+00  -1.0694978E+00   2.1239119E+00
   5.4062569E-01  -9.6869441E-03   1.2837950E+00  -1.1052940E+00   1.6940774E+00
   5.5817872E-01  -3.4184158E-02   6.4612764E-01  -1.1385037E+00   1.3095191E+00
   5.7497573E-01  -5.0776586E-02   1.2755650E-01  -1.1624854E+00   1.1705644E+00
   5.9183216E-01  -2.0520249E-02  -4.5617023E-01  -1.1827397E+00   1.2678272E+00
   6.0820520E-01  -1.6942063E-02  -1.0370179E+00  -1.1789742E+00   1.5702462E+00
   6.2562430E-01  -1.6330965E-02  -1.5696187E+00  -1.1568464E+00   1.9499393E+00
   6.4231527E-01  -3.9776012E-02  -2.1659455E+00  -1.1302425E+00   2.4434299E+00
   6.5927368E-01  -9.2096208E-03  -2.6002657E+00  -1.0996646E+00   2.8232481E+00
   6.7576319E-01  -1.6844776E-02  -3.0412004E+00  -1.0603087E+00   3.2207823E+00
   6.9335687E-01  -6.2175733E-03  -3.4728110E+00  -1.0004483E+00   3.6140492E+00
   7.1023476E-01  -1.5314682E-03  -3.8849154E+00  -9.4775635E-01   3.9988513E+00
   7.2651064E-01  -3.2160876E-03  -4.2320971E+00  -8.9560026E-01   4.3258243E+00
   7.4355674E-01  -9.5322803E-03  -4.5415702E+00  -8.4958124E-01   4.6203613E+00
   7.6039344E-01  -3.5642270E-02  -4.8121147E+00  -7.9156446E-01   4.8769140E+00
   7.7778548E-01  -1.7894465E-02  -5.0323801E+00  -7.3888344E-01   5.0863657E+00
   7.9438502E-01  -1.3742081E-02  -5.2620640E+00  -6.9730014E-01   5.3080821E+00
   8.1133801E-01  -1.4010175E-02  -5.4376121E+00  -6.3624454E-01   5.4747262E+00
   8.2835096E-01  -4.0879551E-02  -5.5694404E+00  -5.8648121E-01   5.6003838E+00
   8.4477335E-01  -1.2820477E-02  -5.7251525E+00  -5.4643637E-01   5.7511849E+00
   8.6229199E-01  -3.6057890E-03  -5.8160591E+00  -4.9936804E-01   5.8374591E+00
   8.7874979E-01   1.8708680E-03  -5.9085178E+00  -4.6122873E-01   5.9264932E+00
   8.9562416E-01  -5.6972005E-03  -5.9180984E+00  -4.2362282E-01   5.9332433E+00
   9.1262847E-01  -4.7266004E-03  -6.0221634E+00  -3.8704637E-01   6.0345902E+00
   9.2930931E-01   1.0737303E-02  -5.9935851E+00  -3.6475238E-01   6.0046830E+00
