  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:27:43  02/12/2024 xsog     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   1.6710226E-03   4.9707422E+00  -2.7251646E-01
   1.9555716E-03  -6.5179937E-02  -1.9486572E+02   2.0716872E+00
   3.1988656E-03   1.8295407E-02   4.5507951E+00  -3.6773607E-02
   6.6802436E-03  -2.1343150E-03   4.7225938E+00  -3.6825452E-02
   1.0024486E-02  -7.1924517E-04   4.8026519E+00  -6.2381431E-02
   1.3597024E-02  -8.9854002E-04   4.8801389E+00  -7.3854774E-02
   1.6286349E-02   2.2393467E-03   4.9350905E+00  -9.4406046E-02
   2.0845912E-02   1.7835550E-03   5.0132565E+00  -8.9791387E-02
   2.4268428E-02   2.4958258E-03   5.0669284E+00  -1.0113622E-01
   2.6831727E-02   2.6089752E-03   5.1080141E+00  -1.0862455E-01
   3.0749457E-02   9.2826108E-04   5.1617990E+00  -1.1151018E-01
   3.3698637E-02   3.5397373E-03   5.2101393E+00  -1.1624917E-01
   3.6950108E-02   1.4496744E-03   5.2552862E+00  -1.2147714E-01
   4.0186431E-02   1.3320216E-03   5.3016977E+00  -1.2269831E-01
   4.4285860E-02   1.4806134E-03   5.3638825E+00  -1.3653222E-01
   4.7033750E-02   3.5363829E-03   5.4133658E+00  -1.3679047E-01
   5.0046060E-02   4.2440458E-03   5.4509482E+00  -1.2718895E-01
   5.4829203E-02   4.0485533E-03   5.5120597E+00  -1.4643846E-01
   5.7386220E-02  -7.5693370E-04   5.5480542E+00  -1.4190060E-01
   6.0205333E-02   3.4693307E-03   5.6446757E+00  -1.5838215E-01
   6.4984940E-02   5.5963648E-03   5.6528726E+00  -1.4657168E-01
   6.8093508E-02   3.7389074E-03   5.6991529E+00  -1.6105370E-01
   7.1111359E-02   4.6486133E-03   5.8011179E+00  -1.4904688E-01
   7.3720716E-02   7.7505889E-03   5.7949657E+00  -1.7312144E-01
   7.8082561E-02   6.3343821E-03   5.8396764E+00  -1.7484334E-01
   8.1678182E-02   3.0047472E-03   5.9302902E+00  -1.8323058E-01
   8.4384881E-02   7.2807292E-03   5.9608507E+00  -1.8732868E-01
   8.7807491E-02   2.2776071E-03   6.0115676E+00  -1.9515668E-01
   9.0850338E-02   1.0324176E-03   6.0422902E+00  -1.8568569E-01
   9.4372816E-02   8.4978808E-03   6.0868545E+00  -2.0462529E-01
   9.8450527E-02   5.4267314E-03   6.1770740E+00  -2.1432441E-01
   1.0152014E-01   5.5949236E-03   6.1780515E+00  -2.1244460E-01
   1.0474354E-01   2.2939735E-03   6.2119436E+00  -2.2199513E-01
   1.0854606E-01   4.2751203E-03   6.3102055E+00  -2.2861731E-01
   1.1128017E-01   6.9640451E-03   6.3161144E+00  -2.3551758E-01
   1.1429454E-01   5.1731798E-03   6.4007692E+00  -2.4423672E-01
   1.1756163E-01   7.1053337E-03   6.4166608E+00  -2.4553420E-01
