  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   18:26:35  11/08/2023 rjju     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1      841      0.000E+00      1.417E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -1.4266421E-03   4.1086755E+00  -2.2113369E-01   4.1146226E+00
   2.3390730E-03   2.2753093E-01  -1.5246475E+02   1.4671928E+00   1.5247197E+02
   1.7164357E-02   5.9696943E-03   4.0295272E+00  -6.4603865E-02   4.0300493E+00
   3.3980787E-02   6.7233322E-03   4.2397428E+00  -9.4972983E-02   4.2408118E+00
   5.1588379E-02   6.0335812E-03   4.4427876E+00  -1.1797068E-01   4.4443579E+00
   6.7207664E-02   1.0268408E-02   4.6152372E+00  -1.4395866E-01   4.6174936E+00
   8.4267214E-02   6.6266907E-03   4.7927256E+00  -1.7598234E-01   4.7959599E+00
   1.0128362E-01   4.5045093E-03   4.9607778E+00  -2.0194730E-01   4.9648886E+00
   1.1840284E-01   1.2970666E-02   5.1282496E+00  -2.3423928E-01   5.1336126E+00
   1.3534500E-01  -1.8507204E-03   5.3272843E+00  -2.6940957E-01   5.3340926E+00
   1.5226467E-01   5.5043520E-03   5.4671283E+00  -2.9403481E-01   5.4750323E+00
   1.6883111E-01   1.1016553E-02   5.6253476E+00  -3.1068620E-01   5.6339312E+00
   1.8603148E-01   2.3499811E-02   5.7633848E+00  -3.2204217E-01   5.7724228E+00
   2.0270212E-01   1.6443720E-02   5.9270663E+00  -3.2772326E-01   5.9361424E+00
   2.2003546E-01   2.3393473E-02   6.0605240E+00  -3.2928491E-01   6.0695081E+00
   2.3617266E-01   2.6748549E-02   6.1706600E+00  -3.4593809E-01   6.1804075E+00
   2.5314745E-01   1.9690990E-02   6.2783890E+00  -3.4934837E-01   6.2881317E+00
   2.7035204E-01   2.9243566E-02   6.3339376E+00  -3.9230320E-01   6.3461428E+00
   2.8746176E-01   3.9114520E-02   6.3340130E+00  -4.5478699E-01   6.3504391E+00
   3.0460250E-01  -2.0008457E-04   6.3578444E+00  -4.9385875E-01   6.3769960E+00
   3.2147437E-01   9.3303146E-03   6.2792821E+00  -5.5119902E-01   6.3034348E+00
   3.3807868E-01   3.6344852E-02   6.1541953E+00  -5.7997584E-01   6.1815701E+00
