  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:24:45  02/13/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   2.8593503E-03   4.9732971E+00  -2.5624952E-01
   8.7440602E-04  -1.4406380E-01  -4.4182037E+02   5.0101781E+00
   3.2439372E-03  -1.8002311E-03   4.6959815E+00   3.8030680E-02
   6.3617867E-03   4.5339251E-04   4.7135444E+00  -2.4814455E-02
   1.0050574E-02   1.7762337E-03   4.8248596E+00  -4.9905326E-02
   1.3330063E-02  -6.8398524E-04   4.8961468E+00  -5.3035084E-02
   1.6786100E-02   3.4192619E-03   4.9588685E+00  -5.5664569E-02
   1.9984370E-02   5.2362932E-03   5.0174408E+00  -7.5399533E-02
   2.3686768E-02   6.1711376E-03   5.0698695E+00  -8.3592966E-02
   2.6422454E-02   5.2896254E-03   5.1138334E+00  -8.1007600E-02
   3.0633843E-02   4.9367049E-03   5.1687732E+00  -9.3616173E-02
   3.3298377E-02   5.9212162E-03   5.2137685E+00  -9.7284719E-02
   3.7693541E-02   5.7595163E-03   5.2748489E+00  -1.0571906E-01
   4.0729068E-02   6.9133127E-03   5.3186893E+00  -1.1387316E-01
   4.4353079E-02   1.0144518E-02   5.3802834E+00  -1.1786196E-01
   4.7880117E-02   4.0303771E-03   5.4167132E+00  -1.1029824E-01
   5.0535195E-02   7.3290248E-03   5.4700508E+00  -1.0604037E-01
   5.3462420E-02   5.0076670E-03   5.4994011E+00  -1.2106400E-01
   5.7627216E-02   6.3941046E-03   5.5644441E+00  -1.2619522E-01
   6.1246831E-02   1.1325647E-02   5.6108255E+00  -1.3013475E-01
   6.3953124E-02   1.3219016E-02   5.6539779E+00  -1.3440716E-01
   6.6936813E-02   5.8320779E-03   5.7590847E+00  -1.4367351E-01
   7.0226334E-02   1.1825132E-02   5.7032547E+00  -1.4601485E-01
   7.4210018E-02   4.1423887E-03   5.8003058E+00  -1.4137065E-01
   7.7208847E-02   1.1562263E-02   5.9214888E+00  -1.5864280E-01
   8.1086867E-02   1.3330718E-02   5.8632679E+00  -1.6017017E-01
   8.3943047E-02   1.2984212E-02   5.9043188E+00  -1.5860288E-01
   8.8281125E-02   7.3235552E-03   6.0232816E+00  -1.7258234E-01
   9.1458686E-02   1.4738199E-02   6.0696521E+00  -1.8326208E-01
   9.4578505E-02   1.0237595E-02   6.1000180E+00  -1.9286731E-01
   9.7697087E-02   9.3207210E-03   6.1334858E+00  -1.9097954E-01
   1.0094711E-01   6.5067499E-03   6.2240653E+00  -2.0347515E-01
   1.0395323E-01   1.1781326E-02   6.2308598E+00  -2.0244993E-01
   1.0839536E-01   4.4425073E-04   6.2840400E+00  -2.0983814E-01
   1.1176143E-01   9.9759353E-03   6.4025445E+00  -2.3116967E-01
   1.1537619E-01   1.4072651E-02   6.3816280E+00  -2.2718804E-01
   1.1801023E-01   1.1087815E-02   6.4108000E+00  -2.2539301E-01
