  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   12:11:24  12/15/2023 xhtx     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p       
       1     1002      0.000E+00      1.680E+01
   time              p_1             p_2
   0.0000000E+00   4.2076597E+03   4.1578936E+03
   4.0253168E-03   3.8071365E+03   4.1080850E+03
   1.8129565E-02   4.2749941E+03   4.2231021E+03
   3.5527512E-02   4.3046953E+03   4.2519585E+03
   5.1248584E-02   4.3307246E+03   4.2775112E+03
   6.8236269E-02   4.3586191E+03   4.3048379E+03
   8.2834996E-02   4.3873789E+03   4.3326812E+03
   9.9469773E-02   4.4140332E+03   4.3577168E+03
   1.1937191E-01   4.4548638E+03   4.3968193E+03
   1.3289206E-01   4.4802173E+03   4.4210317E+03
   1.5124884E-01   4.5037886E+03   4.4431763E+03
   1.6817500E-01   4.5596826E+03   4.4962856E+03
   1.8506256E-01   4.5692554E+03   4.5046260E+03
   2.0133360E-01   4.5898398E+03   4.5240049E+03
   2.1782747E-01   4.6202974E+03   4.5529092E+03
   2.3518145E-01   4.6389683E+03   4.5697773E+03
   2.5125197E-01   4.6616289E+03   4.5911372E+03
   2.6832345E-01   4.6831284E+03   4.6110581E+03
   2.8583050E-01   4.7025088E+03   4.6290308E+03
   3.0218482E-01   4.7192412E+03   4.6453218E+03
   3.1916931E-01   4.7305020E+03   4.6557905E+03
   3.3661395E-01   4.7422910E+03   4.6676245E+03
   3.5335484E-01   4.7502974E+03   4.6758896E+03
   3.6932296E-01   4.7565972E+03   4.6827017E+03
   3.8570383E-01   4.7608320E+03   4.6879673E+03
   4.0278912E-01   4.7599932E+03   4.6887847E+03
   4.1995144E-01   4.7607163E+03   4.6914272E+03
   4.3704772E-01   4.7547285E+03   4.6878428E+03
   4.5312363E-01   4.7487397E+03   4.6846831E+03
   4.7040802E-01   4.7407134E+03   4.6795757E+03
   4.8718348E-01   4.7280317E+03   4.6707915E+03
   5.0391203E-01   4.7158340E+03   4.6622773E+03
   5.2083248E-01   4.6988540E+03   4.6492441E+03
   5.3739840E-01   4.6827349E+03   4.6376709E+03
   5.5515516E-01   4.6637070E+03   4.6228232E+03
   5.7056028E-01   4.6364771E+03   4.6011577E+03
   5.8753073E-01   4.6160029E+03   4.5846489E+03
   6.0563570E-01   4.5882183E+03   4.5619307E+03
   6.2165082E-01   4.5607480E+03   4.5390122E+03
   6.3914847E-01   4.5345005E+03   4.5165708E+03
   6.5519428E-01   4.5073823E+03   4.4929253E+03
   6.7183703E-01   4.4768325E+03   4.4663799E+03
   6.8953186E-01   4.4386460E+03   4.4320981E+03
   7.0537823E-01   4.4164526E+03   4.4121978E+03
   7.2231191E-01   4.3856577E+03   4.3838657E+03
   7.3964870E-01   4.3450708E+03   4.3455845E+03
   7.5599790E-01   4.3188169E+03   4.3207124E+03
   7.7199358E-01   4.2818818E+03   4.2853862E+03
   7.8999698E-01   4.2489951E+03   4.2533599E+03
   8.0644655E-01   4.2213433E+03   4.2259658E+03
   8.2237685E-01   4.1866699E+03   4.1916074E+03
   8.4111500E-01   4.1571177E+03   4.1615171E+03
   8.5729563E-01   4.1262207E+03   4.1300830E+03
   8.7380815E-01   4.0976440E+03   4.1005796E+03
   8.9093095E-01   4.0709956E+03   4.0728691E+03
   9.0756333E-01   4.0390754E+03   4.0399807E+03
   9.2378229E-01   4.0212168E+03   4.0204250E+03
   9.4112098E-01   3.9988293E+03   3.9964304E+03
   9.5768493E-01   3.9743420E+03   3.9703186E+03
   9.7394073E-01   3.9588276E+03   3.9528708E+03
   9.9176258E-01   3.9360269E+03   3.9280168E+03
   1.0074914E+00   3.9208462E+03   3.9107102E+03
   1.0244520E+00   3.9088560E+03   3.8966797E+03
   1.0411558E+00   3.8947615E+03   3.8804695E+03
   1.0584662E+00   3.8831990E+03   3.8666460E+03
   1.0751138E+00   3.8736494E+03   3.8550066E+03
   1.0923424E+00   3.8631072E+03   3.8422087E+03
   1.1092286E+00   3.8596838E+03   3.8369116E+03
   1.1254351E+00   3.8532834E+03   3.8286492E+03
   1.1422623E+00   3.8467434E+03   3.8198367E+03
   1.1587955E+00   3.8471987E+03   3.8174941E+03
   1.1753752E+00   3.8514683E+03   3.8218069E+03
   1.1925385E+00   3.8514111E+03   3.8214033E+03
   1.2096320E+00   3.8492468E+03   3.8174819E+03
   1.2266740E+00   3.8609043E+03   3.8247058E+03
   1.2436764E+00   3.8557896E+03   3.8202300E+03
   1.2606484E+00   3.8522544E+03   3.8163401E+03
   1.2774136E+00   3.8591321E+03   3.8216626E+03
   1.2941945E+00   3.8690798E+03   3.8308567E+03
   1.3109753E+00   3.8738599E+03   3.8350874E+03
   1.3272506E+00   3.8840005E+03   3.8443555E+03
