  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   13:42:43  08/25/2023 jcer     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00  -2.6145222E-04  -1.5343215E+00   5.6302545E-16   1.5343215E+00
   6.7640292E-03  -1.2882936E-02   1.1076028E+02   7.2122542E-16   1.1076028E+02
   2.5093703E-02  -2.4630935E-03  -1.3006408E+00   5.6519523E-16   1.3006431E+00
   4.4290140E-02  -3.1567886E-03  -1.2273177E+00   5.5009893E-16   1.2273217E+00
   7.1559951E-02  -4.0406701E-03  -1.1727628E+00   5.4705903E-16   1.1727697E+00
   9.4967961E-02  -3.2332023E-03  -1.2717301E+00   5.4844674E-16   1.2717342E+00
   1.1258898E-01  -4.0203594E-03  -1.3699871E+00   5.5053764E-16   1.3699930E+00
   1.3916838E-01  -2.6326762E-03  -1.6483964E+00   5.5971413E-16   1.6483985E+00
   1.5715776E-01  -3.7166274E-03  -1.8807052E+00   5.6727353E-16   1.8807089E+00
   1.8181461E-01  -3.3002936E-03  -2.2796502E+00   5.7690239E-16   2.2796526E+00
   2.0300701E-01  -1.1174484E-03  -2.6011000E+00   5.7768007E-16   2.6011002E+00
   2.2753988E-01  -8.3757879E-04  -2.8841293E+00   5.7415514E-16   2.8841293E+00
   2.5381941E-01  -1.9738502E-03  -3.1149595E+00   5.6970457E-16   3.1149602E+00
   2.7177256E-01  -1.3940235E-03  -3.2214551E+00   5.6846922E-16   3.2214553E+00
   2.9408607E-01  -8.8594627E-04  -3.2689331E+00   5.6951398E-16   3.2689331E+00
   3.2120827E-01   3.7376547E-05  -3.2266972E+00   5.7309625E-16   3.2266972E+00
   3.4014100E-01   1.2913245E-03  -3.0989203E+00   5.7562549E-16   3.0989206E+00
   3.6629733E-01  -3.9124789E-04  -2.9191988E+00   5.7229532E-16   2.9191988E+00
   3.8651657E-01   6.2510039E-04  -2.7287297E+00   5.6314170E-16   2.7287300E+00
