  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   19:08:02  08/21/2023 pnht     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      8.160E+00
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00   4.8477147E-03  -1.0422391E+00   5.2284040E-16   1.0422504E+00
   3.2571161E-03   4.9162704E-02   1.4228836E+02   3.4604036E-16   1.4228836E+02
   9.5766746E-03   7.3193580E-02   9.3167629E+00   5.6244984E-16   9.3170500E+00
   1.6145151E-02   4.5155905E-02   2.3111620E+00   5.9384696E-16   2.3116031E+00
   2.3386898E-02   3.0969333E-02  -2.5525731E-01   5.8878234E-16   2.5712913E-01
   3.1370923E-02   2.9988406E-02  -1.4032052E+00   5.7514998E-16   1.4035256E+00
   4.0173311E-02   2.7627746E-02  -1.8961718E+00   5.5357674E-16   1.8963730E+00
   4.9877942E-02   2.8803332E-02  -2.2058625E+00   5.3175611E-16   2.2060506E+00
   5.5097140E-02   2.6667858E-02  -2.3331554E+00   5.2235511E-16   2.3333077E+00
   6.5949075E-02   3.0356362E-02  -2.6101332E+00   5.0677367E-16   2.6103098E+00
   7.1054488E-02   2.9352834E-02  -2.7749796E+00   5.0170487E-16   2.7751348E+00
   8.1046090E-02   3.2988328E-02  -3.0093031E+00   4.9191126E-16   3.0094838E+00
   9.1327287E-02   3.4626868E-02  -3.2536743E+00   4.8055033E-16   3.2538586E+00
   9.6263483E-02   2.8961109E-02  -3.3644166E+00   4.7630351E-16   3.3645413E+00
   1.0494325E-01   3.2601349E-02  -3.5455563E+00   4.7559254E-16   3.5457063E+00
   1.1366652E-01   4.7585480E-02  -3.6839197E+00   4.6451530E-16   3.6842270E+00
   1.2106080E-01   4.5044303E-02  -3.9224305E+00   4.6588829E-16   3.9226892E+00
   1.3113202E-01   2.8482452E-02  -3.9872513E+00   4.5905141E-16   3.9873531E+00
   1.3768737E-01   1.2001890E-02  -4.1391497E+00   4.5755073E-16   4.1391668E+00
   1.4740627E-01   5.9386156E-02  -4.2828093E+00   4.4469357E-16   4.2832212E+00
   1.5636331E-01   5.9459019E-02  -4.3257737E+00   4.5911007E-16   4.3261824E+00
   1.6209912E-01   1.2874895E-02  -4.3763294E+00   4.4577661E-16   4.3763485E+00
   1.7234515E-01   7.0575878E-02  -4.4341130E+00   4.3721848E-16   4.4346747E+00
   1.8080570E-01   1.2753741E-02  -4.5361300E+00   4.1981512E-16   4.5361481E+00
   1.8666339E-01   2.2033738E-02  -4.6292610E+00   4.1262133E-16   4.6293135E+00
   1.9515415E-01   7.3277682E-02  -4.7487402E+00   4.0263960E-16   4.7493052E+00
   2.0342126E-01   2.7163588E-02  -4.7962465E+00   3.9142152E-16   4.7963233E+00
   2.1221219E-01   2.4416158E-02  -4.8554487E+00   3.8665985E-16   4.8555102E+00
   2.2069113E-01   6.0006017E-03  -4.9064498E+00   3.7612644E-16   4.9064536E+00
