  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:08:25  02/06/2024 httg     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p, pfyob       
       3      996      5.409E-03      2.376E+00
   time              p_1             p_2             pfyob_1
   5.4087322E-03   4.2670264E+03   4.2044360E+03   7.5698795E+00
   6.8123429E-03   4.2706465E+03   4.2082715E+03   7.2892785E+00
   9.8336153E-03   4.2781436E+03   4.2144780E+03   7.2906299E+00
   1.1458470E-02   4.2819932E+03   4.2179224E+03   7.3277864E+00
   1.4622875E-02   4.2836646E+03   4.2198979E+03   7.3372898E+00
   1.6324708E-02   4.2942646E+03   4.2292910E+03   7.3772984E+00
   1.9639026E-02   4.2942363E+03   4.2297319E+03   7.3606405E+00
   2.1421483E-02   4.2975952E+03   4.2329673E+03   7.3782763E+00
   2.3293063E-02   4.3013726E+03   4.2365991E+03   7.4092236E+00
   2.5258221E-02   4.3049209E+03   4.2400552E+03   7.4279413E+00
   2.9488225E-02   4.3117905E+03   4.2468237E+03   7.4674792E+00
   3.1763140E-02   4.3155430E+03   4.2505239E+03   7.4943581E+00
   3.4151804E-02   4.3196216E+03   4.2544819E+03   7.5258651E+00
   3.6659900E-02   4.3248955E+03   4.2595928E+03   7.5708904E+00
   3.9293401E-02   4.3287124E+03   4.2633687E+03   7.6052399E+00
   4.2058576E-02   4.3321196E+03   4.2667798E+03   7.6424208E+00
   4.4962008E-02   4.3372998E+03   4.2718501E+03   7.6970549E+00
   4.8010614E-02   4.3429805E+03   4.2773623E+03   7.7507753E+00
   5.1211651E-02   4.3485522E+03   4.2828003E+03   7.8080106E+00
   5.4481518E-02   4.3566226E+03   4.2905361E+03   7.8864036E+00
   5.7436328E-02   4.3603496E+03   4.2943140E+03   7.9457636E+00
   6.0419474E-02   4.3646260E+03   4.2985088E+03   8.0091057E+00
   6.3455507E-02   4.3726777E+03   4.3061968E+03   8.1043482E+00
   6.6189006E-02   4.3756523E+03   4.3092368E+03   8.1632700E+00
   6.9059171E-02   4.3828765E+03   4.3161162E+03   8.2516747E+00
   7.1913153E-02   4.3858140E+03   4.3190713E+03   8.3179264E+00
   7.4570410E-02   4.3915674E+03   4.3246147E+03   8.3972664E+00
   7.7351369E-02   4.3969639E+03   4.3298271E+03   8.4710484E+00
   7.9910129E-02   4.4023862E+03   4.3350679E+03   8.5478487E+00
   8.2595699E-02   4.4042612E+03   4.3371606E+03   8.6117001E+00
   8.5415542E-02   4.4128354E+03   4.3449556E+03   8.7010393E+00
   8.8149548E-02   4.4177646E+03   4.3498657E+03   8.7839155E+00
   9.0981260E-02   4.4218291E+03   4.3538394E+03   8.8600416E+00
   9.3774959E-02   4.4265840E+03   4.3584209E+03   8.9607744E+00
   9.6397467E-02   4.4316514E+03   4.3633394E+03   9.0489969E+00
   9.9088944E-02   4.4370020E+03   4.3684238E+03   9.1510410E+00
   1.0173823E-01   4.4417788E+03   4.3730356E+03   9.2304363E+00
   1.0426075E-01   4.4464639E+03   4.3775562E+03   9.3239689E+00
