  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   14:48:24  12/08/2023 isnw     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      1.688E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   0.0000000E+00   1.3569767E-03   3.2843509E+00   3.4815626E+00   4.7862554E+00
   8.8658482E-03  -2.6396284E-02  -2.1268703E+01   3.4523058E+00   2.1547085E+01
   1.6821517E-02  -3.6242004E-02   2.0716159E+00   3.5231078E+00   4.0871987E+00
   3.3946093E-02  -1.2457088E-02   2.6081159E+00   3.5468130E+00   4.4025340E+00
   5.1435992E-02  -2.5653273E-03   3.0083921E+00   3.5719328E+00   4.6700249E+00
   6.8895392E-02   7.0696534E-03   3.4594259E+00   3.6081462E+00   4.9986396E+00
   8.6038984E-02   1.3724898E-02   3.8267605E+00   3.6248796E+00   5.2710567E+00
   1.0362396E-01   2.3240471E-02   4.3369203E+00   3.6555851E+00   5.6721001E+00
   1.2134441E-01   3.8781729E-02   4.8340802E+00   3.6765814E+00   6.0734739E+00
   1.3907731E-01   6.5208852E-02   5.3815098E+00   3.6799991E+00   6.5197616E+00
   1.4790100E-01   8.4918655E-02   5.7959771E+00   3.7305419E+00   6.8932939E+00
   1.6544707E-01   1.2505680E-01   6.4897566E+00   3.7218108E+00   7.4822760E+00
   1.8255520E-01   1.6450667E-01   7.3034520E+00   3.7532852E+00   8.2130766E+00
   2.0471668E-01   2.2735961E-01   8.4984751E+00   3.7738743E+00   9.3014994E+00
   2.1772021E-01   2.6333839E-01   9.2659836E+00   3.8223646E+00   1.0026877E+01
   2.3534645E-01   2.8639439E-01   1.0335515E+01   3.8080838E+00   1.1018457E+01
   2.5092006E-01   3.0666065E-01   1.1313247E+01   3.8179641E+00   1.1944055E+01
   2.6960295E-01   2.9452318E-01   1.2326989E+01   3.8539760E+00   1.2918767E+01
   2.8671461E-01   2.6948571E-01   1.3263385E+01   3.9067068E+00   1.3829402E+01
