  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   14:48:24  12/08/2023 isnw     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p       
       1     1002      0.000E+00      1.688E+01
   time              p_1             p_2
   0.0000000E+00   4.1638589E+03   4.1485923E+03
   8.8658482E-03   4.0684629E+03   4.1486123E+03
   1.6821517E-02   4.2167441E+03   4.2018555E+03
   3.3946093E-02   4.2460220E+03   4.2298721E+03
   5.1435992E-02   4.2761768E+03   4.2592939E+03
   6.8895392E-02   4.3202808E+03   4.3024141E+03
   8.6038984E-02   4.3408174E+03   4.3222783E+03
   1.0362396E-01   4.3793813E+03   4.3596089E+03
   1.2134441E-01   4.4061812E+03   4.3853999E+03
   1.3907731E-01   4.4130049E+03   4.3908081E+03
   1.4790100E-01   4.4746387E+03   4.4515474E+03
   1.6544707E-01   4.4672793E+03   4.4426929E+03
   1.8255520E-01   4.5075356E+03   4.4813872E+03
   2.0471668E-01   4.5369985E+03   4.5082437E+03
   2.1772021E-01   4.5958125E+03   4.5661997E+03
   2.3534645E-01   4.5837715E+03   4.5516060E+03
   2.5092006E-01   4.5993716E+03   4.5651328E+03
   2.6960295E-01   4.6432036E+03   4.6079492E+03
   2.8671461E-01   4.7062383E+03   4.6699443E+03
   3.0263460E-01   4.7168389E+03   4.6775107E+03
   3.2115498E-01   4.6919868E+03   4.6513145E+03
   3.3876258E-01   4.7029180E+03   4.6615679E+03
   3.5544083E-01   4.7221914E+03   4.6808486E+03
   3.7158284E-01   4.7331372E+03   4.6905259E+03
   3.8738680E-01   4.7444727E+03   4.7044834E+03
   4.0594268E-01   4.7371401E+03   4.6937910E+03
   4.2108601E-01   4.7361987E+03   4.6922368E+03
   4.3931878E-01   4.7401494E+03   4.7001406E+03
   4.5443812E-01   4.7359858E+03   4.6971792E+03
   4.7286469E-01   4.7292124E+03   4.6963584E+03
   4.8852620E-01   4.7261221E+03   4.6911562E+03
   5.0787115E-01   4.7151187E+03   4.6843228E+03
   5.2455431E-01   4.6660347E+03   4.6421411E+03
   5.4174453E-01   4.6955518E+03   4.6705059E+03
   5.5595100E-01   4.6628384E+03   4.6417471E+03
   5.7398939E-01   4.6826743E+03   4.6623818E+03
   5.9007299E-01   4.6488271E+03   4.6329106E+03
   6.0776091E-01   4.6094404E+03   4.5986333E+03
   6.2622249E-01   4.5768276E+03   4.5701040E+03
   6.3950992E-01   4.5649546E+03   4.5609468E+03
   6.5622658E-01   4.4867959E+03   4.4876758E+03
   6.7420107E-01   4.4857773E+03   4.4889893E+03
   6.9128335E-01   4.4325342E+03   4.4390176E+03
   7.0710564E-01   4.4482725E+03   4.4561772E+03
   7.2405821E-01   4.3643101E+03   4.3754414E+03
   7.4095964E-01   4.3913521E+03   4.4040474E+03
   7.5785613E-01   4.3441714E+03   4.3593560E+03
   7.7596217E-01   4.2965635E+03   4.3144429E+03
   7.9210764E-01   4.2582075E+03   4.2784424E+03
   8.0867475E-01   4.1920811E+03   4.2140986E+03
   8.2926822E-01   4.2007280E+03   4.2263169E+03
   8.4311908E-01   4.1182988E+03   4.1446973E+03
   8.6022776E-01   4.0794541E+03   4.1075996E+03
   8.7930042E-01   4.0418955E+03   4.0718823E+03
   8.9358634E-01   4.0618855E+03   4.0948979E+03
   9.1064376E-01   3.9990505E+03   4.0331206E+03
   9.2732066E-01   4.0095461E+03   4.0463318E+03
   9.4408697E-01   3.9642793E+03   4.0024690E+03
   9.6107525E-01   3.8891223E+03   3.9281895E+03
   9.7831631E-01   3.9184072E+03   3.9605188E+03
   9.9600875E-01   3.8753630E+03   3.9191328E+03
   1.0136743E+00   3.8597532E+03   3.9053647E+03
   1.0284780E+00   3.8398008E+03   3.8863887E+03
   1.0484449E+00   3.8174976E+03   3.8654495E+03
   1.0645421E+00   3.8168547E+03   3.8663428E+03
   1.0808169E+00   3.7690063E+03   3.8173455E+03
   1.0963099E+00   3.8014954E+03   3.8523247E+03
   1.1141944E+00   3.7759099E+03   3.8259910E+03
   1.1313050E+00   3.7799534E+03   3.8294124E+03
   1.1465037E+00   3.7526123E+03   3.8003738E+03
   1.1647403E+00   3.7696086E+03   3.8169272E+03
   1.1833267E+00   3.7641892E+03   3.8076746E+03
   1.1994966E+00   3.7645020E+03   3.8074399E+03
   1.2156943E+00   3.7785591E+03   3.8182793E+03
   1.2318119E+00   3.7682412E+03   3.8060032E+03
   1.2481935E+00   3.7761853E+03   3.8107324E+03
   1.2648493E+00   3.7850701E+03   3.8163721E+03
   1.2817026E+00   3.7921123E+03   3.8200681E+03
   1.2987969E+00   3.8003792E+03   3.8251260E+03
   1.3159893E+00   3.8132522E+03   3.8344497E+03
   1.3331444E+00   3.8226509E+03   3.8406926E+03
   1.3501234E+00   3.8359250E+03   3.8505828E+03
   1.3670392E+00   3.8449541E+03   3.8569402E+03
   1.3841715E+00   3.8772385E+03   3.8850266E+03
   1.4013983E+00   3.8697632E+03   3.8763870E+03
   1.4186598E+00   3.8882412E+03   3.8918506E+03
   1.4358346E+00   3.9317041E+03   3.9318218E+03
   1.4530922E+00   3.9206018E+03   3.9199543E+03
   1.4665004E+00   3.9368428E+03   3.9343511E+03
   1.4851277E+00   3.9676626E+03   3.9626545E+03
   1.5045360E+00   3.9905659E+03   3.9838042E+03
   1.5195887E+00   4.0024094E+03   3.9936157E+03
   1.5347669E+00   4.0134717E+03   4.0040620E+03
   1.5527316E+00   4.0026792E+03   3.9925500E+03
   1.5676208E+00   4.1088452E+03   4.0933716E+03
   1.5848505E+00   4.0858381E+03   4.0708032E+03
   1.6042221E+00   4.0899316E+03   4.0735190E+03
   1.6228932E+00   4.2057646E+03   4.1834976E+03
   1.6349829E+00   4.1697148E+03   4.1479614E+03
   1.6533213E+00   4.1571226E+03   4.1344321E+03
   1.6723293E+00   4.2273784E+03   4.2009082E+03
   1.6910462E+00   4.2653267E+03   4.2357856E+03
   1.7034119E+00   4.2811958E+03   4.2500806E+03
   1.7217475E+00   4.2826938E+03   4.2494453E+03
   1.7411869E+00   4.4015249E+03   4.3640171E+03
   1.7544223E+00   4.3727031E+03   4.3340283E+03
   1.7730316E+00   4.3655967E+03   4.3248369E+03
   1.7902653E+00   4.4701260E+03   4.4259844E+03
   1.8064697E+00   4.4127690E+03   4.3675796E+03
   1.8218232E+00   4.5392114E+03   4.4910386E+03
   1.8411355E+00   4.5141812E+03   4.4640596E+03
   1.8547782E+00   4.5154873E+03   4.4644995E+03
   1.8720679E+00   4.5627021E+03   4.5102002E+03
   1.8885736E+00   4.5621055E+03   4.5078032E+03
   1.9081384E+00   4.5862578E+03   4.5304126E+03
   1.9229890E+00   4.6467529E+03   4.5910674E+03
   1.9402972E+00   4.6121880E+03   4.5541177E+03
   1.9571642E+00   4.6484902E+03   4.5899502E+03
   1.9733796E+00   4.6638594E+03   4.6047642E+03
   1.9921751E+00   4.6735811E+03   4.6140791E+03
   2.0073619E+00   4.6880674E+03   4.6286592E+03
   2.0253739E+00   4.6940903E+03   4.6343989E+03
   2.0430436E+00   4.6980186E+03   4.6387256E+03
   2.0602417E+00   4.7075635E+03   4.6490811E+03
   2.0774951E+00   4.7111558E+03   4.6535410E+03
   2.0918114E+00   4.7071670E+03   4.6503540E+03
   2.1089122E+00   4.7052144E+03   4.6498003E+03
   2.1260405E+00   4.6964297E+03   4.6439194E+03
   2.1433268E+00   4.6909448E+03   4.6361968E+03
   2.1611471E+00   4.6873862E+03   4.6370957E+03
   2.1766834E+00   4.6719966E+03   4.6243843E+03
   2.1928995E+00   4.6539800E+03   4.6099023E+03
   2.2125528E+00   4.6170815E+03   4.5773433E+03
   2.2291284E+00   4.6335586E+03   4.5942417E+03
   2.2462251E+00   4.5988384E+03   4.5642847E+03
   2.2601774E+00   4.5969131E+03   4.5632344E+03
   2.2781425E+00   4.5839565E+03   4.5524707E+03
   2.2968810E+00   4.5217646E+03   4.4977041E+03
   2.3124559E+00   4.5089072E+03   4.4869258E+03
   2.3288980E+00   4.4583550E+03   4.4406182E+03
   2.3461223E+00   4.4362881E+03   4.4225381E+03
   2.3630664E+00   4.3592803E+03   4.3487583E+03
   2.3817229E+00   4.3598501E+03   4.3531528E+03
