  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:09:47  02/16/2024 cisn     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      858      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   2.3949589E-03  -1.1812836E+00   3.1507347E+00
   1.7133401E-03  -4.7921680E-02  -2.2505817E+02   3.5187352E+00
   3.3410131E-03  -9.9044126E-03  -3.0781887E+00   3.4152546E+00
   4.8873024E-03   1.5689271E-02  -2.5717125E+00   3.3980875E+00
   6.5109064E-03  -5.5310782E-02  -1.8528172E+00   2.8551388E+00
   8.2156900E-03   8.0264986E-02  -2.0844541E+00   2.8627048E+00
   1.0005713E-02  -3.2755867E-02  -3.4495387E+00   3.2807403E+00
   1.1885238E-02   2.1203401E-02  -3.1124206E+00   3.2839632E+00
   1.3858738E-02   1.5155894E-03  -2.7227612E+00   3.2801397E+00
   1.5930913E-02   6.2355888E-04  -2.3498571E+00   3.2669947E+00
   1.8106699E-02  -2.1648895E-02  -1.0649835E+00   3.1062326E+00
   2.0391272E-02   1.8539991E-02  -1.7134172E+00   3.0920999E+00
   2.2790074E-02  -1.2030822E-03  -2.2871275E+00   3.0907476E+00
   2.5308816E-02   4.6807324E-04  -2.4700773E+00   3.1011107E+00
   2.7953496E-02  -2.9027279E-04  -2.4291584E+00   3.1174974E+00
   3.0730410E-02   2.2277159E-03  -2.0167370E+00   3.1937115E+00
   3.3646170E-02  -7.0726806E-03  -2.0951908E+00   3.1971998E+00
   3.6550555E-02  -2.4617792E-03  -2.1314392E+00   3.1984444E+00
   3.9336532E-02  -3.2817877E-03  -2.0883048E+00   3.1979868E+00
   4.2012680E-02  -2.3941570E-03  -1.9524235E+00   3.1964347E+00
   4.4592246E-02  -6.2522637E-03  -1.2465193E+00   3.1763325E+00
   4.7092717E-02  -1.6392941E-03  -1.3039562E+00   3.1731539E+00
   4.9528386E-02  -3.6848325E-03  -1.3707709E+00   3.1706302E+00
   5.1912028E-02  -2.1188236E-03  -1.5736365E+00   3.1626599E+00
   5.4255951E-02  -2.4362709E-03  -1.6083405E+00   3.1604164E+00
   5.6571871E-02  -2.4347904E-03  -1.8290572E+00   3.1323409E+00
   5.8870379E-02   2.6872390E-04  -1.8293368E+00   3.1314158E+00
   6.1158314E-02  -2.2938806E-03  -1.6995444E+00   3.1343477E+00
   6.3436918E-02  -9.3524661E-03  -7.5314260E-01   3.1674988E+00
   6.5700561E-02  -9.7171878E-03  -7.6673740E-01   3.1691248E+00
   6.7940272E-02  -3.1882590E-03  -8.9032149E-01   3.1685059E+00
   7.0278935E-02  -9.5895963E-04  -9.9497551E-01   3.1684713E+00
   7.2734535E-02  -1.3678477E-03  -1.0314966E+00   3.1678069E+00
   7.5312905E-02  -2.0266790E-03  -1.5577381E+00   3.1621287E+00
   7.7878773E-02  -2.5440883E-03  -1.5845748E+00   3.1618080E+00
   8.0572933E-02  -1.0522117E-02  -7.7303571E-01   3.1688910E+00
