  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:13:44  02/15/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      924      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   6.2419823E-04  -2.4232128E+00   3.2010028E+00
   4.9306001E-03  -2.6167633E-02   7.0564461E+01   3.5647285E+00
   9.5041897E-03   1.1766785E-02  -1.7345515E+00   3.2365429E+00
   1.3849100E-02  -4.1293725E-03  -2.0435994E+00   3.2056990E+00
   1.8411256E-02   1.2725403E-03  -1.9730768E+00   3.1963401E+00
   2.3201520E-02   1.1991989E-03  -1.9887007E+00   3.1909885E+00
   2.8231297E-02   1.1846772E-03  -2.0111914E+00   3.1900196E+00
   3.3512563E-02   4.7012995E-04  -2.0287163E+00   3.1931567E+00
   3.9057892E-02   2.3910105E-04  -2.0536408E+00   3.1946392E+00
   4.4880487E-02  -6.7230983E-04  -2.0713346E+00   3.1961095E+00
   5.0994210E-02  -7.3556637E-04  -2.0850883E+00   3.1963184E+00
   5.7413623E-02  -8.9659484E-04  -2.1017716E+00   3.1937735E+00
   6.2422868E-02  -6.9401169E-04  -2.1191387E+00   3.1930985E+00
   7.0334844E-02  -1.5752988E-04  -2.1383379E+00   3.1888208E+00
   7.3654689E-02   4.7064575E-04  -2.1502309E+00   3.1880076E+00
   7.9465032E-02  -8.5423293E-04  -2.1711416E+00   3.1886215E+00
   8.4476359E-02  -2.6676556E-04  -2.1861668E+00   3.1881430E+00
   8.9142568E-02  -1.1862203E-03  -2.2005866E+00   3.1847925E+00
   9.4287053E-02  -6.1994104E-04  -2.2112801E+00   3.1864448E+00
   9.9958852E-02  -2.0183285E-03  -2.2266283E+00   3.1845610E+00
   1.0300918E-01  -1.5706845E-03  -2.2353299E+00   3.1854444E+00
   1.0957500E-01   7.8241911E-04  -2.2537735E+00   3.1858819E+00
   1.1310612E-01  -1.9414793E-03  -2.2659285E+00   3.1884348E+00
   1.1681381E-01  -3.1907700E-03  -2.2807841E+00   3.1896434E+00
   1.2479460E-01  -1.7220762E-03  -2.3030581E+00   3.1892085E+00
   1.2899318E-01  -1.6493315E-03  -2.3193915E+00   3.1897159E+00
   1.3266689E-01  -1.9723466E-03  -2.3311391E+00   3.1890945E+00
   1.3849974E-01  -1.2868297E-03  -2.3487544E+00   3.1855307E+00
   1.4320292E-01  -8.3759695E-04  -2.3647895E+00   3.1848445E+00
   1.4771843E-01   2.5308834E-04  -2.3809104E+00   3.1856089E+00
   1.5185750E-01  -2.1907953E-03  -2.3915274E+00   3.1869066E+00
   1.5887499E-01  -2.8190302E-04  -2.4063287E+00   3.1894953E+00
   1.6145188E-01   1.0462221E-05  -2.4095516E+00   3.1896479E+00
   1.6699862E-01   3.7214931E-04  -2.4283710E+00   3.1911354E+00
   1.7311391E-01  -2.8615101E-04  -2.4421110E+00   3.1929944E+00
   1.7640273E-01   5.5114015E-06  -2.4480243E+00   3.1936238E+00
