  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:05:49  02/16/2024 liqi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -3.4780896E-04   4.3751960E+00   7.0546669E-01
   8.4541156E-04   2.0101285E-02  -5.7235248E+02   1.2745526E+00
   3.1363713E-03   4.3729017E-03   3.7070277E+00   9.0136433E-01
   6.4167059E-03   5.2125449E-03   3.7201686E+00   8.5273445E-01
   1.0403974E-02   8.4375488E-03   3.8305392E+00   8.2581991E-01
   1.3948823E-02   8.1691314E-03   3.9058783E+00   8.2640129E-01
   1.6617306E-02   8.7876013E-03   3.9493537E+00   8.2603985E-01
   1.9524442E-02   7.2954302E-03   3.9916050E+00   8.1534600E-01
   2.4115095E-02   7.5015491E-03   4.0597768E+00   8.0535704E-01
   2.7325099E-02   7.4371239E-03   4.1123176E+00   8.1456286E-01
   3.0663880E-02   6.7961272E-03   4.1423898E+00   7.9722637E-01
   3.4145791E-02   6.5979636E-03   4.1895628E+00   7.9295939E-01
   3.5946313E-02   5.8935354E-03   4.2128825E+00   7.9721290E-01
   3.9680216E-02   4.8982264E-03   4.2620854E+00   7.9097027E-01
   4.3659780E-02   8.6386558E-03   4.3521762E+00   7.8946781E-01
   4.6819530E-02   5.2500553E-03   4.3754611E+00   7.8701347E-01
   4.9965743E-02   6.2218308E-03   4.4257579E+00   7.8074855E-01
   5.3097896E-02   4.3506413E-03   4.4643993E+00   7.7956504E-01
   5.6905046E-02   8.2857059E-03   4.5110712E+00   7.7866364E-01
   6.0289763E-02   8.1142997E-03   4.5585284E+00   7.7341235E-01
   6.2837698E-02   8.0613373E-03   4.5923438E+00   7.7965301E-01
   6.7157552E-02   8.5787345E-03   4.6662245E+00   7.7361327E-01
   7.0227891E-02   1.2346867E-02   4.7230492E+00   7.7156955E-01
   7.3964648E-02   9.2918631E-03   4.8058047E+00   7.7517569E-01
   7.6777592E-02   7.1624173E-03   4.7989993E+00   7.7602750E-01
   7.9878867E-02   5.4383320E-03   4.8425765E+00   7.7273500E-01
   8.3298020E-02   6.2973029E-03   4.9142585E+00   7.6733601E-01
   8.6869270E-02   7.1076648E-03   4.9995685E+00   7.6368010E-01
   8.9989938E-02   1.3252514E-02   5.0980854E+00   7.5792372E-01
   9.2925891E-02   1.2078003E-02   5.0916934E+00   7.5788516E-01
   9.6162781E-02   1.0373414E-02   5.1194878E+00   7.5831163E-01
   9.9445924E-02   6.5707038E-03   5.2477818E+00   7.7040976E-01
   1.0409362E-01   9.2437398E-03   5.2695866E+00   7.6724809E-01
   1.0707227E-01   1.4870939E-03   5.3061900E+00   7.6331127E-01
   1.0997222E-01   7.6145418E-03   5.3828106E+00   7.5782025E-01
   1.1423057E-01   9.5020840E-03   5.4685001E+00   7.5157779E-01
   1.1694244E-01   6.8058386E-03   5.5178537E+00   7.4665630E-01
   1.1967683E-01   1.1874197E-02   5.5497622E+00   7.4636161E-01
