  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:11:33  02/15/2024 tgtc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   2.4139471E-04  -2.2049325E+00   5.7992452E-01
   1.9400422E-03   1.0226088E-03   1.6707234E+02   3.5029390E-01
   5.2895723E-03  -8.2880637E-04  -2.0023706E+00   5.7337523E-01
   1.0176675E-02   1.6422077E-03  -1.9009727E+00   5.7580507E-01
   1.3855577E-02   9.8259433E-04  -1.9209087E+00   5.7811910E-01
   2.0092897E-02   8.7479653E-04  -1.9497355E+00   5.8261442E-01
   2.4788212E-02   1.1179887E-03  -1.9601673E+00   5.8322388E-01
   2.9964797E-02   1.7236313E-03  -1.9707998E+00   5.8331436E-01
   3.5629861E-02   1.3244079E-03  -1.9827768E+00   5.8366507E-01
   3.8591992E-02   1.4566809E-03  -1.9886397E+00   5.8407611E-01
   4.4541694E-02   1.1161411E-03  -1.9979720E+00   5.8534473E-01
   4.9968362E-02   2.0752174E-03  -2.0062704E+00   5.8691305E-01
   5.2886847E-02   1.3576575E-03  -2.0124805E+00   5.8775806E-01
   5.9168894E-02   1.2612423E-03  -2.0237606E+00   5.8949268E-01
   6.5330468E-02   9.2650077E-04  -2.0316863E+00   5.9113628E-01
   6.8449624E-02   7.8748097E-04  -2.0363140E+00   5.9182209E-01
   7.4527420E-02   6.2013255E-04  -2.0464313E+00   5.9349698E-01
   7.9919115E-02  -1.7672620E-04  -2.0586987E+00   5.9422982E-01
   8.2750931E-02   1.0639923E-03  -2.0640960E+00   5.9494936E-01
   8.8758513E-02   1.0554655E-03  -2.0724795E+00   5.9620303E-01
   9.4333023E-02   2.3227572E-03  -2.0854757E+00   5.9748787E-01
   1.0001899E-01   7.9919928E-04  -2.0927565E+00   5.9918851E-01
   1.0307693E-01   1.0010586E-03  -2.0924144E+00   6.0101628E-01
   1.0945947E-01  -5.4439699E-04  -2.1103323E+00   6.0142434E-01
   1.1235222E-01   2.9044258E-04  -2.1176600E+00   6.0212171E-01
   1.1782514E-01   1.2542473E-03  -2.1242604E+00   6.0389274E-01
   1.2379949E-01   2.0329342E-03  -2.1189690E+00   6.0685706E-01
   1.2910831E-01   2.3049486E-03  -2.1409729E+00   6.0704750E-01
   1.3180274E-01   1.5452690E-04  -2.1499450E+00   6.0757583E-01
   1.3760248E-01   3.0930512E-04  -2.1602750E+00   6.0928917E-01
   1.4399669E-01   7.0876291E-04  -2.1445043E+00   6.1245936E-01
   1.4716342E-01   2.4367946E-04  -2.1552961E+00   6.1262244E-01
   1.5293856E-01   2.4613302E-05  -2.1772430E+00   6.1382878E-01
   1.5812990E-01   1.7456788E-03  -2.1847801E+00   6.1579067E-01
   1.6274847E-01   8.5383699E-06  -2.1493399E+00   6.1858898E-01
   1.6697165E-01   3.8990553E-03  -2.1736839E+00   6.1792344E-01
   1.7380211E-01  -5.8574387E-04  -2.1977277E+00   6.1931968E-01
