  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:45:02  02/22/2024 snwl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       4      142      4.887E-03      5.469E-01
   time              pfxob_1         pfyob_1         pfzob_1
   4.8873024E-03   5.3381468E-03  -1.0905027E+00   3.7049084E+00
   6.5109064E-03   1.9102791E-02  -1.7292175E+00   3.7012565E+00
   8.2156900E-03  -7.0795213E-05  -2.0110071E+00   3.7008777E+00
   1.0005713E-02  -9.8986952E-03  -2.3816721E+00   3.7031178E+00
   1.1885238E-02  -4.4653141E-03  -2.4127953E+00   3.7055240E+00
   1.3858738E-02  -1.9290705E-03  -2.3758783E+00   3.7148218E+00
   1.5930913E-02   3.7239585E-03  -2.3453798E+00   3.7276442E+00
   1.8106699E-02   1.4407326E-02  -1.9131385E+00   3.8829331E+00
   2.0391272E-02  -1.6376361E-02  -2.2869170E+00   3.8958614E+00
   2.2790074E-02  -1.2757801E-03  -2.3575449E+00   3.8976765E+00
   2.5308816E-02  -1.9960601E-03  -2.3581543E+00   3.8964484E+00
   2.7953496E-02  -5.2621830E-03  -1.8345562E+00   3.8453462E+00
   3.0730410E-02  -1.1024930E-03  -1.9037592E+00   3.8400285E+00
   3.3646170E-02  -1.4707408E-03  -1.9867271E+00   3.8299236E+00
   3.6707718E-02   1.2745574E-03  -2.0290930E+00   3.8107836E+00
   3.9922342E-02  -1.9630878E-03  -2.1617699E+00   3.6897249E+00
   4.2976234E-02   3.2013743E-03  -2.1612074E+00   3.6923668E+00
   4.6182822E-02  -9.8833139E-04  -2.0266988E+00   3.7065375E+00
   4.9549740E-02   7.9732861E-05  -1.4419346E+00   3.8388810E+00
   5.2748311E-02   1.4076377E-03  -1.5071071E+00   3.8386431E+00
   5.6106810E-02  -1.1962173E-03  -1.6106709E+00   3.8316462E+00
   5.9633236E-02  -7.2143512E-04  -1.6762022E+00   3.8225737E+00
   6.3335985E-02   1.6223459E-03  -1.8075197E+00   3.7838583E+00
   6.7223869E-02   8.9037581E-04  -1.7862773E+00   3.7837145E+00
   7.1306147E-02  -5.1256125E-03  -1.1081182E+00   3.7917233E+00
   7.5592533E-02  -2.4079888E-03  -1.1442057E+00   3.7889524E+00
   8.0093250E-02  -1.8933553E-03  -1.1381054E+00   3.7852097E+00
   8.4818996E-02  -3.6243713E-04  -1.1235362E+00   3.7738316E+00
   8.9781031E-02  -1.8235666E-03  -1.0734236E+00   3.7742975E+00
   9.4991162E-02  -1.8264770E-03  -9.0304583E-01   3.7770543E+00
   1.0033768E-01  -2.6642706E-03  -2.5286600E-01   3.7949228E+00
   1.0545512E-01  -3.9756345E-03  -2.1325442E-01   3.7949729E+00
   1.1030497E-01  -3.2940769E-04  -1.3602583E-01   3.7942004E+00
   1.1539732E-01  -1.6242233E-03  -4.6637538E-04   3.7941699E+00
   1.2064232E-01  -2.4188566E-03   8.7586395E-02   3.7941277E+00
   1.2583831E-01  -1.1502868E-03   5.5289829E-01   3.7995679E+00
