  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   14:30:35  02/22/2024 pnht     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing tfxob, tfyob, tfzob       
       1      999      0.000E+00      3.341E+00
   time              tfxob_1         tfyob_1         tfzob_1
   0.0000000E+00  -2.4937539E-04   5.6641154E+00   1.8320774E+00
   2.7385426E-03   1.9619705E-02  -2.3413969E+02  -4.6605770E-02
   6.3181268E-03   1.5441256E-02   5.8488059E+00   1.8862519E+00
   9.7143725E-03  -4.0236996E-03   5.5847363E+00   1.8766576E+00
   1.3276082E-02  -8.5314328E-04   5.5921636E+00   1.8409326E+00
   1.7011082E-02  -5.1003473E-04   5.5921793E+00   1.8371750E+00
   2.1128919E-02   1.2990265E-03   5.6242743E+00   1.8315548E+00
   2.3343511E-02   1.4351686E-03   5.6194854E+00   1.8303622E+00
   2.5668833E-02   5.1263330E-04   5.6210036E+00   1.8310047E+00
   3.0674091E-02   1.3670617E-03   5.6516752E+00   1.8400559E+00
   3.3109576E-02   2.3013586E-03   5.6476092E+00   1.8410603E+00
   3.5666835E-02  -1.9304611E-03   5.6737795E+00   1.8438398E+00
   4.1171335E-02  -1.1055424E-04   5.7097292E+00   1.8473892E+00
   4.4131681E-02  -8.6940068E-05   5.7316570E+00   1.8482139E+00
   4.7240045E-02  -5.2435324E-04   5.7660480E+00   1.8486080E+00
   5.0503828E-02   6.2772090E-04   5.8122144E+00   1.8485035E+00
   5.3930800E-02   1.1421572E-03   5.8472781E+00   1.8477482E+00
   5.7529122E-02   3.5195277E-04   5.8925314E+00   1.8475058E+00
   6.1052870E-02   2.2440180E-04   5.9339600E+00   1.8478187E+00
   6.4641528E-02  -1.2363314E-04   6.0058193E+00   1.8490546E+00
   6.8160467E-02   2.6522758E-03   6.0493164E+00   1.8500239E+00
   7.1727969E-02   1.1135080E-03   6.1157408E+00   1.8514547E+00
   7.5311512E-02   7.4148877E-05   6.1924143E+00   1.8530731E+00
   7.8978293E-02   1.0921974E-03   6.2686572E+00   1.8554199E+00
   8.2038917E-02  -1.4937538E-04   6.3438888E+00   1.8564725E+00
   8.5252568E-02   9.6184033E-04   6.4177408E+00   1.8584925E+00
   9.1706276E-02  -1.2365504E-03   6.5557585E+00   1.8604263E+00
   9.5054463E-02  -2.0351469E-04   6.6291709E+00   1.8616966E+00
   9.8509438E-02   4.6270119E-04   6.6976967E+00   1.8625644E+00
   1.0463422E-01  -1.0574209E-03   6.8677192E+00   1.8647958E+00
   1.0789140E-01  -1.2954242E-04   6.9399548E+00   1.8658637E+00
   1.1077680E-01   3.8321083E-04   7.0294676E+00   1.8671585E+00
   1.1380647E-01   3.1774482E-04   7.1105022E+00   1.8684458E+00
   1.1780325E-01  -1.2446573E-03   7.2464123E+00   1.8703723E+00
   1.1995275E-01  -2.2194937E-03   7.3353591E+00   1.8723599E+00
   1.2457953E-01  -2.2804401E-04   7.4537940E+00   1.8744816E+00
   1.2684181E-01   1.8834342E-04   7.5148010E+00   1.8747026E+00
