  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:47:44  02/22/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      909      0.000E+00      3.344E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -2.1987286E-04   5.2935319E+00   3.7555168E+00
   3.3406001E-03   2.2410499E-02  -1.9966428E+02   7.3329002E-01
   6.5141702E-03   3.2624645E-05   4.6098623E+00   3.6087203E+00
   9.5290616E-03   2.3012883E-03   5.6501212E+00   3.7704747E+00
   1.2393208E-02  -2.5779242E-03   5.1942272E+00   3.7991152E+00
   1.5400562E-02  -3.3936284E-03   5.1572137E+00   3.8167951E+00
   1.8558284E-02   1.9565348E-03   5.1698465E+00   3.8193071E+00
   2.1873893E-02   5.1301497E-04   5.1855898E+00   3.8158770E+00
   2.5355281E-02   8.0870400E-04   5.1624885E+00   3.8132646E+00
   2.9010739E-02  -2.6769433E-03   5.2426848E+00   3.7972238E+00
   3.2848969E-02  -1.4491401E-03   5.2537522E+00   3.7825823E+00
   3.6879111E-02  -9.1963215E-04   5.2607751E+00   3.7747242E+00
   4.1110761E-02  -9.0080124E-05   5.2803702E+00   3.7745483E+00
   4.5553993E-02   1.4892110E-04   5.3385725E+00   3.7824347E+00
   5.0219387E-02   2.4848041E-04   5.4061837E+00   3.7908862E+00
   5.5118050E-02  -4.9134428E-03   5.4515848E+00   3.7995329E+00
   6.0261648E-02  -7.0881617E-04   5.5179963E+00   3.8070259E+00
   6.5662421E-02   1.1519694E-03   5.5760522E+00   3.8122818E+00
   7.1333237E-02  -8.9675211E-04   5.6892581E+00   3.8155890E+00
   7.7287592E-02  -3.0664681E-04   5.8069935E+00   3.8169522E+00
   8.3539665E-02  -1.5540331E-03   5.9295969E+00   3.8184669E+00
   8.9887813E-02   1.0269576E-03   6.0597386E+00   3.8213773E+00
   9.6254818E-02  -6.8869098E-04   6.2198977E+00   3.8257761E+00
   1.0255224E-01  -3.4906823E-04   6.3683119E+00   3.8311462E+00
   1.0881129E-01   9.6293120E-04   6.5143852E+00   3.8369267E+00
   1.1455152E-01   7.8325812E-04   6.6761341E+00   3.8429551E+00
   1.2005223E-01  -3.5620315E-04   6.8383880E+00   3.8484819E+00
   1.2582797E-01   1.3548092E-03   6.9848452E+00   3.8531041E+00
   1.3170177E-01  -9.5240318E-04   7.1543293E+00   3.8577135E+00
   1.3758284E-01  -2.9390061E-05   7.3376694E+00   3.8624988E+00
   1.4263012E-01   4.1136175E-04   7.5277128E+00   3.8677461E+00
   1.4792976E-01   4.8209573E-03   7.6683130E+00   3.8715017E+00
   1.5277217E-01  -1.9228862E-03   7.8272882E+00   3.8757031E+00
   1.5777510E-01   1.5973555E-03   7.9815602E+00   3.8794856E+00
   1.6292185E-01   1.3054417E-03   8.1372318E+00   3.8828406E+00
   1.6763324E-01   1.2298556E-03   8.3027964E+00   3.8861697E+00
   1.7242628E-01   3.0667139E-03   8.4469166E+00   3.8887753E+00
