  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:31:13  02/26/2024 iqbp     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   1.1263203E-03   4.7532196E+00   3.1413617E+00
   3.3406001E-03   6.8327561E-02  -1.5430492E+02   1.8897699E+00
   5.8339625E-03   4.4517536E-03   2.9643583E+00   3.1476974E+00
   1.0689786E-02  -4.4987947E-03   3.6681826E+00   3.2690451E+00
   1.3301272E-02  -3.6132236E-03   3.7205584E+00   3.2795889E+00
   1.6043331E-02  -4.0455451E-03   3.8022878E+00   3.2737162E+00
   1.8922495E-02  -5.3065415E-03   3.8564703E+00   3.2670557E+00
   2.1945616E-02  -2.3591411E-03   3.9120793E+00   3.2591116E+00
   2.8307220E-02  -1.5996631E-03   4.1029468E+00   3.2350383E+00
   3.1429972E-02  -7.1979011E-04   4.1500835E+00   3.2342677E+00
   3.4479294E-02   1.8559200E-03   4.1993785E+00   3.2362986E+00
   3.7455555E-02   1.7565773E-03   4.2577815E+00   3.2427146E+00
   4.0361863E-02  -1.6804375E-03   4.3470297E+00   3.2552047E+00
   4.3200515E-02   4.5765727E-03   4.3804908E+00   3.2582502E+00
   4.5975704E-02  -2.5206604E-03   4.4177842E+00   3.2592201E+00
   5.1358316E-02   1.7539448E-03   4.5352616E+00   3.2637360E+00
   5.3450022E-02  -2.2300549E-03   4.5879173E+00   3.2651286E+00
   5.7952415E-02   6.6470709E-03   4.6863484E+00   3.2683704E+00
   6.0201347E-02  -8.7509467E-04   4.7484903E+00   3.2717845E+00
   6.2562726E-02   2.6114215E-03   4.7951427E+00   3.2764671E+00
   6.7461163E-02   6.7402334E-03   4.9043403E+00   3.2806482E+00
   6.9878697E-02   6.5566031E-03   4.9550366E+00   3.2836776E+00
   7.4657261E-02   8.1780478E-03   5.0535741E+00   3.2888083E+00
   7.7024557E-02   7.6627601E-03   5.1124144E+00   3.2915702E+00
   7.9381891E-02   3.7957958E-03   5.1764903E+00   3.2950718E+00
   8.4041491E-02   9.4638253E-03   5.3133163E+00   3.3026392E+00
   8.6377472E-02   8.5127065E-03   5.3742962E+00   3.3068104E+00
   9.1062859E-02   1.1071097E-02   5.4884171E+00   3.3142033E+00
   9.3439743E-02   1.1122731E-02   5.5476198E+00   3.3178720E+00
   9.5882237E-02   1.3078406E-02   5.6059351E+00   3.3209627E+00
   1.0100494E-01   4.0973825E-03   5.7231464E+00   3.3273394E+00
   1.0368725E-01   1.2468554E-02   5.7948303E+00   3.3301971E+00
   1.0645695E-01   1.6937983E-03   5.8585639E+00   3.3316653E+00
   1.0931367E-01   1.0841599E-02   5.9385967E+00   3.3338606E+00
   1.1226542E-01   1.3646377E-02   6.0027528E+00   3.3371201E+00
   1.1837543E-01   1.3911206E-02   6.1836925E+00   3.3423145E+00
   1.2136342E-01   1.2695585E-02   6.2692246E+00   3.3460274E+00
