  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:20:22  02/26/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   7.3476497E-04  -2.4658613E+00   1.1973181E+00
   1.6217560E-03  -1.2720721E-02   2.2265373E+02   1.1424527E+00
   4.6260590E-03  -1.6582578E-03  -2.2133365E+00   1.1845150E+00
   1.0619085E-02  -1.2091302E-03  -2.0570207E+00   1.1869848E+00
   1.4083799E-02  -6.2863634E-04  -2.0789144E+00   1.1893063E+00
   1.9957978E-02  -9.7658951E-04  -2.1018505E+00   1.1937068E+00
   2.4379930E-02  -7.3557906E-04  -2.1103497E+00   1.1926584E+00
   2.9232815E-02  -9.1533875E-05  -2.1193702E+00   1.1906654E+00
   3.4344435E-02  -2.4169624E-04  -2.1282814E+00   1.1896456E+00
   3.9686538E-02  -1.7366803E-04  -2.1346619E+00   1.1908563E+00
   4.5269102E-02  -3.3374163E-04  -2.1427648E+00   1.1920208E+00
   5.0201956E-02   2.1806071E-04  -2.1456506E+00   1.1928759E+00
   5.4348689E-02   1.0596759E-03  -2.1476305E+00   1.1935234E+00
   5.9549030E-02   5.6689116E-04  -2.1557231E+00   1.1936457E+00
   6.3920863E-02   4.2668896E-04  -2.1633196E+00   1.1934859E+00
   6.8882033E-02   1.5895345E-03  -2.1703432E+00   1.1907996E+00
   7.3703587E-02  -1.1839427E-03  -2.1834383E+00   1.1932083E+00
   7.9028226E-02  -6.9470680E-04  -2.1944959E+00   1.1938729E+00
   8.3570547E-02   2.3807930E-03  -2.2041690E+00   1.1941340E+00
   8.8420130E-02  -3.1426980E-04  -2.2179561E+00   1.1967525E+00
   9.4314829E-02   8.1470622E-05  -2.2340908E+00   1.1981384E+00
   9.9555463E-02  -7.7174610E-04  -2.2467222E+00   1.1996151E+00
   1.0347834E-01  -1.3446163E-04  -2.2569940E+00   1.1998937E+00
   1.0871352E-01   1.1999220E-04  -2.2691603E+00   1.2019707E+00
   1.1312142E-01  -7.2615122E-04  -2.2818186E+00   1.2024437E+00
   1.1839242E-01   6.8493364E-03  -2.2994399E+00   1.2027984E+00
   1.2273387E-01  -1.1057506E-04  -2.3157415E+00   1.2050527E+00
   1.2841097E-01   1.6968990E-04  -2.3290880E+00   1.2068369E+00
   1.3253829E-01  -4.2766973E-04  -2.3411851E+00   1.2081296E+00
   1.3856955E-01   6.6196575E-05  -2.3587549E+00   1.2094213E+00
   1.4365686E-01  -7.1053684E-04  -2.3744712E+00   1.2113396E+00
   1.4802551E-01  -1.4645797E-03  -2.3813419E+00   1.2120892E+00
   1.5343869E-01  -3.2947282E-04  -2.4015577E+00   1.2143164E+00
   1.5744916E-01   2.4877218E-04  -2.4060979E+00   1.2153809E+00
   1.6209179E-01   1.9594689E-03  -2.4175179E+00   1.2171445E+00
   1.6746621E-01   2.6814498E-03  -2.4271653E+00   1.2190350E+00
