  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:52:28  02/16/2024 tcgi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      995      0.000E+00      1.713E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -1.7024195E-03  -1.0041137E+00   6.7868870E-01
   1.7133401E-03  -1.9634100E-04  -1.9678786E+02   3.1394193E-01
   3.2822692E-03  -1.2778861E-02  -2.1538613E+00   7.3304635E-01
   4.7727521E-03   3.0161359E-03  -1.9237939E+00   6.9362330E-01
   6.1887107E-03   5.3364586E-04  -1.9643062E+00   6.9466507E-01
   9.2365611E-03   2.0174056E-03  -2.0033367E+00   6.9575769E-01
   1.0875710E-02   3.6991183E-03  -1.9712119E+00   6.9570744E-01
   1.2596817E-02   4.9139839E-03  -1.9108967E+00   6.9646364E-01
   1.4403978E-02   5.3701801E-03  -1.8353125E+00   6.9709808E-01
   1.6301498E-02   5.0243558E-03  -1.8013591E+00   6.9745821E-01
   1.8293895E-02   6.1796987E-03  -1.7757671E+00   6.9782108E-01
   2.0385910E-02   6.3482434E-03  -1.7482150E+00   6.9831282E-01
   2.2582527E-02   6.5002763E-03  -1.6913894E+00   6.9855964E-01
   2.4806352E-02   6.2163169E-03  -1.5647216E+00   6.9993329E-01
   2.6958009E-02   7.2189798E-03  -1.5787674E+00   7.0031762E-01
   2.9020365E-02   7.3362337E-03  -1.6022114E+00   7.0050067E-01
   3.1010961E-02   7.3715430E-03  -1.5860034E+00   7.0117414E-01
   3.2948989E-02   7.2498759E-03  -1.5369768E+00   7.0231110E-01
   3.4846209E-02   9.7536612E-03  -1.4941396E+00   7.0321369E-01
   3.6708780E-02   7.2594881E-03  -1.3591093E+00   7.0599073E-01
   3.8544193E-02   7.6626362E-03  -1.3724064E+00   7.0610428E-01
   4.0363535E-02   7.6837856E-03  -1.4001139E+00   7.0624566E-01
   4.2208318E-02   7.8477077E-03  -1.3930379E+00   7.0645553E-01
   4.4087075E-02   6.3827406E-03  -1.3422562E+00   7.0715559E-01
   4.5973655E-02   5.1939641E-03  -1.2755402E+00   7.0766515E-01
   4.7795795E-02   4.8123179E-03  -1.2211542E+00   7.0798016E-01
   4.9564015E-02   6.0674381E-03  -1.1816391E+00   7.0820546E-01
   5.1281910E-02   6.9411336E-03  -1.1651847E+00   7.0827198E-01
   5.2952573E-02   7.1121193E-03  -1.1269876E+00   7.0821154E-01
   5.4580074E-02   6.9449916E-03  -1.1035093E+00   7.0809305E-01
   5.6167983E-02   6.6474704E-03  -1.0755119E+00   7.0770794E-01
   5.7720482E-02   6.6873063E-03  -1.0197942E+00   7.0749259E-01
   5.9238538E-02   6.2960782E-03  -9.9204701E-01   7.0741606E-01
   6.2506154E-02   6.6833482E-03  -9.3815809E-01   7.0702553E-01
   6.4263493E-02   5.4636169E-03  -8.9806008E-01   7.0629388E-01
   6.6108696E-02   5.9344727E-03  -8.5679418E-01   7.0633507E-01
   6.8046160E-02   6.0803229E-03  -8.0612206E-01   7.0632994E-01
