  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:15:17  02/16/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      994      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -2.3368022E-03  -8.5816658E-01  -3.9882612E-01
   1.7133401E-03  -1.0080156E-02  -1.6372197E+02  -1.5028154E+00
   3.3410131E-03  -1.9817229E-03  -1.6402808E+00  -3.9774010E-01
   4.8873024E-03  -2.2067432E-03  -1.3439953E+00  -4.0533090E-01
   6.5109064E-03   2.5388304E-04  -1.4046931E+00  -3.9926922E-01
   8.2156900E-03  -1.1421229E-03  -1.4599779E+00  -3.9911944E-01
   1.0005713E-02  -2.3155657E-03  -1.4509995E+00  -3.9703363E-01
   1.1885238E-02  -2.3973966E-03  -1.4098607E+00  -3.9505231E-01
   1.3858738E-02  -2.3317798E-03  -1.3582718E+00  -3.9236963E-01
   1.5930913E-02  -2.0086109E-03  -1.3077282E+00  -3.8986775E-01
   1.8106699E-02  -1.3392642E-03  -1.2599117E+00  -3.8799229E-01
   2.0391272E-02  -1.3247767E-03  -1.2138371E+00  -3.8602930E-01
   2.2605900E-02  -8.3145645E-04  -1.1688566E+00  -3.8329062E-01
   2.4793336E-02  -4.9931870E-04  -1.0899111E+00  -3.8130194E-01
   2.6953684E-02  -1.8034820E-04  -1.0555099E+00  -3.8033241E-01
   2.9050337E-02  -3.7308680E-04  -1.0293789E+00  -3.7934092E-01
   3.1185986E-02  -1.6310855E-04  -1.0018079E+00  -3.7796453E-01
   3.3256147E-02  -1.9835723E-04  -9.7015005E-01  -3.7693751E-01
   3.5283990E-02  -6.3174480E-04  -8.2502604E-01  -3.7403682E-01
   3.7244290E-02  -1.8112584E-04  -8.3147120E-01  -3.7355450E-01
   3.9156880E-02   2.7479435E-04  -8.6330861E-01  -3.7316212E-01
   4.1027930E-02   8.8428991E-05  -8.7599528E-01  -3.7245646E-01
   4.2860057E-02  -9.5137307E-07  -8.6049360E-01  -3.7144074E-01
   4.4659931E-02   3.4467585E-04  -8.1029123E-01  -3.7027356E-01
   4.6429977E-02  -4.2098638E-04  -5.8202535E-01  -3.6732629E-01
   4.8172306E-02  -1.2196533E-05  -5.8692181E-01  -3.6676604E-01
   4.9887456E-02   1.2428487E-03  -6.3355148E-01  -3.6623353E-01
   5.1605072E-02   7.6407875E-04  -6.6371596E-01  -3.6614588E-01
   5.3290077E-02   3.4881971E-04  -6.7085379E-01  -3.6566481E-01
   5.4952819E-02   2.1061537E-04  -6.3656586E-01  -3.6535820E-01
   5.6587402E-02   8.3367375E-04  -6.1232197E-01  -3.6494070E-01
   5.8199409E-02   1.1517484E-03  -5.0627583E-01  -3.6402404E-01
   5.9789710E-02   8.1025576E-04  -4.2371744E-01  -3.6315143E-01
   6.1414655E-02   8.7832561E-04  -3.7654492E-01  -3.6279973E-01
   6.3040249E-02   8.0448180E-04  -3.5511130E-01  -3.6254784E-01
