  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:40:50  02/21/2024 ribq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -3.1562764E-04   3.9196708E+00  -3.3997551E-01
   7.8676001E-04   8.4644882E-03  -5.4814355E+02   4.3898253E+00
   3.6270570E-03  -5.3543523E-03   3.4247522E+00  -1.3071851E-01
   6.8324520E-03  -2.5590444E-03   3.5628934E+00  -1.5451878E-01
   9.6473284E-03   2.7061778E-04   3.6170106E+00  -1.6583768E-01
   1.2830872E-02  -1.5126751E-03   3.6690025E+00  -1.7664939E-01
   1.6516224E-02  -2.9269981E-04   3.7224908E+00  -1.8250291E-01
   2.0782476E-02   1.3633327E-03   3.7850039E+00  -1.9283339E-01
   2.3994017E-02   8.1092876E-04   3.8180156E+00  -2.0041414E-01
   2.6986526E-02   2.7856703E-03   3.8614786E+00  -1.9572586E-01
   3.0136816E-02  -7.2626601E-04   3.8963492E+00  -2.1223465E-01
   3.3783671E-02  -8.1234780E-04   3.9413800E+00  -2.2977948E-01
   3.6528941E-02   9.7840675E-04   3.9675059E+00  -2.0765407E-01
   3.9555602E-02   2.0280492E-03   3.9972408E+00  -2.2664656E-01
   4.2892493E-02   9.7824680E-04   4.0363874E+00  -2.3175602E-01
   4.7460053E-02   2.5374093E-03   4.0733223E+00  -2.3302078E-01
   5.0517242E-02   1.8167247E-03   4.1096487E+00  -2.3413309E-01
   5.3686801E-02   2.0763753E-03   4.1498284E+00  -2.4328662E-01
   5.6970198E-02   8.8662171E-05   4.2086349E+00  -2.5027150E-01
   6.0365044E-02   1.7318543E-03   4.2083201E+00  -2.6407865E-01
   6.3312642E-02   3.6493917E-03   4.2432032E+00  -2.4337128E-01
   6.7189112E-02   4.4687469E-03   4.2841940E+00  -2.6907533E-01
   6.9801278E-02   2.0421275E-03   4.3264422E+00  -2.6336700E-01
   7.4230023E-02   1.6673212E-03   4.3803816E+00  -2.6968521E-01
   7.7563882E-02   7.9382071E-03   4.4072208E+00  -2.7439129E-01
   7.9356849E-02   2.0724398E-03   4.4250445E+00  -2.7470961E-01
   8.3172753E-02   3.0054825E-03   4.4655719E+00  -2.8066280E-01
   8.6579189E-02  -8.0455077E-04   4.5021791E+00  -2.8977889E-01
   8.9891165E-02   3.2799600E-03   4.5571713E+00  -2.9630786E-01
   9.3542621E-02   4.4875145E-03   4.5578365E+00  -2.9443341E-01
   9.7516410E-02  -4.5102203E-04   4.5856833E+00  -2.9322228E-01
   9.9883847E-02   6.5850816E-04   4.6363707E+00  -3.1321841E-01
   1.0332958E-01   2.8895671E-03   4.6768818E+00  -3.1612492E-01
   1.0731844E-01   1.0164512E-03   4.7143159E+00  -3.2397681E-01
   1.1032116E-01   6.5566851E-03   4.7302375E+00  -3.2616827E-01
   1.1363167E-01   8.1845018E-04   4.7570252E+00  -3.3093262E-01
   1.1723187E-01   1.8484957E-03   4.7935839E+00  -3.3806753E-01
