  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   12:10:22  02/16/2024 bnvl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -1.7839324E-05  -1.9166145E+00  -6.7277569E-01
   2.2525946E-03  -8.4936881E-04   1.2754768E+02  -1.6869112E+00
   4.3925592E-03  -1.0060841E-02  -1.6611658E+00  -6.9026619E-01
   1.0384728E-02   6.9410948E-05  -1.6990004E+00  -6.9134629E-01
   1.4749749E-02  -1.3018077E-03  -1.7193980E+00  -6.8763953E-01
   1.9562185E-02  -1.0637111E-03  -1.7372924E+00  -6.8393844E-01
   2.4460066E-02  -1.3164877E-03  -1.7516249E+00  -6.7940748E-01
   3.0133095E-02  -7.6969457E-04  -1.7621746E+00  -6.7537451E-01
   3.4629587E-02  -2.1889795E-07  -1.7750643E+00  -6.7105818E-01
   3.9675318E-02  -2.6467818E-04  -1.7857810E+00  -6.6890228E-01
   4.3846846E-02  -8.5411442E-04  -1.7945536E+00  -6.6626817E-01
   4.9768042E-02  -3.3621010E-04  -1.8039219E+00  -6.6061014E-01
   5.4165777E-02  -1.0603702E-03  -1.8126681E+00  -6.5742493E-01
   5.8641534E-02  -5.2957487E-04  -1.8206514E+00  -6.5371138E-01
   6.4659446E-02  -1.2865361E-03  -1.8273313E+00  -6.4889240E-01
   6.9639452E-02  -1.1097624E-03  -1.8329682E+00  -6.4556682E-01
   7.3388293E-02  -1.1812855E-03  -1.8374345E+00  -6.4224797E-01
   7.8355439E-02   1.7874449E-04  -1.8417424E+00  -6.3828635E-01
   8.3890334E-02  -5.2072760E-04  -1.8481938E+00  -6.3367206E-01
   8.8713124E-02  -6.4355205E-04  -1.8536196E+00  -6.2989873E-01
   9.4296113E-02   2.8713205E-04  -1.8496358E+00  -6.2233400E-01
   9.8498859E-02  -5.2287639E-04  -1.8577346E+00  -6.2258726E-01
   1.0313238E-01  -1.3801999E-03  -1.8662816E+00  -6.2096834E-01
   1.0800861E-01   3.2246830E-05  -1.8661153E+00  -6.1741787E-01
   1.1421006E-01   4.1983815E-04  -1.8503886E+00  -6.0492963E-01
   1.1838194E-01  -1.5545320E-03  -1.8849554E+00  -6.0781801E-01
   1.2298144E-01   3.1064688E-03  -1.8655050E+00  -6.0307896E-01
   1.2805237E-01   2.5376282E-04  -1.8461347E+00  -5.9657979E-01
   1.3354284E-01  -1.4915455E-03  -1.8873310E+00  -5.9557593E-01
   1.3837647E-01   2.0224957E-03  -1.8617387E+00  -5.9106237E-01
   1.4322095E-01  -1.2424871E-04  -1.8409393E+00  -5.8390635E-01
   1.4765178E-01  -6.5616466E-04  -1.8899888E+00  -5.8274913E-01
   1.5233593E-01   1.4836476E-03  -1.8602542E+00  -5.7926470E-01
   1.5750022E-01   5.7730183E-04  -1.8498242E+00  -5.7459265E-01
   1.6319385E-01  -2.4923604E-04  -1.8512750E+00  -5.6863135E-01
