  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:13:18  02/14/2024 liqi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      943      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -2.1439488E-03  -1.4218560E+00   1.7819908E+00
   1.7133401E-03  -6.7924074E-04  -3.0353305E+02   2.7223334E+00
   3.3410131E-03  -8.7403813E-03  -1.7067440E+00   1.9539576E+00
   4.8873024E-03   7.1702781E-03  -1.7308474E+00   1.7975429E+00
   6.3562770E-03   1.3679875E-03  -1.8856874E+00   1.7970743E+00
   7.8987004E-03   1.1041511E-03  -1.9682572E+00   1.7970482E+00
   9.5182452E-03   1.7247683E-03  -2.0263374E+00   1.7974653E+00
   1.1218768E-02   1.2152198E-03  -2.0260856E+00   1.7980518E+00
   1.3004316E-02   1.0485306E-03  -1.9859236E+00   1.7993933E+00
   1.4879141E-02   1.1756268E-03  -1.9108175E+00   1.8023962E+00
   1.6847707E-02   2.4046712E-03  -1.9256222E+00   1.8036485E+00
   1.8914703E-02  -3.7669307E-03  -1.9090602E+00   1.8074421E+00
   2.1085048E-02  -2.7612860E-03  -1.8256992E+00   1.8844599E+00
   2.3146875E-02  -2.7213779E-03  -1.8810476E+00   1.8840044E+00
   2.5311796E-02  -2.8344025E-03  -1.9000925E+00   1.8194861E+00
   2.7368469E-02  -1.0438940E-03  -1.9151710E+00   1.8188435E+00
   2.9527975E-02   4.5141426E-04  -1.8863513E+00   1.8177983E+00
   3.1795457E-02  -2.1510611E-03  -1.8223598E+00   1.8169261E+00
   3.4176312E-02  -7.3506398E-04  -1.6497922E+00   1.7993909E+00
   3.6438126E-02  -1.9748898E-03  -1.7070868E+00   1.7994853E+00
   3.8813032E-02  -1.8525240E-03  -1.7494136E+00   1.8000288E+00
   4.1306682E-02   2.5543300E-04  -1.7330519E+00   1.8013997E+00
   4.3925013E-02  -2.1472460E-04  -1.5983913E+00   1.8411280E+00
   4.6412427E-02   1.4215914E-03  -1.6384737E+00   1.8406823E+00
   4.9024213E-02  -9.4080955E-05  -1.6320423E+00   1.8393928E+00
   5.1699422E-02   4.5850489E-04  -1.4177933E+00   1.7964796E+00
   5.3902559E-02  -7.9709972E-04  -1.4371593E+00   1.7965578E+00
   5.6215852E-02   1.4415045E-03  -1.4180089E+00   1.7972934E+00
   5.8644813E-02   1.9338524E-03  -1.2983284E+00   1.8214003E+00
   6.0952324E-02   2.1174815E-03  -1.3148996E+00   1.8214999E+00
   6.3375212E-02   1.3563895E-03  -1.2243633E+00   1.8212862E+00
   6.5919243E-02   7.3081610E-04  -1.2019150E+00   1.8211755E+00
   6.8053827E-02   1.2237738E-03  -1.1564412E+00   1.8207390E+00
   7.0295140E-02   2.1016456E-03  -1.0769492E+00   1.8202460E+00
   7.2648518E-02   1.7580563E-03  -9.9456942E-01   1.8197439E+00
   7.5119562E-02   1.7753325E-03  -7.9768246E-01   1.8085213E+00
